bank,offset_hex,size_bytes,sha1,crc32
0,0x000000,16384,59f72dba5fad85ee31c3d0c419d0e25d619d7e26,C8B3C31A
1,0x004000,16384,ba4b431fdd955dcdb737d67dcf37345efdc19241,49DBE3DA
2,0x008000,16384,1369015e017c5372c4b3138c4161b674167c51ab,D2B8AF74
3,0x00C000,16384,0165fd7eef42cb9726fcb3adcc1e1a38f1c81c65,F2D8D6E8
4,0x010000,16384,76abcb943f7a92ce63ff5f61ceb419f55368c973,B9A0109B
5,0x014000,16384,6ca51cdc06bd751e9cdd95d41a454bd14ece82dc,31EB2ED7
6,0x018000,16384,efbe01666cb20748c4d3686068320a001156c6e7,4869C7DA
7,0x01C000,16384,0ba71d034c808e602fc23c7de4f46a9d7af2f553,2DF41342
8,0x020000,16384,13d52e5556da9b93b707c72885eb1ae3261505e9,E6E5926D
9,0x024000,16384,92cc70d7ec603ec0c97c31072ef13c3ba3435f1e,0FA0322A
10,0x028000,16384,a9910702362027ff55f871bcbf2a9beee853872b,02C3FCCA
11,0x02C000,16384,72d3e510864499282c45d1e21098c58728f035b5,31FA2C19
12,0x030000,16384,dcf5777c6f8295847a8ff24f2512aa4376d83152,1053FA0F
13,0x034000,16384,94b7e44d0b87e230857915b8af97b5170eb5b93a,B2C3ECAF
14,0x038000,16384,675013824c9a4433d0a374e83850fe658e15ddc5,C85BD963
15,0x03C000,16384,aeb20d8513574bb40c2ae949665a41c8ad695637,B4F55084
16,0x040000,16384,6a91efbd1a02e915248b98955c5fd3814249aba0,3DC11BE7
17,0x044000,16384,0541b17fa77137964580ad0f491fd31e1c80288e,9BCF81E5
18,0x048000,16384,b39c216d4498a7ad792bff8bff062b8dc47d3284,D7A54386
19,0x04C000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
20,0x050000,16384,5da6817fe4b00b7b5fb8cc2781ea61c04049ca53,DDD9E0F4
21,0x054000,16384,e0bb62db34e1aeae7badbcff2f3614913d5ee470,DCCF566E
22,0x058000,16384,f358f5fe7c3cbbada5baa27f3a2e2fc8b875aebc,4B8BD129
23,0x05C000,16384,fb125f682cfbe8c6cc76c081de7c31b0988ac389,BBA6C545
24,0x060000,16384,177aad8f74c6744c859a816cd7478b81c17b5ecd,5839D1A4
25,0x064000,16384,ea283f0e547e70a426b135642d5d2a5030d0b335,BDA450C3
26,0x068000,16384,d287a53b1422ec9afec9943f91ed5963a81afe4f,44D4A547
27,0x06C000,16384,fb5b86f0b3b14a5a61ab8e78a5d489500cd7707d,EE52DBFC
28,0x070000,16384,00381a509e72100613e935ea2c0f95172cf5fa38,70E78C26
29,0x074000,16384,36d884497b649d0cae9ae1b963401d41481136c2,F6CB1773
30,0x078000,16384,34ec88572889a4b372258f83ab55c267110da907,A970F3D1
31,0x07C000,16384,5ec81487f93904cac580539a588bffed16ef177c,E9A459D4
32,0x080000,16384,620a42843373f5577cc7cde11de75da2fa865c4c,BD3F2D95
33,0x084000,16384,b5f1241e49f83a9bceb318013d3ea8b02ca59877,9585C608
34,0x088000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
35,0x08C000,16384,83b95970a0fa4ac894888d973b63ea17bb5bf3e7,C9E5AE2C
36,0x090000,16384,9ae7e1ea582565c6e449b2b5e0913084b41ecc7b,1DBA2E5F
37,0x094000,16384,142c349d7d47457815caa6c6386556afda35178a,9B2C8A39
38,0x098000,16384,1040c3433fd6aa1d09d819d78bffa2fe2887e2f3,C87E7DC1
39,0x09C000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
40,0x0A0000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
41,0x0A4000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
42,0x0A8000,16384,ab92aa28bb7fa3a0daf96b184a25270814eeedd6,0EB784D9
43,0x0AC000,16384,d97affd16f8ca09b887a4d4824870aaddf6c5691,BF0629D0
44,0x0B0000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
45,0x0B4000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
46,0x0B8000,16384,340250774ba76d06318b0c90a9a7486ef23b809b,6985338F
47,0x0BC000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
48,0x0C0000,16384,8655cd6b958c5d53da5dc7aed0aae9e6eb09b731,771DD961
49,0x0C4000,16384,7151e79186cc7337d12a438602c41b78f8f5ccd5,73260060
50,0x0C8000,16384,b38ba40873208d591d3dab8fbbb0d0d0501adc51,511AF87E
51,0x0CC000,16384,b174ccc365788fd917fe12db3708d80a6ee99288,4C79419C
52,0x0D0000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
53,0x0D4000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
54,0x0D8000,16384,1f67d0e87e47858411a322f2feabd08248101de6,03546919
55,0x0DC000,16384,fd4efbe19c7c2b8f26537b555877b535c64b3dda,87ABF54B
56,0x0E0000,16384,6fbaa7f4fa503ff5d10c278f0d5bb1d213f0d91b,A66D8509
57,0x0E4000,16384,5700807f26304b78a9da98acb55cf772e8f1fa62,1C893E06
58,0x0E8000,16384,039dabb7386d311a2d306d14793cef67fb2d45bf,ACEFFD81
59,0x0EC000,16384,0817a94053fbd6b83cd3640b2286817814f3346c,48423B9D
60,0x0F0000,16384,5d36c19cdbe4ed8014d67d2a43e981ac5f7ab136,3352378E
61,0x0F4000,16384,bd5b998ef17a222cf209971ec62df27223e0607f,6F12B5A5
62,0x0F8000,16384,b2bea93fad49c3a4e21f0179d5c02cbf81c7cdb2,5F35B07D
63,0x0FC000,16384,2b7986256460ce692a9e8d1f80fe65494219ca89,0C1CE355
64,0x100000,16384,f7f0c2ebb6a976c66cbe8cbb909e08e9c408767d,CB66AF02
65,0x104000,16384,04905f3aead7b2bb017e5e0ed4e9e495e02b0e96,EEE6E788
66,0x108000,16384,34f46d4ce03030761a5a224fab55fee07a33e832,6AA33E64
67,0x10C000,16384,a6c80d706469e09cb59612ee57cf79aa6b7c57b8,AD336FED
68,0x110000,16384,c7578694ac428c12bdac42f08acaf2f4094e40db,D429B425
69,0x114000,16384,b2caea3c61d2159cb2e0f88b508193af7ceb5ef2,0CB9D5E1
70,0x118000,16384,e9efe907645d4aaee010d8dab63db66448fa2473,0DBC4721
71,0x11C000,16384,229db02c09419fd74cad947abfe34adcf5e6f037,476FB455
72,0x120000,16384,41074396a2faa4fbf4e847caa907fc2d0edf6c01,85C8CC6D
73,0x124000,16384,e7ab0f722e9ccf41e243611534c801840a44e35e,F12067C2
74,0x128000,16384,bd37c0d0ed433a09664e11607a1a231af75c9734,85906FC1
75,0x12C000,16384,f6f3a7dcbd7d0ba911daf64b5afd5539d5ab851b,1880AFA3
