target,names_file,names_species_range,evolutions_file,evolutions_species_range,learnsets_file,learnsets_species_range,learnset_encoding
Ruby_JP,Ruby_JP_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,Ruby_JP_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,Ruby_JP_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
Ruby_EN_Rev2,Ruby_EN_Rev2_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,Ruby_EN_Rev2_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,Ruby_EN_Rev2_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
Sapphire_JP,Sapphire_JP_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,Sapphire_JP_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,Sapphire_JP_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
Sapphire_EN_Rev2,Sapphire_EN_Rev2_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,Sapphire_EN_Rev2_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,Sapphire_EN_Rev2_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
Emerald_JP,Emerald_JP_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,Emerald_JP_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,Emerald_JP_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
Emerald_EN,Emerald_EN_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,Emerald_EN_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,Emerald_EN_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
FireRed_JP_Rev1,FireRed_JP_Rev1_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,FireRed_JP_Rev1_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,FireRed_JP_Rev1_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
FireRed_EN_Rev1,FireRed_EN_Rev1_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,FireRed_EN_Rev1_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,FireRed_EN_Rev1_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
LeafGreen_JP,LeafGreen_JP_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,LeafGreen_JP_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,LeafGreen_JP_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
LeafGreen_EU_Rev1,LeafGreen_EU_Rev1_canonical_names_0_386.bin,0..386 only; 387..493 localized names pending,LeafGreen_EU_Rev1_canonical_target_evolutions_0_386_7slots.bin,0..386 target-original canonicalized; 7 slots allocated,LeafGreen_EU_Rev1_canonical_levelup_staging_0_493.g4ls,0..386 target-original + 387..493 HGSS,u16: level<<9 | move; 0xFFFF terminator
