file,language,table,bank,start,end_exclusive,bytes,records,format
"Pokemon - Silver Version (USA, Europe).gbc",EN,ItemNames,6C,0x1B0000,0x1B0955,2389,256,@-terminated variable length
"Pokemon - Silver Version (USA, Europe).gbc",EN,TrainerClassNames,6C,0x1B0955,0x1B0B74,543,66,@-terminated variable length
"Pokemon - Silver Version (USA, Europe).gbc",EN,PokemonNames,6C,0x1B0B74,0x1B1574,2560,256,"fixed 10 bytes, @ padded"
"Pokemon - Silver Version (USA, Europe).gbc",EN,MoveNames,6C,0x1B1574,0x1B1EE1,2413,251,@-terminated variable length
Pokemon - Silberne Edition (Germany).gbc,DE,ItemNames,6C,0x1B0000,0x1B0946,2374,256,@-terminated variable length
Pokemon - Silberne Edition (Germany).gbc,DE,TrainerClassNames,6C,0x1B0946,0x1B0B6B,549,66,@-terminated variable length
Pokemon - Silberne Edition (Germany).gbc,DE,PokemonNames,6C,0x1B0B6B,0x1B156B,2560,256,"fixed 10 bytes, @ padded"
Pokemon - Silberne Edition (Germany).gbc,DE,MoveNames,6C,0x1B156B,0x1B1F86,2587,251,@-terminated variable length
Pokemon - Version Argent (France).gbc,FR,ItemNames,6C,0x1B0000,0x1B0995,2453,256,@-terminated variable length
Pokemon - Version Argent (France).gbc,FR,TrainerClassNames,6C,0x1B0995,0x1B0BC5,560,66,@-terminated variable length
Pokemon - Version Argent (France).gbc,FR,PokemonNames,6C,0x1B0BC5,0x1B15C5,2560,256,"fixed 10 bytes, @ padded"
Pokemon - Version Argent (France).gbc,FR,MoveNames,6C,0x1B15C5,0x1B1F81,2492,251,@-terminated variable length
Pokemon - Versione Argento (Italy).gbc,IT,ItemNames,6C,0x1B0000,0x1B099A,2458,256,@-terminated variable length
Pokemon - Versione Argento (Italy).gbc,IT,TrainerClassNames,6C,0x1B099A,0x1B0BD2,568,66,@-terminated variable length
Pokemon - Versione Argento (Italy).gbc,IT,PokemonNames,6C,0x1B0BD2,0x1B15D2,2560,256,"fixed 10 bytes, @ padded"
Pokemon - Versione Argento (Italy).gbc,IT,MoveNames,6C,0x1B15D2,0x1B1FD3,2561,251,@-terminated variable length
Pokemon - Edicion Plata (Spain).gbc,ES,ItemNames,6C,0x1B0000,0x1B098B,2443,256,@-terminated variable length
Pokemon - Edicion Plata (Spain).gbc,ES,TrainerClassNames,6C,0x1B098B,0x1B0BB8,557,66,@-terminated variable length
Pokemon - Edicion Plata (Spain).gbc,ES,PokemonNames,6C,0x1B0BB8,0x1B15B8,2560,256,"fixed 10 bytes, @ padded"
Pokemon - Edicion Plata (Spain).gbc,ES,MoveNames,6C,0x1B15B8,0x1B1FFA,2626,251,@-terminated variable length
