bank_hex,class,disassembly_priority,western_mean_similarity,JP_semantic,western_semantic,note
00,LOCALIZATION_HEAVY,5,0.452875,ROM0: vectors/header/home engine,ROM0: vectors/header/home engine,
01,LOCALIZATION_HEAVY,5,0.170715,bank1 + garbage,bank1: core engine/events/menus,
02,NEAR_IDENTICAL,2,0.999512,audio 1 + garbage,audio 1,
03,LOCALIZATION_HEAVY,5,0.483838,overworld/core engine + garbage,overworld/core engine,
04,MIXED,4,0.704059,move names + NPC sprites 1 + font + battle engine 1 + garbage,NPC sprites 1 + font + battle engine 1,
05,HIGH_SIMILARITY,3,0.985645,NPC sprites 2 + battle engine 2 + garbage,NPC sprites 2 + battle engine 2,
06,MIXED,4,0.866663,maps 1-2 + play time + doors/ledges + garbage,maps 1-2 + play time + doors/ledges,
07,MIXED,4,0.68783,maps 3-4 + clear save + hidden events 1 + garbage,maps 3-4 + Pokémon names + hidden events 1,
08,LOCALIZATION_HEAVY,5,0.392169,audio 2 + Bill PC,audio 2 + Bill PC,
09,HIGH_SIMILARITY,3,0.9724,Pokémon pics 1 + battle engine 3 + garbage,Pokémon pics 1 + battle engine 3,
0A,NEAR_IDENTICAL,2,0.999243,Pokémon pics 2 + battle engine 4 + garbage,Pokémon pics 2 + battle engine 4,
0B,NEAR_IDENTICAL,2,0.998578,Pokémon pics 3 + battle engine 5 + garbage,Pokémon pics 3 + battle engine 5,
0C,NEAR_IDENTICAL,2,0.999274,Pokémon pics 4 + battle engine 6 + garbage,Pokémon pics 4 + battle engine 6,
0D,MIXED,4,0.898163,Pokémon pics 5 + slot machines + garbage,Pokémon pics 5 + slot machines,
0E,LOCALIZATION_HEAVY,5,0.497906,battle engine 7 + garbage,battle engine 7 / Pokémon+move data,
0F,LOCALIZATION_HEAVY,5,0.309381,battle core,battle core,
10,LOCALIZATION_HEAVY,5,0.496503,Pokédex/menu/trade/intro + garbage,Pokédex/menu/trade/intro,
11,HIGH_SIMILARITY,3,0.953174,maps 5-6 + Pokédex rating + hidden events core + garbage,maps 5-6 + Pokédex rating + hidden events core,
12,MIXED,4,0.650769,maps 7-8 + screen effects + garbage,maps 7-8 + screen effects,
13,HIGH_SIMILARITY,3,0.993634,trainer pics + maps 9 + predefs + garbage,trainer pics + maps 9 + predefs,
14,MIXED,4,0.643951,maps 10 + battle engine 8 + hidden events 2 + garbage,maps 10 + battle engine 8 + hidden events 2,
