rom_a,rom_b,offset,offset_hex,gba_address,bank_index,old_byte,new_byte
AXPE_rev1,AXPE_rev2,188,0x000000BC,0x080000BC,0,01,02
AXPE_rev1,AXPE_rev2,189,0x000000BD,0x080000BD,0,54,53
AXPE_rev1,AXPE_rev2,37275,0x0000919B,0x0800919B,0,DD,DB
AXPE_rev1,AXPE_rev2,37311,0x000091BF,0x080091BF,0,DC,DA
AXPF_rev0,AXPF_rev1,188,0x000000BC,0x080000BC,0,00,01
AXPF_rev0,AXPF_rev1,189,0x000000BD,0x080000BD,0,54,53
AXPF_rev0,AXPF_rev1,37735,0x00009367,0x08009367,0,DD,DB
AXPF_rev0,AXPF_rev1,37771,0x0000938B,0x0800938B,0,DC,DA
AXPI_rev0,AXPI_rev1,188,0x000000BC,0x080000BC,0,00,01
AXPI_rev0,AXPI_rev1,189,0x000000BD,0x080000BD,0,51,50
AXPI_rev0,AXPI_rev1,37735,0x00009367,0x08009367,0,DD,DB
AXPI_rev0,AXPI_rev1,37771,0x0000938B,0x0800938B,0,DC,DA
