rom_a,rom_b,bytes_a,bytes_b,overlap_bytes,differing_bytes,same_bytes_in_overlap,difference_percent_of_max,diff_range_count,differing_bank_count,max_bank_count
de_rev0,en_rev0,1048576,1048576,1048576,269925,778651,25.742054,16300,44,64
de_rev0,es_rev0,1048576,1048576,1048576,280097,768479,26.712132,15526,44,64
de_rev0,fr_rev0,1048576,1048576,1048576,276381,772195,26.357746,14705,44,64
de_rev0,it_rev0,1048576,1048576,1048576,268149,780427,25.572681,13876,44,64
de_rev0,jp_rev0,1048576,524288,524288,966654,81922,92.187309,7839,63,64
de_rev0,jp_reva,1048576,524288,524288,966691,81885,92.190838,7859,63,64
en_rev0,es_rev0,1048576,1048576,1048576,278533,770043,26.562977,17092,44,64
en_rev0,fr_rev0,1048576,1048576,1048576,267165,781411,25.478840,16419,44,64
en_rev0,it_rev0,1048576,1048576,1048576,258417,790159,24.644566,15747,44,64
en_rev0,jp_rev0,1048576,524288,524288,966705,81871,92.192173,7845,63,64
en_rev0,jp_reva,1048576,524288,524288,966744,81832,92.195892,7857,63,64
es_rev0,fr_rev0,1048576,1048576,1048576,274126,774450,26.142693,15617,44,64
es_rev0,it_rev0,1048576,1048576,1048576,263356,785220,25.115585,16045,44,64
es_rev0,jp_rev0,1048576,524288,524288,966509,82067,92.173481,7925,63,64
es_rev0,jp_reva,1048576,524288,524288,966640,81936,92.185974,7867,63,64
fr_rev0,it_rev0,1048576,1048576,1048576,257456,791120,24.552917,14438,44,64
fr_rev0,jp_rev0,1048576,524288,524288,966729,81847,92.194462,7771,63,64
fr_rev0,jp_reva,1048576,524288,524288,966852,81724,92.206192,7699,63,64
it_rev0,jp_rev0,1048576,524288,524288,966715,81861,92.193127,7804,63,64
it_rev0,jp_reva,1048576,524288,524288,966726,81850,92.194176,7822,63,64
jp_rev0,jp_reva,524288,524288,524288,46167,478121,8.805656,5437,31,32
