version,move_id,move_name_gs_korean,bank_hex,bank_offset_hex,cpu_address_hex,file_offset_hex,record_length,description,next_count,raw_hex,record_raw_hex,undefined_code_count
KOREAN_GOLD,1,막치기,0x6D,0x0202,0x4202,0x1B4202,41,손과 꼬리 등을 사용해서<NEXT>적을 때리는 공격,1,06 05 01 6a 7f 01 ef 04 3e 7f 03 4e 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 07 cb 07 8b 7f 03 77 04 3e 02 c2 7f 01 68 01 3d,06 05 01 6a 7f 01 ef 04 3e 7f 03 4e 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 07 cb 07 8b 7f 03 77 04 3e 02 c2 7f 01 68 01 3d 50,0
KOREAN_GOLD,2,태권당수,0x6D,0x022B,0x422B,0x1B422B,36,당수로 적을 공격<NEXT>급소를 맞추기 쉽다,1,02 e7 06 26 03 fe 7f 07 cb 07 8b 7f 01 68 01 3d 59 01 ae 06 02 04 36 7f 04 62 08 df 01 b2 7f 06 41 02 d9,02 e7 06 26 03 fe 7f 07 cb 07 8b 7f 01 68 01 3d 59 01 ae 06 02 04 36 7f 04 62 08 df 01 b2 7f 06 41 02 d9 50,0
KOREAN_GOLD,3,연속 뺨치기,0x6D,0x024F,0x424F,0x1B424F,42,적을 연속 뺨때리기로<NEXT>2-5회 연속으로 공격,1,07 cb 07 8b 7f 07 0c 06 03 7f 05 84 03 77 04 3e 01 b2 03 fe 59 f8 0b 68 fb 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d,07 cb 07 8b 7f 07 0c 06 03 7f 05 84 03 77 04 3e 01 b2 03 fe 59 f8 0b 68 fb 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d 50,0
KOREAN_GOLD,4,연속펀치,0x6D,0x0279,0x4279,0x1B4279,47,적을 연속으로 두들겨 패서<NEXT>2-5회 연속으로 공격,1,07 cb 07 8b 7f 07 0c 06 03 07 88 03 fe 7f 03 2e 03 49 01 3c 7f 0a 00 05 dd 59 f8 0b 68 fb 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d,07 cb 07 8b 7f 07 0c 06 03 07 88 03 fe 7f 03 2e 03 49 01 3c 7f 0a 00 05 dd 59 f8 0b 68 fb 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d 50,0
KOREAN_GOLD,5,메가톤펀치,0x6D,0x02A8,0x42A8,0x1B42A8,41,엄청난 힘이 실린 펀치로<NEXT>적을 때려서 공격,1,06 f6 08 bb 02 3d 7f 0a fb 07 9c 7f 06 67 04 40 7f 0a 0d 09 01 03 fe 59 07 cb 07 8b 7f 03 77 03 f1 05 dd 7f 01 68 01 3d,06 f6 08 bb 02 3d 7f 0a fb 07 9c 7f 06 67 04 40 7f 0a 0d 09 01 03 fe 59 07 cb 07 8b 7f 03 77 03 f1 05 dd 7f 01 68 01 3d 50,0
KOREAN_GOLD,6,고양이돈받기,0x6D,0x02D1,0x42D1,0x1B42D1,53,금화를 던져서 적을 공격<NEXT>전투 후에 돈이 손에 들어온다,1,01 ad 0a ad 04 36 7f 02 f8 07 de 05 dd 7f 07 cb 07 8b 7f 01 68 01 3d 59 07 cc 09 c5 7f 0a c4 07 01 7f 03 17 07 9c 7f 06 05 07 01 7f 03 49 06 ee 07 22 02 d9,01 ad 0a ad 04 36 7f 02 f8 07 de 05 dd 7f 07 cb 07 8b 7f 01 68 01 3d 59 07 cc 09 c5 7f 0a c4 07 01 7f 03 17 07 9c 7f 06 05 07 01 7f 03 49 06 ee 07 22 02 d9 50,0
KOREAN_GOLD,7,불꽃펀치,0x6D,0x0306,0x4306,0x1B4306,58,화염이 이글거리는 펀치로 공격<NEXT>적에게 화상을 입히기도 한다,1,0a ad 07 10 07 9c 7f 07 9c 01 ab 01 25 04 3e 02 c2 7f 0a 0d 09 01 03 fe 7f 01 68 01 3d 59 07 cb 07 01 01 34 7f 0a ad 05 c3 07 8b 7f 07 a4 0a f7 01 b2 03 15 7f 0a 71 02 d9,0a ad 07 10 07 9c 7f 07 9c 01 ab 01 25 04 3e 02 c2 7f 0a 0d 09 01 03 fe 7f 01 68 01 3d 59 07 cb 07 01 01 34 7f 0a ad 05 c3 07 8b 7f 07 a4 0a f7 01 b2 03 15 7f 0a 71 02 d9 50,0
KOREAN_GOLD,8,냉동펀치,0x6D,0x0340,0x4340,0x1B4340,43,냉기를 실은 펀치로 공격<NEXT>적을 얼리기도 한다,1,02 63 01 b2 04 36 7f 06 67 07 8a 7f 0a 0d 09 01 03 fe 7f 01 68 01 3d 59 07 cb 07 8b 7f 06 f3 04 3e 01 b2 03 15 7f 0a 71 02 d9,02 63 01 b2 04 36 7f 06 67 07 8a 7f 0a 0d 09 01 03 fe 7f 01 68 01 3d 59 07 cb 07 8b 7f 06 f3 04 3e 01 b2 03 15 7f 0a 71 02 d9 50,0
KOREAN_GOLD,9,번개펀치,0x6D,0x036B,0x436B,0x1B436B,47,전기를 실은 펀치로 공격<NEXT>적을 감전시키기도 한다,1,07 cc 01 b2 04 36 7f 06 67 07 8a 7f 0a 0d 09 01 03 fe 7f 01 68 01 3d 59 07 cb 07 8b 7f 01 08 07 cc 06 63 09 80 01 b2 03 15 7f 0a 71 02 d9,07 cc 01 b2 04 36 7f 06 67 07 8a 7f 0a 0d 09 01 03 fe 7f 01 68 01 3d 59 07 cb 07 8b 7f 01 08 07 cc 06 63 09 80 01 b2 03 15 7f 0a 71 02 d9 50,0
KOREAN_GOLD,10,할퀴기,0x6D,0x039A,0x439A,0x1B439A,42,날카로운 손톱을 사용해서<NEXT>적을 할퀴며 공격,1,02 3f 09 0b 03 fe 07 4e 7f 06 05 09 b9 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 07 cb 07 8b 7f 0a 72 09 6b 04 87 7f 01 68 01 3d,02 3f 09 0b 03 fe 07 4e 7f 06 05 09 b9 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 07 cb 07 8b 7f 0a 72 09 6b 04 87 7f 01 68 01 3d 50,0
KOREAN_GOLD,11,찝기,0x6D,0x03C4,0x43C4,0x1B43C4,40,커다란 집게가위를 사용<NEXT>적을 찝어서 공격,1,09 1f 02 d9 03 c5 7f 08 2d 01 34 01 01 07 77 04 36 7f 05 b7 07 4b 59 07 cb 07 8b 7f 08 93 06 ee 05 dd 7f 01 68 01 3d,09 1f 02 d9 03 c5 7f 08 2d 01 34 01 01 07 77 04 36 7f 05 b7 07 4b 59 07 cb 07 8b 7f 08 93 06 ee 05 dd 7f 01 68 01 3d 50,0
KOREAN_GOLD,12,가위자르기,0x6D,0x03EC,0x43EC,0x1B43EC,56,커다란 집게가위를 사용하여<NEXT>집어올려 전투불능으로 만든다,1,09 1f 02 d9 03 c5 7f 08 2d 01 34 01 01 07 77 04 36 7f 05 b7 07 4b 0a 6f 07 09 59 08 2d 06 ee 07 23 03 f1 7f 07 cc 09 c5 05 32 02 c9 07 88 03 fe 7f 04 48 03 47 02 d9,09 1f 02 d9 03 c5 7f 08 2d 01 34 01 01 07 77 04 36 7f 05 b7 07 4b 0a 6f 07 09 59 08 2d 06 ee 07 23 03 f1 7f 07 cc 09 c5 05 32 02 c9 07 88 03 fe 7f 04 48 03 47 02 d9 50,0
KOREAN_GOLD,13,칼바람,0x6D,0x0424,0x4424,0x1B4424,53,1턴째에서 바람의 칼날을 만들어<NEXT>다음 턴에서 적을 공격,1,f7 09 9f 08 40 07 01 05 dd 7f 04 d9 03 c7 07 97 7f 09 0e 02 3f 07 8b 7f 04 48 03 49 06 ee 59 02 d9 07 8d 7f 09 9f 07 01 05 dd 7f 07 cb 07 8b 7f 01 68 01 3d,f7 09 9f 08 40 07 01 05 dd 7f 04 d9 03 c7 07 97 7f 09 0e 02 3f 07 8b 7f 04 48 03 49 06 ee 59 02 d9 07 8d 7f 09 9f 07 01 05 dd 7f 07 cb 07 8b 7f 01 68 01 3d 50,0
KOREAN_GOLD,14,칼춤,0x6D,0x0459,0x4459,0x1B4459,36,싸움의 춤을 춰서<NEXT>공격력을 팍 올린다,1,06 6e 07 62 07 97 7f 08 e3 07 8b 7f 08 e7 05 dd 59 01 68 01 3d 03 f2 07 8b 7f 09 f5 7f 07 23 04 40 02 d9,06 6e 07 62 07 97 7f 08 e3 07 8b 7f 08 e7 05 dd 59 01 68 01 3d 03 f2 07 8b 7f 09 f5 7f 07 23 04 40 02 d9 50,0
