national_dex,species,logical_state,state_kind,xy_scope,oras_scope,gen3_battle_target_required,archive_mapping_status,notes,source_reference
650,Chespin,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
651,Quilladin,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
652,Chesnaught,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
653,Fennekin,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
654,Braixen,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
655,Delphox,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
656,Froakie,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
657,Frogadier,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
658,Greninja,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
659,Bunnelby,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
660,Diggersby,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
661,Fletchling,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
662,Fletchinder,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
663,Talonflame,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
664,Scatterbug,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
665,Spewpa,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
666,Vivillon,Icy Snow Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Polar Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Tundra Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Continental Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Garden Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Elegant Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Meadow Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Modern Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Marine Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Archipelago Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,High Plains Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Sandstorm Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,River Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
