move_id,korean_name,pkhex_matches_pokeapi
1,막치기,True
2,태권당수,True
3,연속뺨치기,True
4,연속펀치,True
5,메가톤펀치,True
6,고양이돈받기,True
7,불꽃펀치,True
8,냉동펀치,True
9,번개펀치,True
10,할퀴기,True
11,찝기,True
12,가위자르기,True
13,칼바람,True
14,칼춤,True
15,풀베기,True
16,바람일으키기,True
17,날개치기,True
18,날려버리기,True
19,공중날기,True
20,조이기,True
21,힘껏치기,True
22,덩굴채찍,True
23,짓밟기,True
24,두번차기,True
25,메가톤킥,True
26,점프킥,True
27,돌려차기,True
28,모래뿌리기,True
29,박치기,True
30,뿔찌르기,True
31,마구찌르기,True
32,뿔드릴,True
33,몸통박치기,True
34,누르기,True
35,김밥말이,True
36,돌진,True
37,난동부리기,True
38,이판사판태클,True
39,꼬리흔들기,True
40,독침,True
41,더블니들,True
42,바늘미사일,True
43,째려보기,True
44,물기,True
45,울음소리,True
46,울부짖기,True
47,노래하기,True
48,초음파,True
49,소닉붐,True
50,사슬묶기,True
51,용해액,True
52,불꽃세례,True
53,화염방사,True
54,흰안개,True
55,물대포,True
56,하이드로펌프,True
57,파도타기,True
58,냉동빔,True
59,눈보라,True
60,환상빔,True
61,거품광선,True
62,오로라빔,True
63,파괴광선,True
64,쪼기,True
65,회전부리,True
66,지옥의바퀴,True
67,안다리걸기,True
68,카운터,True
69,지구던지기,True
70,괴력,True
71,흡수,True
72,메가드레인,True
73,씨뿌리기,True
74,성장,True
75,잎날가르기,True
76,솔라빔,True
77,독가루,True
78,저리가루,True
79,수면가루,True
80,꽃잎댄스,True
81,실뿜기,True
82,용의분노,True
83,회오리불꽃,True
84,전기쇼크,True
85,10만볼트,True
86,전기자석파,True
87,번개,True
88,돌떨구기,True
89,지진,True
90,땅가르기,True
91,구멍파기,True
92,맹독,True
93,염동력,True
94,사이코키네시스,True
95,최면술,True
96,요가포즈,True
97,고속이동,True
98,전광석화,True
99,분노,True
100,순간이동,True
101,나이트헤드,True
102,흉내내기,True
103,싫은소리,True
104,그림자분신,True
105,HP회복,True
106,단단해지기,True
107,작아지기,True
108,연막,True
109,이상한빛,True
110,껍질에숨기,True
111,웅크리기,True
112,배리어,True
113,빛의장막,True
114,흑안개,True
115,리플렉터,True
116,기충전,True
117,참기,True
118,손가락흔들기,True
119,따라하기,True
120,자폭,True
121,알폭탄,True
122,핥기,True
123,스모그,True
124,오물공격,True
125,뼈다귀치기,True
126,불대문자,True
127,폭포오르기,True
128,껍질끼우기,True
129,스피드스타,True
130,로켓박치기,True
131,가시대포,True
132,휘감기,True
133,망각술,True
134,숟가락휘기,True
135,알낳기,True
136,무릎차기,True
137,뱀눈초리,True
138,꿈먹기,True
139,독가스,True
140,구슬던지기,True
141,흡혈,True
142,악마의키스,True
143,불새,True
144,변신,True
145,거품,True
146,잼잼펀치,True
147,버섯포자,True
148,플래시,True
149,사이코웨이브,True
150,튀어오르기,True
151,녹기,True
152,집게해머,True
153,대폭발,True
154,마구할퀴기,True
155,뼈다귀부메랑,True
156,잠자기,True
157,스톤샤워,True
158,필살앞니,True
159,각지기,True
160,텍스처,True
161,트라이어택,True
162,분노의앞니,True
163,베어가르기,True
164,대타출동,True
165,발버둥,True
166,스케치,True
167,트리플킥,True
168,도둑질,True
169,거미집,True
170,마음의눈,True
171,악몽,True
172,화염바퀴,True
173,코골기,True
174,저주,True
175,바둥바둥,True
176,텍스처2,True
177,에어로블라스트,True
178,목화포자,True
179,기사회생,True
180,원한,True
181,눈싸라기,True
182,방어,True
183,마하펀치,True
184,겁나는얼굴,True
185,속여때리기,True
186,천사의키스,True
187,배북,True
188,오물폭탄,True
189,진흙뿌리기,True
190,대포무노포,True
191,압정뿌리기,True
192,전자포,True
193,꿰뚫어보기,True
194,길동무,True
195,멸망의노래,True
196,얼어붙은바람,True
197,판별,True
198,본러시,True
199,록온,True
200,역린,True
201,모래바람,True
202,기가드레인,True
203,버티기,True
204,애교부리기,True
205,구르기,True
206,칼등치기,True
207,뽐내기,True
208,우유마시기,True
209,스파크,True
210,연속자르기,True
211,강철날개,True
212,검은눈빛,True
213,헤롱헤롱,True
214,잠꼬대,True
215,치료방울,True
216,은혜갚기,True
217,프레젠트,True
218,화풀이,True
219,신비의부적,True
220,아픔나누기,True
221,성스러운불꽃,True
222,매그니튜드,True
223,폭발펀치,True
224,메가혼,True
225,용의숨결,True
226,배턴터치,True
227,앙코르,True
228,따라가때리기,True
229,고속스핀,True
230,달콤한향기,True
231,아이언테일,True
232,메탈클로,True
233,받아던지기,True
234,아침햇살,True
235,광합성,True
236,달빛,True
237,잠재파워,True
238,크로스촙,True
239,회오리,True
240,비바라기,True
241,쾌청,True
242,깨물어부수기,True
243,미러코트,True
244,자기암시,True
245,신속,True
246,원시의힘,True
247,섀도볼,True
248,미래예지,True
249,바위깨기,True
250,바다회오리,True
251,집단구타,True
