bank_hex,sections,categories,pret_aggregators,EN_sha1,EN_entropy,EN_text_candidates,identical_all_international,identical_all_JP_revisions,identical_all_9,unique_bank_variants_across_9
00,NULL | rst0 | rst8 | rst10 | rst18 | rst20 | rst28 | rst30 | rst38 | vblank | lcd | timer | serial | joypad | High Home | Header | Home,layout/padding | core engine | header,home.asm,c30b75ba21c9c6183cc03220b2bf802c59d7f690,7.08504,90,False,False,False,9
01,bank1,mixed engine/data,main.asm,1d126f82afaa2aacc62f09d32886116bbd4730bd,6.899598,185,False,False,False,9
02,Sound Effect Headers 1 | Music Headers 1 | Sound Effects 1 | Audio Engine 1 | Music 1,audio,audio.asm,7bf99c6f26d2564275fe192436c137c28f3f7e67,6.934376,78,False,False,False,9
03,bank3,mixed engine/data,main.asm,49024578d9ad3816d7acc1d921685b0daa2b79c8,7.038046,43,False,False,False,9
04,bank4 | NPC Sprites 1 | Battle Engine 1,mixed engine/data | overworld graphics | battle engine/data,main.asm | gfx/sprites.asm,5554b5f767c8016e1851df2cb5dbd5f5d55c7c8e,6.292705,117,False,False,False,9
05,bank5 | NPC Sprites 2 | Battle Engine 2,mixed engine/data | overworld graphics | battle engine/data,main.asm | gfx/sprites.asm,14cb943d332b8b777b46a2d4ddd6c9660679c733,6.171651,114,False,False,False,9
06,Maps 1 | Maps 2 | Doors and Ledges,map | mixed engine/data,maps.asm | main.asm,58873f8ba81ac9ca9d8f34955ce99c1427c44409,5.350608,4,False,False,False,9
07,Maps 3 | bank7 | Maps 4 | Hidden Events 1,map | mixed engine/data | events/scripts,maps.asm | main.asm,34a4c90af85420d0581d2a303bb6ab1d2ea68f6f,5.085153,13,False,False,False,9
08,Sound Effect Headers 2 | Music Headers 2 | Sound Effects 2 | Low Health Alarm (Audio Engine 2) | Bill's PC | Audio Engine 2 | Music 2,audio | minigame/feature engine,audio.asm | main.asm,d80a47e4c647c45e58db38c558a8d829898a728e,6.525309,84,False,False,False,9
09,Pics 1 | Battle Engine 3,pokemon/trainer graphics | battle engine/data,gfx/pics.asm | main.asm,9939b0cc0f0466f972e030ba74d014e419bad768,7.808658,184,False,False,False,9
0A,Pics 2 | Battle Engine 4,pokemon/trainer graphics | battle engine/data,gfx/pics.asm | main.asm,4f97c2b688f37f7bc5aab9e2c46446d42d797b57,7.78616,131,False,False,False,9
0B,Pics 3 | Battle Engine 5,pokemon/trainer graphics | battle engine/data,gfx/pics.asm | main.asm,03b94c5dd9f7f2361ac22513edd57df4f675b28a,7.786038,141,False,False,False,9
0C,Pics 4,pokemon/trainer graphics,gfx/pics.asm,79283ddf5099402dcbc6beb754dd88273c0c6554,7.740457,154,True,False,False,4
0D,Pics 5 | Slot Machines,pokemon/trainer graphics | minigame/feature engine,gfx/pics.asm | main.asm,4c42f0d30ff2c66a16f797df2f4ad80a56ca2314,7.778416,141,False,False,False,9
0E,Battle Engine 6,battle engine/data,main.asm,6869c09a03be6e9e9d2424afa4e52b100baac8ef,6.741821,64,False,False,False,9
0F,Battle Core,battle engine/data,main.asm,57df3e8d5ed02f597d5bb38a110ce49e4d4de588,6.847064,42,False,False,False,9
10,bank10,mixed engine/data,main.asm,666c9766f99fae3ccf76c69b76a1a7c923bbfc38,4.353383,180,False,False,False,9
11,Maps 5 | Pokédex Rating | Maps 6 | Dungeon Warps,map | events/scripts,maps.asm | main.asm,cc95c3bcb767f29d668734e2a4aebceab6db3779,5.609395,2,False,False,False,9
12,Maps 7 | Maps 8,map,maps.asm,58a6b30ebfb3fa3c6875d63b1905fe78395ff9d6,4.968129,14,False,False,False,9
13,Trainer Pics | Maps 9,pokemon/trainer graphics | map,gfx/pics.asm | maps.asm,09afa9b2b7080921e922f07f0e71c19f09c15294,7.812634,169,False,False,False,9
14,Maps 10 | Hidden Events 2,map | events/scripts,maps.asm | main.asm,40a303b3948dc04f1cb2716960d6033043e044e6,5.499709,12,False,False,False,9
