path,size,sha256
PACKAGE_SHA256SUMS.txt,3334,3e3d975a0cd5654d224ce99b6d59c86406bf1230366324bd559e951330c6a99f
README.md,1558,eba2beb7af95fb345b301219db298325bf008800318bd6ba6c1f5c77306bd427
analysis/baseline_delta_16k.csv,322604,703200f8c272b00e995bfe96dcf09e58272866f3f58f2e924d6e349b63a926d4
analysis/baseline_delta_16k.csv.gz,61822,8ca706a2e46118555824b7a47b62059483ea9c1e14c4888423ccfdaa69f4d7ad
analysis/byte_frequency.csv,55147,18c44d35294fe2744466a053a19bfdd5df61c7414d170efc117630cd3a52c4f9
analysis/chunks_16k.csv,1070614,205281fa680df9aed0210a260c153e909f9c7ffca1d2e614e5dbbd7469ed0573
analysis/chunks_16k.csv.gz,399507,19f727f246387ad237c3d4199278923ff11faa1bbb12f6cd6c2cfae6c31f6590
analysis/gba_headers.csv,572,6c7dc52304665dbb48df0f20f3c4499d89c29f1f5b59b1723fc5ef334ece77ea
analysis/pairwise_similarity.csv,1410,9503a0f6343af5fe3320445b8aaf18c1759e9de57767dc30039d98b07c56d82e
analysis/pointer_index_DE-DE.csv.gz,1086662,552c2d068b234b633d9d5f9252266eeb5eee7f212cd377b78b94ae90da27d17b
analysis/pointer_index_EN-US-EU.csv.gz,1087332,d9d0ee461e48ab42a1d00031e56b7e37bfa95258c5ad3c71e2fe1c9222f5f8dd
analysis/pointer_index_ES-ES.csv.gz,1086298,59e9c73427f184fe0024ca972132d64277642ddbf7c0b320140c84a88ce0067a
analysis/pointer_index_FR-FR.csv.gz,1087038,54e78d74d03a2bf7e2c1f0ae3a34f33a0516ffcc31a7a40a3e4ca8bdfc9670ed
analysis/pointer_index_IT-IT.csv.gz,1085406,ddca1f444b898edbaa81e9867510317428b86936663603b8fc392df6deb89de8
analysis/pointer_index_JA-JP.csv.gz,1106915,45e11fa2ca50230acaa875a5988b52c7fdef4f3e7732fef7bcd9925c1d5e8185
analysis/pointer_summary.csv,1185,8fab573950cfc1c8f70cafbefb97c59d83aab2eb2533227371996f7dd7757e67
analysis/regions_1m.csv,10240,70b51ee34157bb09e9205eddc594d7c17fc89b10a876c967b02d304bb1c15731
analysis/rom_inventory.csv,1566,9ee236475dbef3f19b7573b25706b87bc33bf774b1225882a007fe7632142da9
docs/WORKFLOW.md,776,f7e7097cf56e285f60e500ef3d5a2904e23de3213e9e46aada6800c76c6f95f3
identities/DE-DE.json,708,b2defff6b2af42f13ef7ef26165f2319d62f4f2b7a311431f1e7b950ad572782
identities/EN-US-EU.json,718,0cce29abd11b7ded66a3dbfbe0aa9792859a2c9d98a766e1ce56ccc136b95b71
identities/ES-ES.json,708,c11b30c3a99cd319f35233d0d4a4c92f225321e8808e1475708e662da0ceeb51
identities/FR-FR.json,708,0500bfc46c0b4e0470673c155eef044cd70f55fd499ec312e1e6257a22307918
identities/IT-IT.json,708,56057bedb734318d6e3c9a5461b6f5f17fadd265748ad0f235c171b461c8923e
identities/JA-JP.json,706,c58bbcc8388a424fedafa8159040a667e40eebb514c50668b419c06e869c8c97
manifest/MD5SUMS.txt,514,1fbe9d08a0e467d9644d4a0d674d1ba2fabfb75edb87ae122923692011b68654
manifest/SHA1SUMS.txt,570,c303ebe6e95dfb9912bad72a1ce203dffb79baaba0c368c94917dd3c7e9b419d
manifest/SHA256SUMS.txt,738,c1b0c5ba2634e3c46e6c3e27bf2afca9cdd388051c01fed0a16bbb382acb6d9c
manifest/rom_manifest.json,5667,7ea3466918e4a519a3da13b24ba0ad7246eb00b4d5bcc2c13698187878fdbba7
requirements.txt,68,d9967301e510918f32349386d3d4de8af6da76bc2ba07eced91b7bc39b1948b6
tests/verification.txt,198,80f525aef67ac24af2feb15e997dedc2f3ff954080e9cc4dded7c323b892cb3b
tools/audit_emerald.py,14253,fa600b19f6f67b5c88b0d6ab7dcebc35b64b9a4811a567d4b785492c6148aa65
tools/rebuild.sh,212,f1d5d862bae4806783eba4bd622e0a377654b85ab422f9c2c1d18e5528139e6d
tools/verify_roms.py,628,6978a0b24e8c9d884d2b7ca7c1f07e35cfb7b4d545e013045503acda9a0ebafb
