method_id,method_name,used_transition_count
1,Friendship,11
2,Friendship (day),3
3,Friendship (night),2
4,Level,221
5,Trade,6
6,Trade holding item,14
7,Trade with specific species,2
8,Use item,34
9,Level: Attack > Defense,1
10,Level: Attack = Defense,1
11,Level: Attack < Defense,1
12,Wurmple personality branch A,1
13,Wurmple personality branch B,1
14,Nincada normal evolution,1
15,Nincada extra Shedinja creation,1
16,Beauty,1
17,Use item (male),1
18,Use item (female),1
19,Level holding item (day),1
20,Level holding item (night),2
21,Level knowing move,7
22,Level with species in party,1
23,Level (male),1
24,Level (female),2
25,Level in magnetic field,2
26,Level near Moss Rock,1
27,Level near Ice Rock,1
