bank_hex,bank_index,offset_start_hex,size_bytes,sha256
00,0,0x000000,16384,c070d2a7921110c840f464c3ea3b9c554e99ab5436a71498f7a5567a45d73e00
01,1,0x004000,16384,62ca6df4eb7515c592e9bbcbf5e360bedef9577fbf5a07c67d640a06d3a9ff3d
02,2,0x008000,16384,3d8c810440accd89a9454107276e6a604def72d4431e1ba4b873ce0aad6d5bce
03,3,0x00C000,16384,38c80f242bf2f92204fbfc8f29fc4b413742042c290314f6983daa940e1c6c94
04,4,0x010000,16384,6a2523746bcc671af9df5e233086fd43cdbd4b278214914e44f0c9c71052585e
05,5,0x014000,16384,677767fda65a79d4ebfda60cfc81b7cc94d143b6132a8bee06b5e2c6bc95abcf
06,6,0x018000,16384,ed36d0d8ac3b5a3aa8cc6b56dae06dd2eb75c8cb24ec5caf2ddd77a2dbf42aa5
07,7,0x01C000,16384,614a1cfd6e04c90122c5490c5d7f965fa9aef7b8b06905ad54ac1b10edfacedc
08,8,0x020000,16384,159a588d63c8db863c4210ec832171e51ba4b7c2743003b51c12cb5b9f67fed4
09,9,0x024000,16384,42b85e079b363768704a230229811f377c66f344c35d812a87894464bfed01b7
0A,10,0x028000,16384,89f89d64ed3f6d6aee89757eab81d1ecfed977c8585f8b2472aac475d2082b9d
0B,11,0x02C000,16384,b5a93d08138cbb4eb4afaf825dc49171b7f30bf9985d1f39b6fff0eac93908e3
0C,12,0x030000,16384,a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47
0D,13,0x034000,16384,5c0295c2aeed1b28a917c51b3dcc37531fe70fb03bae5885007a45488905869e
0E,14,0x038000,16384,f947c9765873b6e060a42877c5c666c52250f300e06f9027fcff01e9de44ad04
0F,15,0x03C000,16384,9ed65cbe15946081c381e9b618090965fb21e74b5c0f8a5c252ace554d21d6f8
10,16,0x040000,16384,d7e1eb6f37a0ffcf9f73ec1195699bc6a08c9e5d1b051dc792ccc9e9487f5dae
11,17,0x044000,16384,dc93ebddb9d00b6b8e7aa84c066797385c145f85286c5e0514c9b77549a8f6e9
12,18,0x048000,16384,43096be9cdcad3338c9a02f13c8ddcbeab93bb10fdee8cb3dc2ebf568c4da44a
13,19,0x04C000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
14,20,0x050000,16384,ae6c0655ff8621cae2fa8cf3aaadf845da7387d8bc5194da3b798c79064db772
15,21,0x054000,16384,a0deb2987e30da8dd01516ccf2ea3ed3c01e14943911ec2b4cd9f890162bf3c3
16,22,0x058000,16384,a802c16daddbe0d5e96c98dd6d46940c344997ba548dd9b116a35dd89d215983
17,23,0x05C000,16384,b00faa3dc29234a940c6dc8ea8a6f2ba0c1d90e184d32c30e0c9c6beb49a6abc
18,24,0x060000,16384,cb72c4b00fe41dec9e0f806011da24f50ce8792cc56801a9136ce2023c536830
19,25,0x064000,16384,e178018c2d4ce64ff84b966ab22d54cffe8f6cf0ac52318d1fa9a9303b5d498a
1A,26,0x068000,16384,4ec670941a64598ed462856488dbe40da1698c674bfa4c437ad7bae417b4300a
1B,27,0x06C000,16384,2ccb250102cf973783a1a26beb151fb66c995e39f64669c2130acf458ac50f15
1C,28,0x070000,16384,7c941d0ab4c5a09cf014c72ec44fdebaf7a9c5b46bb4ba478516affac01e3791
1D,29,0x074000,16384,b3335f8aa8ea2686e4ebea61b142c22d65e9ef3e480955fabfbcf60d311796b3
1E,30,0x078000,16384,223c7b6d9d94f9822d56b22c80cf08df6396c87c7a986aaca6d2a160e78ca7d1
1F,31,0x07C000,16384,7d57d15094a9c038ca1b9acf2e32de6d5d3543c4e9a5795038bee146484d3d4e
20,32,0x080000,16384,f8af484ac6fc27e07c2f579ebdc02172727124258a758e530e8f332f43775452
21,33,0x084000,16384,de718cc6d026793502c9e41d216c18e32d7380e07e7f4898a29d5f115af74c0d
22,34,0x088000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
23,35,0x08C000,16384,40947e76f819d23632ad6935f8816a66ade4652fc3ca819bad6d49ebea1ede1a
24,36,0x090000,16384,73f8726716b889b5fe3b428a10b8b3bf59992a3ca779c2f260699ebc04100208
25,37,0x094000,16384,b9577d1d2dae5b05cf4f4ebe6d691acea07c6375c35b712fef1ce51a6a75009e
26,38,0x098000,16384,3263c646f77dfcd940b4694363811ec03bde77b924202ab170e06c753ba61861
27,39,0x09C000,16384,f6574d45d4c7e654d411ee7df397bf624a8463f592f710458f0b3db2030eaa72
28,40,0x0A0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
29,41,0x0A4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2A,42,0x0A8000,16384,d3e7c5b2611ead5571d43c4d0881de81cc1547e29d5aaa5e5c0696733c4e85bc
2B,43,0x0AC000,16384,a60a9c343221efff4ed426bd310d46261a030a6824071944d081905eb7074057
2C,44,0x0B0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2D,45,0x0B4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2E,46,0x0B8000,16384,7bd946df7e430f2c9f314e53f975089711ff7d24dd5a2b8d2344895ff7823a24
2F,47,0x0BC000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
30,48,0x0C0000,16384,4a4bf9ecbb1b7a8fc36687f4d3a7428464d12353c17c27f096fa5e6bd2229ef5
31,49,0x0C4000,16384,cbebfc4cf6ddfc1151f888f5646d4c48ad4bb7daf24503e7a7885c9d8d85acb1
32,50,0x0C8000,16384,7d3c20b9d3742b677aaf767c650e08dff2d4a6dfca2af50cb78e6b3ea532c9de
33,51,0x0CC000,16384,e2f9ac488af19787d3817fff578581b0451ac0989e2a94a52471ccc65012f731
34,52,0x0D0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
35,53,0x0D4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
36,54,0x0D8000,16384,5582caae860a5d81bad712afd17965860ec883af5fcff3ea545594f6793090c7
37,55,0x0DC000,16384,88f10cbfed5b30c41f4ccf66a44716609a1237d81f7e592ddd893a25deeb4233
38,56,0x0E0000,16384,a02497c9666d394148aa624d9e876e964ab6d64f718b146f68ba452319863ca6
