bank,offset_start_hex,offset_end_hex,sha256
00,0x000000,0x003FFF,d0b4c09b669ce16f1cb778b99778f154bd65c501fecaf0609d4482b5402722e5
01,0x004000,0x007FFF,f57f903608b395e06801fd293314bf64acd179e1226e21383cc42272c7ad31fa
02,0x008000,0x00BFFF,de05326e84f0b1e9e1b484a636f5deb7523bb3ffb642403bf6f5b1775e7da807
03,0x00C000,0x00FFFF,6f7d6bcba3a4305f8ce2def1743bb4e5c2bdf8ab36ab93b53f72fb6ec32a5a0e
04,0x010000,0x013FFF,8ee0e248f9444747629746db28f14981e045a01ae03820f2d6d8319cbb937e07
05,0x014000,0x017FFF,abaa7147be7fd8aa3c4e6a44393f8cd9104293729e459c38de8d224510945002
06,0x018000,0x01BFFF,1b639de1c58778a0a212cf49b0a1c1b9d06d7a3c59b9ba4568ed43b77d4fad63
07,0x01C000,0x01FFFF,ffd5ea12bbddae5687961c9345b841c17c205ef2b5eb069aefe02f53269ecd3e
08,0x020000,0x023FFF,63eadd77ff9070ae191f615bbc159c4216be48e3b7d825b725cf117a31b81b72
09,0x024000,0x027FFF,837aa94c4719a003fb31f07e24f8ea6876cabf8ef70dd54e7381b860a2441d7e
0A,0x028000,0x02BFFF,6b21b0fb1096f7f67863f4cf1dcbfac57a9a8e399bec1b1708dc336f71d8cfb5
0B,0x02C000,0x02FFFF,e47c4f97699850ac2e112531b7e7568786ce13f6d0bd5bc59ed844ea5b4af3d1
0C,0x030000,0x033FFF,fb78e5c6a7e371b5196ace6798667669b6c03f8f9615f73647cfc34cbbc38fb6
0D,0x034000,0x037FFF,df018069a5bac220ff101bfccad68ede7010f93546877d38b8e6086b3aa068ee
0E,0x038000,0x03BFFF,877d05a81ace93ad3af434993fec1f3716cda5d49202ef52389b54baeceadb19
0F,0x03C000,0x03FFFF,d0758dea36fa3301309b97c25601165da0617813ad7cf506711e42bc3b5719f0
10,0x040000,0x043FFF,16f1db15314d05c3e3382c5fd9bb2f7e91d82062358f56f33d9247d69b1f4fb1
11,0x044000,0x047FFF,d5dd40b74012cb962a2ed74b09604ff6389943cff764b46e980767875ff7244c
12,0x048000,0x04BFFF,c8e0a7d0a70003d40f93f7b11e247e3beb7c34cd0d431f18aa6c700662d20a93
13,0x04C000,0x04FFFF,5c951152ebb8e99b0b071a908f5f4df2b1926d9fd049054f939f3d874523646f
14,0x050000,0x053FFF,8e8fdbbc7c71fcc9b67706cbca9cfb705835f80be9b143e602766f279e6b9caf
15,0x054000,0x057FFF,6219102c801ba89e3ad5916b9e6e9c98c0ba972e0adffa3bdee5cd46cef1e1aa
16,0x058000,0x05BFFF,3ea91a348dcaf627ba756a1e3fa0a0e045916ccfd7cd6bcab869cb33541fffdb
17,0x05C000,0x05FFFF,f5f42eea110585748d401b06c35793ceb43a0c8f3adbec81b58c35c8c9ce6aeb
18,0x060000,0x063FFF,98851763fad2a332a0d017894aaffcdbfd26fc59127d65211f3c2c6ceb1cfc13
19,0x064000,0x067FFF,3ea229671b06c8d18d7bac27fa4b98333f6f1851aa639799ca7fdfcfe14988fa
1A,0x068000,0x06BFFF,1455f8a7624c310526718145100d6b7eab041686011d5ceecfb15fef54a72ec1
1B,0x06C000,0x06FFFF,32a115466412711a261e1a52150956050992ba540b4a00ef36232603cb7c78ba
1C,0x070000,0x073FFF,45b9d316fcc6bae9d12ac39cdaf461ad6069dd1bd9912864598738b369eb71ee
1D,0x074000,0x077FFF,72ef16946c0669c745ff27d9faddc92d80f08ebbc4728d75226148a744a4b894
1E,0x078000,0x07BFFF,f7513734d31fc533f206d4dc8e9bf7ea86261fe871a0c41a40bc2d493808a15b
1F,0x07C000,0x07FFFF,7e3c6e05560fe4ad970d33ff3e8b91ca0b97431336c1255c679e828f680e0d69
20,0x080000,0x083FFF,ecb912b763af1f8454ec3a9ba5d5f82aba1c92aae11a0ef8b17366d3c26fc02c
21,0x084000,0x087FFF,4477ca6867e5da2ce3a951f253d7b02b201875b23e6c435d14dae4bdb7aeed01
22,0x088000,0x08BFFF,9eba2c9897d5bddf86db042f887a6cc1e35da8c579107da3769a0caf7f941932
23,0x08C000,0x08FFFF,1b227701b38aba3e9e51d502eb4e5fb84a741de9e1dce6c82ac533dc3f61de19
24,0x090000,0x093FFF,e8875af73f8dc0046fdcf3ae8c7cd722e0802f7c0baa53b2188ace2c854e8f80
25,0x094000,0x097FFF,ccf04b1a7cee801ffb1947ba0d9b71d019104980eee153d228dde7ec4eb6ce9b
26,0x098000,0x09BFFF,07b0f2db820eee44a426f94f67575cca7d393f86f38ecc0df7d16f8fd73c1eda
27,0x09C000,0x09FFFF,62b9089fb70f34c63124f0e4f033b98f7d7be1baaff691f34d74b25fa558d4c3
28,0x0A0000,0x0A3FFF,764336de32018e47f84b32984cbc734bc8e15465bf294d23202e675311ef922d
29,0x0A4000,0x0A7FFF,196a26b003d312a50a08bbdb0bd9b9a13d981cb2702e40d9ccb75f334778e678
2A,0x0A8000,0x0ABFFF,be0ca6b96bdcc238e3e3747ef7459cf348bc26124a51a36217ff6f33ffbee3ed
