bank_hex,file_start_hex,different_bytes,identical_bytes,similarity_percent,first_diff_local_hex,last_diff_local_hex,rev0_sha1,reva_sha1,identical_bank
00,000000,13109,3275,19.989014,0051,3FFF,5c50c205d61da12784a5aa0fa9014e0318517326,ea4e846d437aeda413b99a9351058c4078e138e4,False
01,004000,11803,4581,27.960205,0795,3FFF,34690d3cfb7abacfd770c52d76dd3955c082a4f5,684a549d7dafd4085856ca30473be2864c62b4e8,False
02,008000,18,16366,99.890137,0A49,3FFF,d348c7b86ddd36c2d45fef78a5fae97367df865d,b0aa7e34c8e5c4f2c1191ea7f9505704a1bc93c7,False
03,00C000,366,16018,97.766113,0532,3FFF,6deff8266de605d8562cbdbf67b8921f2cb4e029,90955297368490ccadb0b20a6ba6493788147f24,False
04,010000,233,16151,98.577881,1AFB,3FFF,d99683eb102a738e08163e11c4bf7bd444a49550,243f329b7054e3657158ab97fa8519393afb3d34,False
05,014000,83,16301,99.493408,3C2D,3FFF,ac4181a6e38c3372d9842c338d86ea74694a4305,db0b85deeeb98ae32f8e391fdb983dce390b5d39,False
06,018000,348,16036,97.875977,0E68,3FFF,01b06cb8ccb9110b631543af06ffc727a82035e4,c89c789bbf7d34e698156919d598ef7112d3b95c,False
07,01C000,560,15824,96.582031,0222,3FFF,f201f3741860acac72069bd9e27d18a0b1b12eda,3defa14e68c8957db302a734860f449cb5119374,False
08,020000,60,16324,99.633789,0004,0FEF,de9a604ae943e89bdd9e74e33f3c8d6f167d9be1,4f562b7171ee7900e5fa8500bdf5530ee505fb04,False
09,024000,519,15865,96.832275,3DCE,3FFF,314b4e40615342e72ace9e1d44878cce518070e2,c78d296a1573526c10af4b42842cb8ea062b02c3,False
0A,028000,14,16370,99.914551,3F92,3FFF,5370045e0ff523d9102dae4753a4e1135657172f,0b3bdecdbeb2792a478acbc9c0dfa28a7a1ecf9d,False
0B,02C000,13,16371,99.920654,3E80,3FFF,07efe0e7a4b5df67fbd877d9a23265b56f840169,84dc6698c5aec1dabec371204d905f09c87a754b,False
0C,030000,32,16352,99.804688,3F83,3FFE,26eadb4795517d29936489d446962e23d0ffa437,ae4366bcc8d4956a64cd6f6fc019e98af0ca298a,False
0D,034000,65,16319,99.603271,33AF,3FA8,1225b1bb261614c8dfffc27611148b57471ed4de,623f710d726377b21627ac3c50f3aa2b0e5a210f,False
0E,038000,79,16305,99.517822,1AF2,3FFF,6f9a7d65eef81c77d8344056ac265a806fc9e597,0980662be6b58f1c63a62b2124273d1f16072b01,False
0F,03C000,15403,981,5.987549,004D,3FFF,29766acd4191e6ce6f1467513168cd847bff8ccd,9c9807f0249461f981a1ddc4bd4ceb18350dc7b9,False
10,040000,135,16249,99.176025,0001,3FFF,d6880c1bfde1eb5543a9deaa333648a3c2331636,636d5f380ef191017bf457f0284c5245fb77e262,False
11,044000,307,16077,98.126221,010C,3FFF,e27bf15c20ac626b708a622f3a970920b38f3766,3c6ece3ee092846179085187ddfc1bd8a51b7a5a,False
12,048000,406,15978,97.521973,00EC,3FFF,e8faafcf931045513e2210b0565435e1f7f96d8f,af1896b2f6cef12f4205781681e5aeae190d2fdd,False
13,04C000,36,16348,99.780273,3D11,3FFF,a39b3e680a40e3b74d37c1692fa847bdbce19d21,c1abe23353d3ea4db69f05b29a3d8f09eae4fdb3,False
14,050000,379,16005,97.686768,0C01,3FFF,6e57a9e5726fa5b3252cf321c416ff1bb3456fd9,601d7efd2510eb5763c874428886866dd0ea69ef,False
15,054000,313,16071,98.089600,1250,3FFF,ef7edd451a6eeee4b6e41f6f932ae9990864663c,717d98a7614353fc6c94202021eb335c74992120,False
16,058000,330,16054,97.985840,0D9D,3FFF,50b3d96ef2acc522863c3cfba9c8055bbc5ade04,b0940397d70235a1192c6a440af6be89c9a55db0,False
17,05C000,397,15987,97.576904,00B1,3FFF,7cc73d86eec3d2371f13bac2869f8c365060bab6,9a0d7997c1c885d3b2fc518e5276010648eb6b64,False
18,060000,359,16025,97.808838,042D,3FFF,802db7b1328a4c15c4fa712e3a446ab1e0f5b5f6,e6d9783d74055b6b2400872cbc0b138966aeeeb9,False
19,064000,32,16352,99.804688,3FE0,3FFF,b72b68391c735f3c2723fc31b02f13106cdef09f,35c5fa205c031e2ea47b43740a33cadc320bffef,False
1A,068000,2,16382,99.987793,3FF4,3FFF,a266c160f6ace3bf3c3d40aab9c24823ff965ed2,59ed004f46ec877f512faad982d51e8c427d8c19,False
1B,06C000,0,16384,100.000000,,,682b94550690d2e4c4103fe93753ed74ab38fc72,682b94550690d2e4c4103fe93753ed74ab38fc72,True
1C,070000,203,16181,98.760986,0009,3FFF,4249ab5133841889a9b90b21d30edf0d62624a60,02237adf7b392abe694f0a5ad7b435d9fda01ebf,False
1D,074000,425,15959,97.406006,0068,3FFF,9dae16e0708e97de2af1f24f58db67bfc176974c,3b7cc2fa3a82a2b76fb9b481bd3a01f7b52fa47f,False
1E,078000,132,16252,99.194336,0C8C,3FFF,19bfac7d62658a98c000d7e6d2ec699ed1ecef2b,82b68e0ed9c8765fa36645f1ea15f122ca7e7d9a,False
1F,07C000,7,16377,99.957275,03F0,3FFF,ff43de20c18860e296b7ed16e5de19d2a298aa88,ac511d8b454da83f87cc82c3425e56fd62f8aa1f,False
