ID,Event,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH2-001,Route 30 pre-quest trainer battle blockade,Two youngsters' Pokémon are shown battling on Route 30; the scene occupies the route before the Mystery Egg quest is completed.,"Same core blocking/battle spectacle, with the same Joey/Mikey setup and visible Pokémon actors.",Keeps the staged battle idea but uses explicit Rattata/Pidgey Pokémon objects and scripted animation in `R30`.,Preserve the GSC route gate and event timing. Treat HGSS as a presentation variant: retain the existing visible-Pokémon battle staging, optionally adopting HGSS's Rattata/Pidgey pairing and choreography instead of GSC's Rattata/Rattata pairing; do not change when the path opens.,backport presentation / preserve progression
PH2-002,Mr. Pokémon gives the Mystery Egg,"Mr. Pokémon receives the player, gives the Mystery Egg, explains the Day-Care origin, and turns the conversation over to Oak.",Same core scene and story fact.,"Same story fact with longer movement choreography, follower handling, healing transition, and scene-variable updates.",Keep the GSC Mystery Egg flag and item handoff authoritative. Backport HGSS movement/healing choreography around the same completion state.,direct story backport
PH2-003,Professor Oak gives the Pokédex,"Oak evaluates the player, gives the Pokédex, then leaves for Goldenrod.",Same core scene.,"Same sequence, plus registers Professor Oak as a Pokégear phone contact before leaving.",Preserve the GSC Pokédex acquisition and Oak departure. Add Oak's phone registration as an HGSS extension if the expanded phonebook is enabled.,additive HGSS extension
PH2-004,Elm panic call after Mr. Pokémon's house,The robbery call is armed by the Mr. Pokémon house sequence and triggers the return to New Bark.,Same core progression.,"`R30` explicitly sets the Elm panic-call flag, places the phone call, and advances the Route 30 scene variable.",Keep the original GSC robbery-call story flag as canonical; adopt HGSS's explicit call-state bookkeeping to prevent duplicate or missed calls.,state-machine hardening
PH2-005,Route 29 catching tutorial,Optional tutorial by the tutorial man; player may decline. Demonstrates catching a Lv. 5 Rattata and can be repeated later.,Same core optional/repeatable tutorial.,Replaced by the opposite-gender friend and Marill. The main scene proceeds directly into the tutorial and then gives 5 Poké Balls.,"Preserve GSC player choice. If accepted, use the HGSS friend + Marill staging. Use one shared starter-ball receipt flag so rewards do not duplicate.",merged branch / anti-duplication
PH2-006,First five Poké Balls,Elm's aide supplies 5 Poké Balls after the Mystery Egg is returned.,Same core reward structure.,The Route 29 friend gives 5 Poké Balls immediately after the catching demonstration.,Keep both scenes but only one actual reward. Whichever scene runs first sets the shared receipt flag; the later scene changes to acknowledgement/tutorial dialogue.,project integration rule
PH2-007,HGSS Apricorn Box scene on Route 30,No Apricorn Box key-item scene; Gen II handles the relevant field/item structure differently.,Same Gen II structural baseline.,A dedicated Route 30 Apricorn man scene gives the Apricorn Box and sets `FLAG_GOT_APRICORN_BOX`.,Backport only when the Gen IV-style Apricorn inventory/UI layer is implemented. Never gate main-story progression on this new key item.,feature-dependent HGSS addition
PH2-008,Violet City school guide / Earl,Earl and the Trainer School remain an early-city tutorial element.,Same core role.,Retains the school-guide concept with expanded pathing/escort scripting in Violet City.,Keep the GSC Earl event and backport only expanded movement/escort presentation.,presentation expansion
PH2-009,Sprout Tower vs. Violet Gym ordering,"Sprout Tower and Falkner are loosely coupled; the Elder's Flash reward references the badge for field use, without HGSS's explicit before/after guide-state swap.",Same essential ordering freedom.,"Defeating Elder Li flips the Violet Gym guide from a pre-Sprout object state to a post-Sprout state, making the tower an explicit early progression beat.",Do not delete GSC freedom. Let the Gym be entered early and use the HGSS guide as a soft gate/recommendation; branch follow-up dialogue if Falkner was beaten first.,preserve freedom + HGSS narrative guidance
PH2-010,Sprout Tower rival/Elder confrontation,Rival has already beaten the Elder; Elder criticizes his harsh treatment of Pokémon. Rival dismisses the lecture and escapes.,Same core scene and characterization.,"Preserves the same confrontation and dialogue role, with expanded movement/disappearance animation and dedicated state flags.",Treat the GSC scene as canonical. Backport HGSS choreography and safer completion flags without rewriting rival characterization.,direct story backport
PH2-011,Sprout Tower Flash reward,Elder gives HM05 Flash after battle.,Same HM05 reward.,"Elder gives TM70 Flash, then flips Violet Gym guide state flags.","For the GSC engine, keep HM05 as the canonical story reward. Record TM70 as the Gen IV counterpart and expose it only after expanded TM/HM architecture exists.",data-system conflict / preserve original
PH2-012,Falkner / Zephyr Badge,Falkner awards Zephyr Badge and TM31 Mud-Slap; the badge sequence initiates Elm's assistant call.,Same core badge/TM/call sequence.,"Same badge progression, but reward is TM51 Roost; winning sets Violet/Elm scene state for the Togepi Egg handoff.",Keep badge and Elm-call progression identical. Preserve TM31 and add TM51 only as an explicitly documented project integration reward after TM expansion.,preserve + additive reward
PH2-013,Togepi Egg handoff location,Elm's aide delivers the Togepi Egg in Violet's Pokémon Center after the first badge.,Same basic handoff location/role.,"Elm calls after the badge, makes the aide appear in Violet Poké Mart, and the aide gives the Togepi Egg there.",Support both source locations with one shared `TOGEPI_EGG_CLAIMED` flag. First valid interaction gives the egg; the other becomes follow-up dialogue.,dual-location merged event
PH2-014,First Kimono Girl story encounter in Violet,No equivalent main-story Kimono Girl event tied to the Togepi Egg.,No equivalent HGSS-style five-Kimono-Girl story chain here.,"After the Poké Mart aide gives the Togepi Egg, Violet City scene state advances and exposes a Kimono Girl event on return to the overworld.","Add as the first HGSS Kimono Girl chain flag, triggered by shared Togepi Egg acquisition regardless of which aide location was used.",new HGSS story layer
