ID,Event,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class,Evidence
PH3-001,Route 32 southbound gate / Miracle Seed,The Route 32 man checks Zephyr Badge and the Togepi Egg handoff before letting the early southbound progression settle; he gives Miracle Seed after the requirements are met.,Same core Route 32 progression and Miracle Seed role.,"Keeps the Zephyr Badge / Togepi Egg checks with expanded movement, follower handling, and explicit state. Item 239 is Miracle Seed.","Keep the GSC gate conditions authoritative. Backport HGSS movement/state bookkeeping, but do not create a stricter new story gate.",state-machine hardening / preserve progression,pokegold maps/Route32.asm; pokeheartgold scr_seq_0232_R32.s; include/constants/items.h
PH3-002,Route 32 million-dollar SlowpokeTail salesman,"A salesman offers a SlowpokeTail for 1,000,000, foreshadowing the Slowpoke exploitation plot before Azalea.",Same narrative foreshadowing.,The same SlowpokeTail sales pitch remains in Route 32 message data.,Preserve this scene unchanged as deliberate foreshadowing for the Azalea/Slowpoke Well story.,preserve original narrative foreshadowing,pokegold maps/Route32.asm; pokeheartgold msg_0380_R32.gmm
PH3-003,Ruins of Alph branch before Union Cave,Ruins of Alph is reachable as an optional side branch and is not required to reach Azalea.,Retains the optional branch while expanding Crystal-specific Ruins content elsewhere.,Retains the branch as optional side content rather than a main-story gate.,Do not force the Ruins into the main story. Preserve optional access and later integrate version-specific Ruins content in its own event pass.,preserve optional-content topology,GSC/HGSS map topology and Route 32–Ruins/Union Cave connections
PH3-004,Union Cave traversal,"Union Cave is the required route toward Route 33/Azalea, with side floors remaining exploratory content.",Same main-story traversal role.,Same core traversal role; the checked 1F/B1F/B2F scripts do not introduce a new main-story branch.,"Preserve GSC progression. Treat HGSS cave changes as map/encounter/presentation work, not a story rewrite.",preserve progression / defer map integration,"pokeheartgold scr_seq_0056_D25R0101.s, 0057_D25R0102.s, 0058_D25R0103.s"
PH3-005,Azalea arrival: missing Slowpoke and Rocket guard,Slowpoke are absent from town and a Team Rocket member guards access to Slowpoke Well. NPC dialogue establishes that tails are being sold.,Same core crisis and town-state change.,Retains missing Slowpoke / Rocket occupation states with explicit hide/show flags and additional actors.,Keep the GSC crisis state as canonical. Import HGSS object-state bookkeeping so town NPCs and Slowpoke restore cleanly after the well is cleared.,direct story backport / state hardening,pokegold maps/AzaleaTown.asm; pokeheartgold 071_T23.json; scr_seq_0866_T23.s
PH3-006,HGSS Rocket harasses an Azalea civilian,No equivalent staged harassment scene; Rocket presence is conveyed mainly by guards and dialogue.,No equivalent HGSS-style staged scene.,Azalea script stages a Rocket member physically harassing/chasing a civilian and records dedicated before/after flags.,Add the staged harassment as an HGSS narrative layer without replacing any GSC Rocket guard or civilian dialogue.,new HGSS story presentation,pokeheartgold scr_seq_0866_T23.s; 071_T23.json
PH3-007,Kurt explains Team Rocket and rushes to the well,"Kurt explains Team Rocket's history and SlowpokeTail operation, then rushes out to confront them.",Same core story beat.,Preserves the scene and explicitly mentions Red having broken up Team Rocket three years earlier in post-rescue dialogue; adds movement/state handling.,Preserve the GSC Kurt sequence and dialogue facts. Backport HGSS choreography and the explicit Red continuity line where it does not duplicate existing text.,direct story backport / continuity expansion,pokegold maps/KurtsHouse.asm; pokeheartgold scr_seq_0874_T23R0501.s; msg_0571_T23R0501.gmm
PH3-008,Kurt is injured in Slowpoke Well,"Kurt falls into the well, hurts his back, and asks the player to defeat Team Rocket in his place.",Same core scene.,Preserves Kurt's injury and post-battle recovery with more explicit follower/movement handling.,Keep the GSC story fact exactly; use HGSS choreography and safer completion flags only.,direct story backport,pokegold maps/SlowpokeWellB1F.asm; pokeheartgold scr_seq_0060_D26R0102.s
PH3-009,Slowpoke Well Rocket command structure,The well contains four ordinary Rocket grunt encounters; the final grunt delivers the 'underground activities' warning before the group leaves.,Same basic grunt-led confrontation.,"The final authority is named Executive Proton, who warns the player after battle that Team Rocket continued operating underground.","Do not erase the GSC grunt roster. Keep the original grunt battles/dialogue and add Proton as the final commander after them, making the HGSS hierarchy additive rather than substitutive.",HGSS character expansion / preserve original encounters,pokegold maps/SlowpokeWellB1F.asm; pokeheartgold scr_seq_0060_D26R0102.s; msg_0091_D26R0102.gmm
PH3-010,Rocket retreat / Slowpoke restoration / Ilex activation,"Clearing the well removes Rockets, restores Azalea Slowpoke, activates the Azalea rival scene and Ilex Farfetch'd quest, then returns the player to Kurt's house.",Same core state transition.,"One completion script clears/sets town, rival, Ilex, Farfetch'd, and Rocket flags and warps to Kurt's house.",Use one atomic completion routine modeled on HGSS so all GSC and HGSS states switch together and cannot partially desynchronize.,state-machine consolidation,pokegold maps/SlowpokeWellB1F.asm; pokeheartgold scr_seq_0060_D26R0102.s
