ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH10-001,Kanto postgame entry,S.S. Aqua first arrival establishes Vermilion as the practical Kanto opening after the first League clear.,Same broad post-League structure.,Same opening is retained after the National Dex/S.S. Aqua sequence from Phase 9.,Keep Kanto as an open postgame region rather than replacing it with a rigid HGSS-only linear sequence.,arc handoff
PH10-002,Kanto Gym openness,Most Kanto Leaders can be challenged in flexible order once their local map/event conditions are satisfied.,Preserved.,"HGSS preserves broad nonlinearity but adds local prerequisites, phone/rematch states and a Kanto-badge counter.",Use independent leader eligibility predicates; do not hard-code a single eight-Gym order.,progression architecture
PH10-003,Power Plant first contact,Manager dialogue starts the stolen Machine Part state; flags expose the Cerulean Gym Rocket and prepare the guard phone-call scene.,Crystal uses the same core state machine and adds its own NPC/trade content.,"Power Plant `R10R0202` sets `FLAG_GOT_POWER_PLANT_MANAGERS_STORY`, updates the Power Plant scene, then exposes the Cerulean Rocket.","Preserve the GSC event identity; HGSS choreography/state names are implementation references, not a replacement story.",legacy-preserved event
PH10-004,Cerulean Gym Rocket intrusion,"After Power Plant activation, the Rocket Grunt runs out of the Cerulean Gym and relocates toward Route 24.",Same.,"`T04GYM0101` hides the Gym Rocket, clears the Route 24 Rocket hide flag and advances Route 24 state.",Use one semantic `MACHINE_PART_ROCKET_DISCOVERED`; retain source-specific movement and map-scene choreography.,state transition
PH10-005,Route 24 Rocket battle,The foreign Rocket member is encountered north of Cerulean and defeated as part of the theft investigation.,Same broad event.,`R24` contains the remake battle/state progression before the Machine Part can be reclaimed.,"Preserve this as a mandatory substate of the Power Plant case, not an optional trainer.",story battle
PH10-006,Misty displacement during theft arc,Cerulean Gym is initially disrupted and Misty is away on Route 25; resolving the Rocket encounter returns the Gym toward normal operation.,Preserved.,HGSS explicitly clears Misty and boyfriend hide flags when the Rocket escapes the Gym and uses Route 25 scene states.,Model Misty availability separately from badge possession; avoid spawning two Misty actors.,NPC state
PH10-007,Route 25 Misty encounter,Misty is met outside the Gym before returning to accept the challenge.,Same.,`R25` handles Misty scene state and additionally participates in the HGSS Suicune chain.,Keep Misty-return state independent from Suicune/Eusine states so Crystal integration cannot deadlock the Gym.,legacy-preserved event
PH10-008,Machine Part recovery location,The missing Machine Part is found in Cerulean Gym after the Rocket clue/battle state.,Same.,"`T04GYM0101` gives `ITEM_MACHINE_PART`, hides the pickup markers and advances the Route 24 state.",Preserve the Gym recovery location and use an explicit key-item possession + claimed flag pair.,key item
PH10-009,Power Plant repair,Returning MACHINE_PART consumes the item and sets the permanent Kanto-power-restored state.,Same; Crystal retains extra NPC content in the facility.,HGSS warps to the repaired Power Plant map variant and sets `FLAG_RESTORED_POWER`.,Use a permanent `KANTO_POWER_RESTORED`; map visual state should be derived from it after reload.,world state
PH10-010,Power Plant reward difference,Manager rewards TM07 Zap Cannon after the repair.,Same core reward in Crystal source.,Manager rewards TM57 Charge Beam after repair.,Never overwrite one reward with the other. Preserve GSC TM07 under GSC mode and expose HGSS TM57 as an additive/remake reward after TM-table expansion.,reward conflict
PH10-011,Lavender Radio Tower Expansion Card,"After restoring power, the Kanto radio upgrade can be obtained.",Same basic Pokégear upgrade role.,"`T05R0701` requires `FLAG_RESTORED_POWER`, then sets `FLAG_GOT_EXPN_CARD` and registers the Pokégear card if needed.",Make restored power the authoritative prerequisite; preserve one-time acquisition and repeat dialogue.,system unlock
PH10-012,Poké Flute radio channel,The Kanto radio expansion enables the Poké Flute channel used for Snorlax.,Preserved.,HGSS checks whether radio music channel 5 is currently playing at the Snorlax object.,"Implement the actual channel/playback predicate, not a simple key-item check.",radio system
PH10-013,Snorlax encounter,Vermilion-side Snorlax is Lv.50; Pokégear near Snorlax + Poké Flute channel wakes it and sets `EVENT_FOUGHT_SNORLAX`.,Same functional roadblock.,"Route 11 script uses `RadioMusicIsPlaying 5`, then a Lv.50 static battle and separate meet/caught flags.","Preserve Lv.50 and road-opening role; keep battle-attempt, defeated/met and caught outcomes distinct.",static encounter
PH10-014,Snorlax whiteout/catch states,GSC battle removes the roadblock after the encounter result and records the event.,Same.,"HGSS has explicit `FLAG_ENGAGING_STATIC_POKEMON`, loss branch, `FLAG_SNORLAX_MEET` and `FLAG_CAUGHT_SNORLAX`.",Adopt HGSS-grade outcome tracking while preserving GSC map progression semantics.,boundary condition
PH10-015,Diglett Cave west-Kanto opening,Removing Snorlax gives practical access through Diglett Cave to Route 2/Pewter side.,Same.,HGSS rebuilds the same regional connector with DS maps and field systems.,"Do not replace Diglett Cave with a warp shortcut; preserve encounters, exits and side objects.",map progression
PH10-016,Copycat side arc unlock,"After Machine Part return, Copycat discusses her lost Poké Doll and the Vermilion Fan Club branch becomes relevant.",Same.,HGSS power restoration changes Copycat/Fan Club visibility and later awards `ITEM_PASS`.,Keep as a post-repair side arc; it must not gate ordinary Kanto Gym progression.,side quest
PH10-017,Lost Poké Doll,Vermilion Fan Club gives `LOST_ITEM` only after Copycat has asked for it.,Same.,HGSS likewise exposes the Fan Club lost item after repair and Copycat-state progression.,Use explicit requested/obtained/returned states to prevent early duplication.,key item
PH10-018,Magnet Train Pass,Returning LOST_ITEM to Copycat gives PASS for the Magnet Train.,Same.,"`T11R0802` consumes `ITEM_LOST_ITEM`, shows the returned doll and gives `ITEM_PASS`.",Preserve the GSC quest verbatim in logic; upgrade only presentation and item UI.,legacy-preserved side quest
PH10-019,Magnet Train service,Restored Kanto power and possession of PASS make the Saffron–Goldenrod rail service usable.,Same.,HGSS retains the service with Gen IV field/UI presentation.,Treat power restoration and ticket entitlement as separate prerequisites.,transport system
PH10-020,Lt. Surge / Thunder Badge,Vermilion Gym awards Thunder Badge; Gen II script does not give a Leader TM here and notes the old traps are inactive.,Same broad Gen II behavior.,"HGSS reactivates a trash-can switch puzzle, awards Thunder Badge + TM34 and increments the Kanto badge counter.",Preserve Gen II no-TM reward under GSC mode; add HGSS TM34 as source-specific reward. Preserve both puzzle variants as selectable compatibility behavior.,Gym difference
PH10-021,Misty / Cascade Badge,Cerulean Gym becomes challengeable after Misty returns; badge is the persistent progression reward.,Preserved.,HGSS awards Cascade Badge + TM03 and increments the Kanto badge counter.,Keep theft/Misty-return prerequisites separate from battle completion and TM receipt.,Gym difference
PH10-022,Brock / Boulder Badge,Pewter Gym awards Boulder Badge; Gen II script has no Leader TM reward.,Preserved.,HGSS awards Boulder Badge + TM80; TM receipt has its own retry flag.,Preserve GSC reward state and add HGSS TM80 only in remake/integrated reward layer.,Gym difference
