ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH7-001,Goldenrod Rocket pre-occupation trigger,Gen II Gym scripts evaluate total badge count; at the six-badge state Goldenrod Rocket presence is armed before the full Radio Tower occupation.,Crystal keeps the shared GoldenrodRocketsScript stage.,"HGSS abstracts the three flexible midgame Leaders with VAR_MIDGAME_BADGES; Chuck, Jasmine and Pryce each increment it and the third sets VAR_SCENE_ROCKET_TAKEOVER=1.","Use a fact-driven transition, not a Pryce-specific trigger. Preserve the GSC six-badge pre-stage and map it to the HGSS midgame-complete fact when running the integrated story.",global progression
PH7-002,Full Radio Tower takeover trigger,"At the later badge-count stage, RadioTowerRocketsScript enables the tower occupation and weird broadcast.",Crystal retains the same standard takeover script architecture.,"Town/state scripts advance VAR_SCENE_ROCKET_TAKEOVER and activate FLAG_ROCKET_TAKEOVER_ACTIVE, including Elm's phone cue.","Create one TAKEOVER_ACTIVE fact consumed by Goldenrod City, Radio Tower and Underground maps; source-specific trigger details remain logged separately.",global progression
PH7-003,Professor Elm / strange broadcast cue,A special phone call / strange broadcast announces that something is wrong in Goldenrod.,Same core cue.,HGSS explicitly calls Professor Elm while advancing the takeover state.,Keep both the radio-world-state cue and Elm's direct notification; do not make either the sole hard gate.,story presentation coexistence
PH7-004,Goldenrod City occupation world state,Rocket NPCs/civilian visibility changes throughout Goldenrod during the occupation.,Same.,HGSS drives multiple city/tower object flags from VAR_SCENE_ROCKET_TAKEOVER.,One centralized occupation state controls city/tower NPC visibility; individual NPC flags remain presentation data.,world-state consolidation
PH7-005,Rocket disguise system,No player Rocket-uniform infiltration system.,No player Rocket-uniform infiltration system.,Dedicated save flag FLAG_SYS_ROCKET_COSTUME plus Rocket avatar state/transition; scripts can set/check/clear it.,"Backport as a real player state with save persistence, avatar graphics and NPC reaction hooks; never fake it as a single event sprite.",HGSS system backport
PH7-006,Rocket costume restrictions,Not applicable.,Not applicable.,Field-move code checks the Rocket-costume state and can reject field actions while disguised.,Add a costume capability mask so movement/menu/field actions match the HGSS state; do not let costume state leak after story removal or save/reload.,system interaction
PH7-007,Goldenrod Tunnel uniform acquisition,No story uniform acquisition.,No story uniform acquisition.,A Rocket recruit at the tunnel/photo-studio area mistakes the player for a newcomer recruited for the Radio Tower mission and has them change into a uniform.,Preserve the normal tunnel/photo-studio content and overlay this takeover-only branch. Costume acquisition must be reversible and state-safe.,HGSS additive event
PH7-008,Tunnel normal services during story,"Underground shops, haircut brothers and other regular content exist independently of the Rocket plot.","Same, with Crystal-specific schedules/content.",HGSS Tunnel B1F still contains normal shops/haircuts plus costume/Kimono-Girl story scripts.,Never replace the tunnel with a Rocket-only dungeon. Ordinary services use their own weekday/daily flags.,existing-content preservation
PH7-009,Radio Tower 1F disguised admission,Player simply fights through the occupied tower.,Same.,"While disguised, the 1F Rocket initially accepts the player as a recruit and permits entry.",Add the HGSS infiltration beat before combat while retaining every original 1F Rocket/civilian record.,HGSS narrative expansion
PH7-010,Rival exposes the disguise,No equivalent costume-reveal scene.,No equivalent costume-reveal scene.,"The rival enters Radio Tower 1F, exposes the player's identity, the avatar returns to walking state, RocketCostumeFlagAction clears the costume, and the grunt battle follows.",Implement as one atomic transition: rival reveal → clear costume save flag/avatar state → restore restricted systems → battle → advance takeover scene.,HGSS narrative/system transition
PH7-011,Costume failure / whiteout safety,Not applicable.,Not applicable.,The 1F script restores takeover state on defeat paths.,"Verify whiteout, save/reload and map-exit cases so the player cannot remain permanently disguised or bypass the reveal.",boundary-condition requirement
PH7-012,Radio Tower 1F legacy content,"Reception, Radio Card quiz, Lucky Number Show and civilians coexist with takeover states.",Same.,HGSS also keeps the Radio Card quiz while changing takeover actors/state.,Preserve all pre-existing 1F systems; occupation only changes availability/dialogue/visibility through flags.,existing-content preservation
PH7-013,Radio Tower 2F legacy content,Rocket trainers occupy the floor during the event.,Crystal additionally has Buena/Blue Card/Password Show content whose dialogue changes during the occupation.,HGSS retains floor NPCs and Rocket occupation data.,Crystal's Buena system is not sacrificed for HGSS story fidelity. Use occupation-conditioned dialogue/state only.,Crystal-content preservation
PH7-014,Radio Tower 2F Rocket battles,Multiple grunt battles remain part of the tower climb.,Same.,HGSS rebuilds the trainer placements within its tower map.,"Preserve the complete GSC trainer set in data; HGSS placements are an expanded-layout layer, not a representative replacement.",trainer-content preservation
PH7-015,Radio Tower 3F locked shutter,A shutter blocks the second half of the tower until the Card Key is obtained.,Same; callback persists the opened shutter with EVENT_USED_THE_CARD_KEY_IN_THE_RADIO_TOWER.,HGSS still checks ITEM_CARD_KEY on 3F before allowing the locked route.,Use one CARD_KEY_SHUTTER_OPEN fact and keep source-specific map animation/block data.,direct preservation
PH7-016,Initial Radio Tower 3F route,Grunts/scientist are fought before the fake Director phase.,Same.,HGSS retains the first-pass 3F ascent and later Card Key return.,"Keep the two-pass tower topology: first ascent to fake Director, underground detour, then Card Key ascent.",story topology
PH7-017,Radio Tower 4F first ascent,Contains grunts/scientist and an unnamed male Executive encounter.,Same anonymous Executive-era structure.,HGSS names a 4F executive battle as Proton.,"Keep the GSC anonymous Executive trainer/dialogue record and add Proton as the named HGSS commander; if both are encountered, legacy placement is an explicitly project-authored relocation.",legacy actor + named executive
PH7-018,Fake Director identity,The apparent Director is an unnamed male Executive (EXECUTIVEM_3).,Same generic Executive setup.,The fake Director visibly reveals himself as Petrel and battles as TRAINER_EXECUTIVE_PETREL_PETREL.,"Retain EXECUTIVEM_3 as legacy data/event, then add the complete Petrel reveal. Do not merely rename the old trainer record.",legacy actor + HGSS expansion
PH7-019,Basement Key,Defeating the fake Director grants BASEMENT_KEY and redirects the player to the Underground Warehouse.,Same.,Petrel grants ITEM_BASEMENT_KEY after defeat.,One shared Basement Key entitlement; obtain/retry logic must be safe if inventory constraints differ between engines.,direct preservation
PH7-020,HGSS Underground Kimono Girl beat,Absent.,Absent as this takeover-specific event.,Defeating Petrel clears FLAG_HIDE_UNDERGROUND_KIMONO_GIRL and advances a separate Kimono-Girl state; the tunnel scene later hides her again.,"Backport this event as HGSS-only narrative content, but keep it separate from the later five-Kimono-Girl / mascot ritual state machine.",HGSS additive event
PH7-021,Basement Key Underground entry,Basement Key opens access to the Rocket-controlled switch-room/warehouse route.,Same.,HGSS uses its tunnel lower-floor route under takeover state 4.,One story entitlement feeds either preserved GSC or HGSS-expanded underground layout.,direct preservation
PH7-022,Underground rival battle,Rival confronts the player in the switch-room route; team varies with starter.,Same.,HGSS retains a rival battle in Goldenrod Tunnel B2F with starter-dependent Silver trainer IDs.,One shared story beat with source-specific trainer rosters. Do not duplicate the rival battle in one playthrough.,direct preservation
PH7-023,GSC switch-room puzzle,Three normal switches plus an emergency switch manipulate 11 defined door groups; state is represented by switch flags and wUndergroundSwitchPositions 0–7.,Crystal retains the full puzzle and door-state callback.,HGSS does not use this exact 11-door/emergency-switch implementation.,Preserve the complete Gen II puzzle data and logic as an original-layout mode/content layer.,puzzle preservation
PH7-024,HGSS colored-gate puzzle redesign,Absent.,Absent.,"HGSS Tunnel B2F explicitly documents red/green/blue room switches that toggle bordering gates, plus a purple gate; ten temporary gate states are initialized.",Implement as an expanded HGSS puzzle layer rather than overwriting the GSC puzzle. Keep both solutions/maps testable.,HGSS puzzle expansion
PH7-025,Underground Rocket/Burglar encounters,Switch-room and warehouse include multiple Rocket and Burglar battles.,Same.,HGSS rebuilds the lower tunnel with takeover-specific actors.,Retain all legacy battle records even where the remake changes layout or encounter ordering.,trainer-content preservation
PH7-026,True Director rescue,The real Director is held in the Underground Warehouse.,Same.,HGSS true Director remains in Goldenrod Tunnel Warehouse and supplies the next key item.,"One shared DIRECTOR_RESCUED story fact, independent of map-layout implementation.",direct preservation
PH7-027,Card Key acquisition,Director gives CARD_KEY and tells the player to open the 3F shutters.,Same.,D37R0105 gives ITEM_CARD_KEY if not already owned.,"One shared Card Key entitlement, retry-safe and save-safe.",direct preservation
