ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH8-001,Route 44 progression,"Route 44 is the normal eastward route from Mahogany toward Ice Path, with its full trainer/item/phone content.",Same core corridor with Crystal-specific side content preserved.,R44 remains a small field-script map; no new mandatory main-story branch replaces the route.,Preserve every GSC Route 44 trainer/item/phone event. HGSS additions remain additive and cannot reduce the original route dataset.,route preservation
PH8-002,Ice Path topology,Route 44 → Ice Path → Blackthorn is the required eastern Johto corridor.,Same.,"Same macro story topology, rebuilt as DS maps.","Preserve the full cave-floor graph and warps; HGSS geometry is a map-expansion layer, not a replacement justification for deleting GSC floors.",map topology
PH8-003,HM07 Waterfall,HM07 Waterfall is an item ball on Ice Path 1F.,Same; `EVENT_GOT_HM07_WATERFALL` tracks it.,Ice Path 1F retains an HM07 item-ball state; Gen IV also maps HM07 to Waterfall.,"One shared Waterfall entitlement. GSC and HGSS agree on HM07 here, so unlike Whirlpool there is no HM-number collision.",direct preservation
PH8-004,Ice Path item/content preservation,PP Up and all cave items/puzzles coexist with HM07.,Crystal adds Protein on 1F while retaining HM07/PP Up.,"HGSS expands cave items, NPC/photo content and map geometry.","Do not rebuild Ice Path from only the HM route; all source-specific items, hidden items and puzzle floors remain independently tracked.",full-content preservation
PH8-005,HGSS Ice Path Kimono Girl,Absent.,Absent as this journey-wide Kimono Girl beat.,"A Kimono Girl appears on Ice Path 1F, asks for help moving through the icy route, then leaves and advances her own story variable/flag.",Add this HGSS narrative beat without repurposing HM07 or legacy Ice Path item flags.,HGSS additive event
PH8-006,Blackthorn access after Radio Tower,Eastern Johto/Blackthorn progression becomes available after the Rocket arc.,Same.,The Radio Tower clear script changes Blackthorn Gym/Dragon Den guard visibility states.,Use `BLACKTHORN_STORY_RELEASED` from Phase 7 as the entrance fact; do not key Blackthorn to one specific midgame Leader order.,arc handoff
PH8-007,Blackthorn Gym original puzzle,Gen II Blackthorn Gym uses its original multi-level boulder/pit puzzle and trainers.,Crystal preserves the Gen II puzzle family.,HGSS replaces presentation/geometry with an engine-backed remake puzzle initialized by `BlackthornGymInit`.,Preserve the complete GSC puzzle/trainer data and add the HGSS puzzle as an expanded map/mechanic layer.,puzzle coexistence
PH8-008,Clair battle result,Defeating Clair does not immediately finish the badge award; she sends the player to Dragon's Den.,Same.,"HGSS sets a post-Clair flag, moves the Dragon's Den guard and still withholds the Rising Badge.",One shared `CLAIR_DEFEATED` fact; `RISING_BADGE_OBTAINED` remains separate.,state separation
PH8-009,Gold/Silver badge trial,"The player must find the Dragon Fang in Dragon's Den. Picking it up triggers Clair, who acknowledges the player and awards the Rising Badge.","Crystal explicitly retains the Dragon Fang pickup script as leftover from the GS event, but it is no longer the badge test.",HGSS does not use Dragon Fang pickup as the badge qualification.,Preserve `GS_DRAGON_FANG_TRIAL_COMPLETE` as a valid official badge route; do not rewrite it as the later quiz.,version-specific badge qualification
PH8-010,Crystal Dragon Shrine addition,No Dragon Shrine test route for the badge.,Adds Dragon Shrine and a five-question Master test. Passing causes Clair to award the Rising Badge.,HGSS inherits and expands the Dragon Shrine quiz structure.,Treat Crystal as the bridge implementation between G/S Dragon Fang and HGSS shrine logic.,Crystal expansion
PH8-011,HGSS Dragon Shrine test,Absent.,Five questions; incorrect answers do not prevent eventual completion but are remembered for the Dratini reward.,"Five-question menu sequence; wrong answer sets `FLAG_FAILED_DRAGONS_DEN_QUIZ`, then the question is retried. Passing awards `BADGE_RISING`.",Backport the complete HGSS presentation while retaining Crystal question semantics and the G/S Fang route.,HGSS expanded implementation
PH8-012,Badge-route coexistence,Dragon Fang route is official.,Shrine quiz route is official.,Shrine quiz route is official.,"Use source-qualified completion facts feeding one badge entitlement. In integrated mode, both authored trials may remain playable, but the Rising Badge is granted once.",multi-source entitlement
PH8-013,Rising Badge field authority,Rising Badge enables Waterfall and final Johto progression.,Same.,Same broad progression role.,"Field checks should resolve `MOVE_WATERFALL + RISING_BADGE`, not rely solely on a raw HM item slot.",engine abstraction
PH8-014,GSC Clair TM reward,Clair gives TM24 DragonBreath around the badge/Dragon's Den resolution.,TM24 DragonBreath remains the intended reward.,HGSS changes the reward to TM59.,Preserve GSC TM24 DragonBreath under the legacy TM namespace.,TM reward preservation
PH8-015,Crystal duplicate-TM24 bug,No Crystal-specific duplicate route.,Source script explicitly documents a bug allowing Clair to give TM24 DragonBreath twice.,Not the same implementation.,Record the original Crystal bug but use one authoritative `GOT_TM24_DRAGONBREATH_FROM_CLAIR` claim flag so the integrated target cannot duplicate the TM.,verified bug fix
PH8-016,HGSS Clair TM reward,TM24 DragonBreath.,TM24 DragonBreath.,"After the Rising Badge state, Clair's Gym script gives ITEM_TM59; Gen IV TM59 maps to Dragon Pulse.",Add TM59 Dragon Pulse under the Gen IV-expanded TM namespace; never relabel or overwrite legacy TM24.,TM reward divergence
PH8-017,Dragon's Den trainers/items,"Legacy den objects, Dragon Fang and later rival/day content exist independently of the badge event.","Crystal expands the den with trainers, Dragon Shrine, items and weekday rival behavior.",HGSS expands the maps again.,"Badge integration must not consume/delete unrelated Dragon's Den trainers, items, hidden items, rival appearances or shrine NPCs.",side-content preservation
PH8-018,Dragon Master quiz wrong-answer state,Not applicable.,Wrong answers set an explicit quiz-wrong event used by the special Dratini reward.,HGSS uses `FLAG_FAILED_DRAGONS_DEN_QUIZ`.,Normalize to one semantic fact `DRAGON_QUIZ_PERFECT`; keep source flags as provenance aliases.,state normalization
PH8-019,Dratini gift,No Crystal-style quiz-dependent Dratini reward from the Master in the same form.,Dragon Master gives Lv.15 Dratini after the test sequence.,Master gives Lv.15 Dratini after the badge sequence and offers nickname input.,Preserve the gift as a Crystal/HGSS authored event; add nickname UI when the target naming subsystem supports it.,Crystal/HGSS shared expansion
PH8-020,ExtremeSpeed Dratini,Absent.,Perfect quiz answers enable the special Dratini implementation.,"If `FLAG_FAILED_DRAGONS_DEN_QUIZ` is unset, the gifted Dratini is explicitly assigned `MOVE_EXTREME_SPEED`.",Use a deterministic perfect-quiz flag and verify the gift Pokémon's move data after save/reload.,special gift Pokémon
PH8-021,Master Ball trigger in G/S,Receiving the Rising Badge schedules/opens Professor Elm's Master Ball event.,Same core logic; Elm checks Rising Badge and retries until Master Ball is successfully received.,HGSS redirects the player back to Elm through explicit scene variables after the Dragon Shrine.,One `MASTER_BALL_FROM_ELM` entitlement; source-specific notification/presentation remains separate.,direct preservation
PH8-022,GSC Master Ball retry safety,Elm uses `verbosegiveitem MASTER_BALL`; the completion event is only set after successful receipt.,Same.,HGSS uses a different scripted handoff.,Keep the safer GSC retry-until-received semantics as the target rule.,boundary safety
PH8-023,HGSS Master Ball + story redirect,Master Ball does not lead into a mandatory Kimono Girl mascot ritual.,Crystal Master Ball likewise does not define the HGSS ritual chain.,"Elm gives item ID 1 (Master Ball), explains it, then tells the player the Kimono Girls are waiting at Ecruteak Dance Theater and advances Elm/New Bark scene state.","Backport the full HGSS redirect, but do not make it overwrite the source-specific G/S or Crystal legendary progression modes.",HGSS story bridge
PH8-024,HGSS Master Ball no-space code path,GSC retries safely.,Crystal retries safely.,"The checked HGSS scene tests space for item ID 1; on failure it calls the bag-full message but then continues the Master Ball explanation, Kimono Girl redirect and scene advancement instead of retrying the grant in that sequence.","Record this code-path anomaly and harden the target: story advancement occurs only after the Master Ball entitlement is committed, or the reward remains retrievable.",verified boundary anomaly
PH8-025,GSC Ecruteak Kimono Girls,Five Kimono Girls already exist as authored trainers in the Dance Theater; defeating the set is tied to the legacy Surf reward flow.,Crystal preserves the Dance Theater content.,HGSS reuses the same characters but restructures both their early and late story roles.,Never treat the five women as HGSS-only actors. Preserve their GSC trainer identities/content before layering remake story states.,legacy character preservation
PH8-026,Surf reward provenance,Legacy Dance Theater challenge can award HM03 Surf.,Same core legacy reward.,HGSS has an earlier Rocket/Kimono-Girl rescue sequence whose gentleman script awards ITEM_HM03.,One shared Surf entitlement with multiple official source events. Whichever valid source grants it first prevents duplicate HM03 while the other event remains playable.,same reward / moved condition
PH8-027,HGSS early Dance Theater Rocket event,Absent.,Absent in this form.,"A Rocket grunt harasses a Kimono Girl; the player battles the grunt, story state advances, and the gentleman's HM03 sequence becomes available.",Add this event without deleting the original five-trainer Dance Theater dataset.,HGSS additive event
PH8-028,HGSS five-Kimono-Girl gauntlet,Five battles are not this late mandatory mascot-story gate.,No equivalent late five-battle ritual gate.,"After the eighth-badge/Elm bridge, the script runs five sequential battles against Zuki, Naoko, Miki, Sayo and Kuni.",Implement as a distinct late-game rematch/ritual state over the preserved Dance Theater actors.,HGSS mandatory story expansion
PH8-029,Kimono gauntlet loss/retry,Not applicable.,Not applicable.,Each of the five battles checks battle outcome and routes defeat to a failure path rather than silently completing the ritual.,Keep per-battle progression and retry state; verify whiteout after battles 1–5 so no dancer is skipped or duplicated.,boundary-condition requirement
PH8-030,HGSS ritual bell reward,No Clear/Tidal Bell ritual reward.,Clear Bell exists but is obtained from the Radio Tower Director for the Crystal Suicune arc.,"After the five-battle sequence, HeartGold receives Clear Bell; SoulSilver receives Tidal Bell via runtime version check.",Separate item identity from acquisition provenance: `HGSS_HG_CLEAR_BELL` and `HGSS_SS_TIDAL_BELL` feed the corresponding ritual.,version-specific key item
PH8-031,Clear Bell provenance collision,No Clear Bell.,Radio Tower Director gives Clear Bell before Crystal's Tin Tower/Suicune continuation.,HeartGold Kimono Girls give Clear Bell after eight badges.,"Use one physical key item but separate provenance/quest flags. If a Crystal-integrated route already owns Clear Bell, HGSS content must recognize it rather than creating an unintended duplicate.",cross-version key-item collision
PH8-032,Tidal Bell,Absent.,Absent.,SoulSilver introduces `ITEM_TIDAL_BELL` as a separate key item used with Silver Wing for the Lugia ritual path.,Add as new Gen IV key-item data with its own icon/text/effect checks and save flag.,HGSS new key item
