block,start,end,distinct_payloads,same_offset_equality_groups
0,0x00000000,0x0000FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
1,0x00010000,0x0001FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
2,0x00020000,0x0002FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
3,0x00030000,0x0003FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
4,0x00040000,0x0004FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
5,0x00050000,0x0005FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
6,0x00060000,0x0006FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
7,0x00070000,0x0007FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
8,0x00080000,0x0008FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
9,0x00090000,0x0009FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
10,0x000A0000,0x000AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
11,0x000B0000,0x000BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
12,0x000C0000,0x000CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
13,0x000D0000,0x000DFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
14,0x000E0000,0x000EFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
15,0x000F0000,0x000FFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
16,0x00100000,0x0010FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
17,0x00110000,0x0011FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
18,0x00120000,0x0012FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
19,0x00130000,0x0013FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
20,0x00140000,0x0014FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
21,0x00150000,0x0015FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
22,0x00160000,0x0016FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
23,0x00170000,0x0017FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
24,0x00180000,0x0018FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
25,0x00190000,0x0019FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
26,0x001A0000,0x001AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
27,0x001B0000,0x001BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
28,0x001C0000,0x001CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
29,0x001D0000,0x001DFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
30,0x001E0000,0x001EFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
31,0x001F0000,0x001FFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
32,0x00200000,0x0020FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
33,0x00210000,0x0021FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
34,0x00220000,0x0022FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
35,0x00230000,0x0023FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
36,0x00240000,0x0024FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
37,0x00250000,0x0025FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
38,0x00260000,0x0026FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
39,0x00270000,0x0027FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
40,0x00280000,0x0028FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
41,0x00290000,0x0029FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
42,0x002A0000,0x002AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
43,0x002B0000,0x002BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
44,0x002C0000,0x002CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
45,0x002D0000,0x002DFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
46,0x002E0000,0x002EFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
47,0x002F0000,0x002FFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
48,0x00300000,0x0030FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
49,0x00310000,0x0031FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
50,0x00320000,0x0032FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
51,0x00330000,0x0033FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
52,0x00340000,0x0034FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
53,0x00350000,0x0035FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
54,0x00360000,0x0036FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
55,0x00370000,0x0037FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
56,0x00380000,0x0038FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
57,0x00390000,0x0039FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
58,0x003A0000,0x003AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
59,0x003B0000,0x003BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
60,0x003C0000,0x003CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
61,0x003D0000,0x003DFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
62,0x003E0000,0x003EFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
63,0x003F0000,0x003FFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
64,0x00400000,0x0040FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
