move_id,original_gs_korean,latest_korean,final_korean,name_changed,change_category,verification_status,source_agreement,pkhex_source,pkhex_commit,pokeapi_source,pokeapi_commit,source_accessed_date,original_encoded_length_bytes,latest_encoded_length_bytes,record_byte_delta_with_terminator,latest_encoded_hex,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex,original_gs_korean_description,description_cpu_address_hex,description_next_count
1,막치기,막치기,막치기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,04 47 09 01 01 b2,0x6C,0x564A,0x1B164A,04 47 09 01 01 b2,손과 꼬리 등을 사용해서<NEXT>적을 때리는 공격,0x4202,1
2,태권당수,태권당수,태권당수,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,09 92 01 97 02 e7 06 26,0x6C,0x5651,0x1B1651,09 92 01 97 02 e7 06 26,당수로 적을 공격<NEXT>급소를 맞추기 쉽다,0x422B,1
3,연속 뺨치기,연속뺨치기,연속뺨치기,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,11,10,-1,07 0c 06 03 05 84 09 01 01 b2,0x6C,0x565A,0x1B165A,07 0c 06 03 7f 05 84 09 01 01 b2,적을 연속 뺨때리기로<NEXT>2-5회 연속으로 공격,0x424F,1
4,연속펀치,연속펀치,연속펀치,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,07 0c 06 03 0a 0d 09 01,0x6C,0x5666,0x1B1666,07 0c 06 03 0a 0d 09 01,적을 연속으로 두들겨 패서<NEXT>2-5회 연속으로 공격,0x4279,1
5,메가톤펀치,메가톤펀치,메가톤펀치,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,10,10,0,04 7e 01 01 09 b6 0a 0d 09 01,0x6C,0x566F,0x1B166F,04 7e 01 01 09 b6 0a 0d 09 01,엄청난 힘이 실린 펀치로<NEXT>적을 때려서 공격,0x42A8,1
6,고양이돈받기,고양이돈받기,고양이돈받기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,12,12,0,01 4d 06 e7 07 9c 03 17 04 de 01 b2,0x6C,0x567A,0x1B167A,01 4d 06 e7 07 9c 03 17 04 de 01 b2,금화를 던져서 적을 공격<NEXT>전투 후에 돈이 손에 들어온다,0x42D1,1
7,불꽃펀치,불꽃펀치,불꽃펀치,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,05 32 01 f9 0a 0d 09 01,0x6C,0x5687,0x1B1687,05 32 01 f9 0a 0d 09 01,화염이 이글거리는 펀치로 공격<NEXT>적에게 화상을 입히기도 한다,0x4306,1
8,냉동펀치,냉동펀치,냉동펀치,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,02 63 03 1f 0a 0d 09 01,0x6C,0x5690,0x1B1690,02 63 03 1f 0a 0d 09 01,냉기를 실은 펀치로 공격<NEXT>적을 얼리기도 한다,0x4340,1
9,번개펀치,번개펀치,번개펀치,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,04 f8 01 13 0a 0d 09 01,0x6C,0x5699,0x1B1699,04 f8 01 13 0a 0d 09 01,전기를 실은 펀치로 공격<NEXT>적을 감전시키기도 한다,0x436B,1
10,할퀴기,할퀴기,할퀴기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,0a 72 09 6b 01 b2,0x6C,0x56A2,0x1B16A2,0a 72 09 6b 01 b2,날카로운 손톱을 사용해서<NEXT>적을 할퀴며 공격,0x439A,1
