move_id,original_gs_korean,latest_korean,change_category,original_encoded_length_bytes,latest_encoded_length_bytes,record_byte_delta_with_terminator,cpu_address_hex
3,연속 뺨치기,연속뺨치기,SPACING_NORMALIZATION,11,10,-1,0x565A
22,덩쿨채찍,덩굴채찍,RENAMED_OR_SPELLING,8,8,0,0x5706
24,두번치기,두번차기,RENAMED_OR_SPELLING,8,8,0,0x5716
62,오로라 빔,오로라빔,SPACING_NORMALIZATION,9,8,-1,0x585C
67,잡치기,안다리걸기,RENAMED_OR_SPELLING,6,10,4,0x5888
87,번개 ,번개,SPACING_NORMALIZATION,5,4,-1,0x5930
104,그림자 분신,그림자분신,SPACING_NORMALIZATION,11,10,-1,0x59BE
105,HP 회복,HP회복,SPACING_NORMALIZATION,7,6,-1,0x59CA
113,빛의 장막,빛의장막,SPACING_NORMALIZATION,9,8,-1,0x5A0F
130,로케트박치기,로켓박치기,RENAMED_OR_SPELLING,12,10,-2,0x5AA1
137,뱀의미소,뱀눈초리,RENAMED_OR_SPELLING,8,8,0,0x5AE0
140,알던지기,구슬던지기,RENAMED_OR_SPELLING,8,10,2,0x5AF7
152,찝게햄머,집게해머,RENAMED_OR_SPELLING,8,8,0,0x5B55
160,텍스쳐,텍스처,RENAMED_OR_SPELLING,6,6,0,0x5B9D
167,트리플 킥,트리플킥,SPACING_NORMALIZATION,9,8,-1,0x5BDC
168,도둑,도둑질,RENAMED_OR_SPELLING,4,6,2,0x5BE6
170,마음의 눈,마음의눈,SPACING_NORMALIZATION,9,8,-1,0x5BF2
172,화염 자동차,화염바퀴,RENAMED_OR_SPELLING,11,8,-3,0x5C01
176,텍스쳐2,텍스처2,RENAMED_OR_SPELLING,7,7,0,0x5C22
177,에어로블레스트,에어로블라스트,RENAMED_OR_SPELLING,14,14,0,0x5C2A
184,겁나는 얼굴,겁나는얼굴,SPACING_NORMALIZATION,11,10,-1,0x5C67
185,속여 때리기,속여때리기,SPACING_NORMALIZATION,11,10,-1,0x5C73
186,천사의 키스,천사의키스,SPACING_NORMALIZATION,11,10,-1,0x5C7F
188,오물 폭탄,오물폭탄,SPACING_NORMALIZATION,9,8,-1,0x5C90
189,진흙 뿌리기,진흙뿌리기,SPACING_NORMALIZATION,11,10,-1,0x5C9A
191,압정 뿌리기,압정뿌리기,SPACING_NORMALIZATION,11,10,-1,0x5CB1
193,꿰뚫어 보기,꿰뚫어보기,SPACING_NORMALIZATION,11,10,-1,0x5CC4
195,멸망의 노래,멸망의노래,SPACING_NORMALIZATION,11,10,-1,0x5CD7
196,얼다바람,얼어붙은바람,RENAMED_OR_SPELLING,8,12,4,0x5CE3
197,선찰,판별,RENAMED_OR_SPELLING,4,4,0,0x5CEC
198,본러쉬,본러시,RENAMED_OR_SPELLING,6,6,0,0x5CF1
202,기가 드레인,기가드레인,SPACING_NORMALIZATION,11,10,-1,0x5D0B
208,우유 마시기,우유마시기,SPACING_NORMALIZATION,11,10,-1,0x5D40
210,연속 자르기,연속자르기,SPACING_NORMALIZATION,11,10,-1,0x5D53
211,강철 날개,강철날개,SPACING_NORMALIZATION,9,8,-1,0x5D5F
212,검은 눈빛,검은눈빛,SPACING_NORMALIZATION,9,8,-1,0x5D69
219,신비의 부적,신비의부적,SPACING_NORMALIZATION,11,10,-1,0x5DA5
221,성스러운 불꽃,성스러운불꽃,SPACING_NORMALIZATION,13,12,-1,0x5DBC
223,폭발 펀치,폭발펀치,SPACING_NORMALIZATION,9,8,-1,0x5DD5
224,메가폰,메가혼,RENAMED_OR_SPELLING,6,6,0,0x5DDF
225,용의 숨결,용의숨결,SPACING_NORMALIZATION,9,8,-1,0x5DE6
226,바톤 터치,배턴터치,RENAMED_OR_SPELLING,9,8,-1,0x5DF0
227,앵콜,앙코르,RENAMED_OR_SPELLING,4,6,2,0x5DFA
230,달콤한 향기,달콤한향기,SPACING_NORMALIZATION,11,10,-1,0x5E15
232,메탈크로우,메탈클로,RENAMED_OR_SPELLING,10,8,-2,0x5E2C
233,받아 던지기,받아던지기,SPACING_NORMALIZATION,11,10,-1,0x5E37
236,달의불빛,달빛,RENAMED_OR_SPELLING,8,4,-4,0x5E53
246,원시의 힘,원시의힘,SPACING_NORMALIZATION,9,8,-1,0x5EA7
247,새도우볼,섀도볼,RENAMED_OR_SPELLING,8,6,-2,0x5EB1
250,바다 회오리,바다회오리,SPACING_NORMALIZATION,11,10,-1,0x5ECC
