bank_hex,bank_dec,file_start_hex,file_end_hex,sha1,sha256,entropy_bits_per_byte,ff_bytes,ff_percent,zero_bytes,zero_percent,longest_ff_run,longest_zero_run
00,0,000000,003FFF,5c50c205d61da12784a5aa0fa9014e0318517326,979077c1267386064f5a3fa42b7d3a8e668d2df0c3e06c6bae26fdb1247c6be7,7.148893,260,1.5869,364,2.2217,9,7
01,1,004000,007FFF,34690d3cfb7abacfd770c52d76dd3955c082a4f5,c4247538d76f301363728e4a7f89190700432132451f33d89937ece3617c03c9,7.254003,82,0.5005,583,3.5583,8,87
02,2,008000,00BFFF,d348c7b86ddd36c2d45fef78a5fae97367df865d,533b5a6c7533f6f3f40b5fc1d17ffba84b5b7583cada723fc1e3d42577692c55,6.978919,257,1.5686,379,2.3132,3,3
03,3,00C000,00FFFF,6deff8266de605d8562cbdbf67b8921f2cb4e029,dfd68c0a8bc77fb0e16f1d079a38324d9b23623f5c3c7cbfadac8150026683de,7.349282,262,1.5991,395,2.4109,6,8
04,4,010000,013FFF,d99683eb102a738e08163e11c4bf7bd444a49550,f77b18e01e1397725a57bc688231a5c52ed8dd628300dfa77764086b92f4c86a,6.778047,310,1.8921,2173,13.2629,16,283
05,5,014000,017FFF,ac4181a6e38c3372d9842c338d86ea74694a4305,dc051279962d56f656e9806f91b4607e9989c2a9cf7839a89e9a9f07816c8d35,6.302340,178,1.0864,804,4.9072,4,11
06,6,018000,01BFFF,01b06cb8ccb9110b631543af06ffc727a82035e4,2c2edb33e8e53d73c432225f1901aba7298086afd1468a87e51454555d366cf1,7.250023,166,1.0132,367,2.2400,2,6
07,7,01C000,01FFFF,f201f3741860acac72069bd9e27d18a0b1b12eda,3f7b33a64a54438d98db710ffa313171927eda4d30f4c75b17cce22a15e77268,7.184923,217,1.3245,370,2.2583,2,5
08,8,020000,023FFF,de9a604ae943e89bdd9e74e33f3c8d6f167d9be1,946c2e747f7735488c86982d3e6fa15c887240e80b0e84c25858b285d28779a1,7.059168,287,1.7517,309,1.8860,3,3
09,9,024000,027FFF,314b4e40615342e72ace9e1d44878cce518070e2,73b926764a8fab48eee70990edf41cce53b112705bdb3d97014f96a6bfa002bf,7.808880,288,1.7578,13,0.0793,4,1
0A,10,028000,02BFFF,5370045e0ff523d9102dae4753a4e1135657172f,bb56ce96522f1ced9056016e80fe4599a5e829ab181f29ac1009c755c75a2715,7.840146,283,1.7273,11,0.0671,5,1
0B,11,02C000,02FFFF,07efe0e7a4b5df67fbd877d9a23265b56f840169,3b8ed6da57fb5894d08a755023d5eb12c70c8d879bba218a10c56d3b73476bf1,7.836844,299,1.8250,203,1.2390,3,14
0C,12,030000,033FFF,26eadb4795517d29936489d446962e23d0ffa437,4d82057e843087d79f709150091cb8b19e2c902ecd1da390fc7c51e8a4447cc5,7.819980,334,2.0386,10,0.0610,4,1
0D,13,034000,037FFF,1225b1bb261614c8dfffc27611148b57471ed4de,6d8d3c6832aff619ddd8bc59d9252d4ebd4b85bd48ac25690f40935d522ceee7,7.803008,549,3.3508,250,1.5259,4,17
0E,14,038000,03BFFF,6f9a7d65eef81c77d8344056ac265a806fc9e597,e123cd79f6387866078e6471c52bd9a088ab3d2be7316214f3d26c520941aba9,7.145405,372,2.2705,2018,12.3169,8,26
0F,15,03C000,03FFFF,29766acd4191e6ce6f1467513168cd847bff8ccd,988c890788bdf774f0baed30276f1970185ea85f98c5857dfb707affe967f7ea,7.080828,68,0.4150,292,1.7822,1,4
10,16,040000,043FFF,d6880c1bfde1eb5543a9deaa333648a3c2331636,1c8b1b57ca1c9e1d1932aa8499b6557fb32845d07d8ddc89576903f1704ce8b8,6.969505,436,2.6611,1260,7.6904,17,126
11,17,044000,047FFF,e27bf15c20ac626b708a622f3a970920b38f3766,9eed2ef183b200d827c755800be557c8886f0bd5fa438e7b104c83f04d313b4b,7.196892,333,2.0325,356,2.1729,2,2
12,18,048000,04BFFF,e8faafcf931045513e2210b0565435e1f7f96d8f,ecabb17585af9324b3c66f92f9f1d9cdd7c735d26c8615e44a6f774a611637aa,7.127930,209,1.2756,397,2.4231,2,2
13,19,04C000,04FFFF,a39b3e680a40e3b74d37c1692fa847bdbce19d21,1c28fca1605d7362b5ca320489d7b56d0e931f4ec66c4445f6a92be2e89e2ba8,7.835871,325,1.9836,35,0.2136,4,2
14,20,050000,053FFF,6e57a9e5726fa5b3252cf321c416ff1bb3456fd9,768a410484a8a94059fe693444f8fbff99026b032fbb3e448e50822ab004f033,7.294475,169,1.0315,349,2.1301,2,6
15,21,054000,057FFF,ef7edd451a6eeee4b6e41f6f932ae9990864663c,a3e0bc466c6e1b4a4dee1e8794e27270ddf6aa1b1089ae09553bed60816af4da,7.139841,127,0.7751,408,2.4902,2,2
16,22,058000,05BFFF,50b3d96ef2acc522863c3cfba9c8055bbc5ade04,66884ce4cbf9e30d7d611598b51c89287de9a03701a339d4a489456baf16934c,7.160632,130,0.7935,403,2.4597,2,8
17,23,05C000,05FFFF,7cc73d86eec3d2371f13bac2869f8c365060bab6,013e19b8fc13aab1f0ea4deb897b3df6e4ab2101fb05e14effcbb3eb6c1d3d7a,7.101634,189,1.1536,399,2.4353,2,7
18,24,060000,063FFF,802db7b1328a4c15c4fa712e3a446ab1e0f5b5f6,11ae2cc508fb6950a9dc72621ad9eb9c06914c909c7d00f5a1aa8d3eda4a3c60,7.049474,184,1.1230,382,2.3315,2,6
19,25,064000,067FFF,b72b68391c735f3c2723fc31b02f13106cdef09f,595f12b1ecf57c7e6ae430b9ee5cf256a939ab192ce2baa3d3b30cdb4e4f7619,6.508050,1584,9.6680,1473,8.9905,17,23
1A,26,068000,06BFFF,a266c160f6ace3bf3c3d40aab9c24823ff965ed2,fb25a0f866b5b96aa53087b75ff96546f82ba36ddaab0fc2f9869468deb916d3,6.371074,1292,7.8857,1044,6.3721,18,17
1B,27,06C000,06FFFF,682b94550690d2e4c4103fe93753ed74ab38fc72,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e,6.201428,1810,11.0474,1420,8.6670,19,80
1C,28,070000,073FFF,4249ab5133841889a9b90b21d30edf0d62624a60,3a8b03bbb91f27f63768d1a2d466cafba4df59613d4c38852b4c177a435142a8,6.873593,431,2.6306,2113,12.8967,16,256
1D,29,074000,077FFF,9dae16e0708e97de2af1f24f58db67bfc176974c,1122f5f5833e1473d2cd5c5d2fff68f250b8c069a08e3977ae4c7c7c91a5da63,7.091263,170,1.0376,324,1.9775,2,2
1E,30,078000,07BFFF,19bfac7d62658a98c000d7e6d2ec699ed1ecef2b,7e919b57c4e8fad1fe14dc0315522fd91c6eb8845eedc13c37146a85183217ca,6.782914,608,3.7109,2202,13.4399,16,15
1F,31,07C000,07FFFF,ff43de20c18860e296b7ed16e5de19d2a298aa88,9038582544e60af0b53deef13d3994a98019551b0fd89065f7db6f139fe2a2c9,7.072184,288,1.7578,404,2.4658,3,3
