filename,generation,game,language_region,revision,size_bytes,bank_count,sha1,sha256,header_title,cgb_flag_hex,sgb_flag_hex,cartridge_type_hex,cartridge_type,rom_size_code_hex,declared_size_bytes,size_matches_header,destination_code_hex,mask_rom_version,nintendo_logo_valid,header_checksum_stored_hex,header_checksum_calculated_hex,header_checksum_valid,global_checksum_stored_hex,global_checksum_calculated_hex,global_checksum_valid
01-Pocket-Monsters-Midori-Japan-SGB-Enhanced-.gb,GENERATION-I,GREEN,JAPAN-JA,REV-0,524288,32,82c0eef40a5e2423699d9fd8ba15dfaa8b51d196,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,POKEMON GREEN,0x00,0x03,0x03,MBC1+RAM+BATTERY,0x04,524288,True,0x00,0,False,0x9C,0x9C,True,0xDDD5,0xDDD5,True
02-Pocket-Monsters-Gin-Japan-Rev-A-.gbc,GENERATION-II,SILVER,JAPAN-JA,REV-A,1048576,64,a11d5ddc26eb826086593f82370b15d16404d33e,99e5267fbf5a7748d4f3b75ba1990cb5d91348339468607a04bfbc6081c62d71,POKEMON_SLVAAXJ,0x80,0x03,0x10,MBC3+TIMER+RAM+BATTERY,0x05,1048576,True,0x00,1,False,0x26,0x26,True,0x1D34,0x1D34,True
03-Pocket-Monsters-Geum-Korea-.gbc,GENERATION-II,GOLD,KOREA-KO,REV-0,2097152,128,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,9c273e86e6120c6a038160ccb0153b8b20425b84fc08a496281c1d1bcac492f6,POKEMON_GLDAAUK,0xC0,0x00,0x10,MBC3+TIMER+RAM+BATTERY,0x06,2097152,True,0x01,0,False,0x08,0x08,True,0x778A,0x778A,True
04-Pokemon-Crystal-Version-USA-Europe-.gbc,GENERATION-II,CRYSTAL,USA-EUROPE-EN,REV-0,2097152,128,f4cd194bdee0d04ca4eac29e09b8e4e9d818c133,d6702e353dcbe2d2c69183046c878ef13a0dae4006e8cdff521cca83dd1582fe,PM_CRYSTAL,0xC0,0x00,0x10,MBC3+TIMER+RAM+BATTERY,0x06,2097152,True,0x01,0,False,0x27,0x27,True,0x129F,0x129F,True
05-Pokemon-Red-Version-USA-Europe-SGB-Enhanced-.gb,GENERATION-I,RED,USA-EUROPE-EN,REV-0,1048576,64,ea9bcae617fdf159b045185467ae58b2e4a48b9a,5ca7ba01642a3b27b0cc0b5349b52792795b62d3ed977e98a09390659af96b7b,POKEMON RED,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,True,0x01,0,False,0x20,0x20,True,0x91E6,0x91E6,True
06-Pocket-Monsters-Kin-Japan-.gbc,GENERATION-II,GOLD,JAPAN-JA,REV-0,1048576,64,8814f1039450a5d3684b1389f588ccd7ee7c3436,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,POKEMON_GLDAAUJ,0x80,0x03,0x10,MBC3+TIMER+RAM+BATTERY,0x05,1048576,True,0x00,0,False,0x48,0x48,True,0x8A70,0x8A70,True
07-Pokemon-Silver-Version-USA-Europe-.gbc,GENERATION-II,SILVER,USA-EUROPE-EN,REV-0,2097152,128,49b163f7e57702bc939d642a18f591de55d92dae,72b190859a59623cbef6c49d601f8de52c1d2331b4f08a8d2acc17274fc19a8c,POKEMON_SLVAAXE,0x80,0x03,0x10,MBC3+TIMER+RAM+BATTERY,0x06,2097152,True,0x01,0,False,0x2A,0x2A,True,0x0DAE,0x0DAE,True
08-Pocket-Monsters-Aka-Japan-Rev-A-SGB-Enhanced-.gb,GENERATION-I,RED,JAPAN-JA,REV-A,524288,32,ef74c79cded14204ac79e77f4964d9cb25003120,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,POKEMON RED,0x00,0x03,0x03,MBC1+RAM+BATTERY,0x04,524288,True,0x00,1,False,0x31,0x31,True,0xB866,0xB866,True
09-Pocket-Monsters-Kin-Japan-Rev-A-.gbc,GENERATION-II,GOLD,JAPAN-JA,REV-A,1048576,64,a222402235d484ee8e39f3f31bae57cf13daf585,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e,POKEMON_GLDAAUJ,0x80,0x03,0x10,MBC3+TIMER+RAM+BATTERY,0x05,1048576,True,0x00,1,False,0x47,0x47,True,0x8460,0x8460,True
10-Pocket-Monsters-Pikachu-Japan-Rev-B-SGB-Enhanced-.gb,GENERATION-I,PIKACHU,JAPAN-JA,REV-B,1048576,64,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,1acab20d1aa3e19c081abaac3e303c4cf3e582213937acbf25942b31c28aecfe,POKEMON YELLOW,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,True,0x00,1,False,0x1F,0x1F,True,0x8858,0x8858,True
11-Pocket-Monsters-Pikachu-Japan-Rev-0A-SGB-Enhanced-.gb,GENERATION-I,PIKACHU,JAPAN-JA,REV-0A,1048576,64,1fb6c264e950d97ce3fd99b347e485b2150df4ff,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,POKEMON YELLOW,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,True,0x00,0,False,0x20,0x20,True,0x9C29,0x9C29,True
12-Pokemon-Gold-Version-USA-Europe-.gbc,GENERATION-II,GOLD,USA-EUROPE-EN,REV-0,2097152,128,d8b8a3600a465308c9953dfa04f0081c05bdcb94,fb0016d27b1e5374e1ec9fcad60e6628d8646103b5313ca683417f52b97e7e4e,POKEMON_GLDAAUE,0x80,0x03,0x10,MBC3+TIMER+RAM+BATTERY,0x06,2097152,True,0x01,0,False,0x4B,0x4B,True,0x682D,0x682D,True
13-Pokemon-Crystal-Version-USA-Europe-Rev-A-.gbc,GENERATION-II,CRYSTAL,USA-EUROPE-EN,REV-A,2097152,128,f2f52230b536214ef7c9924f483392993e226cfb,fdcc3c8c43813cf8731fc037d2a6d191bac75439c34b24ba1c27526e6acdc8a2,PM_CRYSTAL,0xC0,0x00,0x10,MBC3+TIMER+RAM+BATTERY,0x06,2097152,True,0x01,1,False,0x26,0x26,True,0x18D2,0x18D2,True
14-Pokemon-Yellow-Version-USA-Europe-.gbc,GENERATION-I,YELLOW,USA-EUROPE-EN,REV-0,1048576,64,cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,8cbaa499397e4f1a679c992ea9382a2dd7942ab398b48c19829c2d9529de47bf,POKEMON YELLOW,0x80,0x03,0x1B,MBC5+RAM+BATTERY,0x05,1048576,True,0x01,0,False,0x97,0x97,True,0x047C,0x047C,True
15-Pocket-Monsters-Pikachu-Japan-Rev-D-SGB-Enhanced-.gb,GENERATION-I,PIKACHU,JAPAN-JA,REV-D,1048576,64,a40298a8123613ee60cd7aab204d788b8425976e,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,POKEMON YELLOW,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,True,0x00,3,False,0x1D,0x1D,True,0xD984,0xD984,True
16-Pocket-Monsters-Aka-Japan-SGB-Enhanced-.gb,GENERATION-I,RED,JAPAN-JA,REV-0,524288,32,0623ad12f48c259447980d68bd85ddbf8204b2cd,392ce450d708c8d127aaed7afc20001a48625bd83a5fa5325be82f5c0972ccfa,POKEMON RED,0x00,0x03,0x03,MBC1+RAM+BATTERY,0x04,524288,True,0x00,0,False,0x32,0x32,True,0xA2C1,0xA2C1,True
