generation,game,language,revision,filename,size_bytes,size_mib,banks_16k,header_title,cgb_flag,hardware,sgb_support,cartridge_type,rom_size_code,ram_size_bytes,destination,header_version,header_checksum_ok,global_checksum_ok,md5,sha1,sha256
2,Crystal,Japanese,0,Pocket Monsters - Crystal Version (Japan).gbc,2097152,2.0,128,PM_CRYSTAL,0xC0,CGB only,No,MBC3+TIMER+RAM+BATTERY,0x06,65536,Japan,0,True,True,9c3ae66bffb28ea8ed2896822da02992,95127b901bbce2407daf43cce9f45d4c27ef635d,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3
2,Silver,Korean,0,Pocket Monsters Eun (Korea).gbc,2097152,2.0,128,POKEMON_SLVAAXK,0xC0,CGB only,No,MBC3+TIMER+RAM+BATTERY,0x06,32768,Non-Japan,0,True,True,f5e14b069eaddee42735572bd23f7ef8,cb22d7e03a74dc3a563fde6be8626626b2b392e7,ebbac63c0c4309c82dbb6723e7163369784f962b4fd3e2f486075307c3008a22
2,Gold,Korean,0,Pocket Monsters Geum (Korea).gbc,2097152,2.0,128,POKEMON_GLDAAUK,0xC0,CGB only,No,MBC3+TIMER+RAM+BATTERY,0x06,32768,Non-Japan,0,True,True,82bd1d9171e60f147d9eeea13ef07a12,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,9c273e86e6120c6a038160ccb0153b8b20425b84fc08a496281c1d1bcac492f6
2,Silver,Japanese,A,Pocket Monsters Gin (Japan) (Rev A).gbc,1048576,1.0,64,POKEMON_SLVAAXJ,0x80,CGB enhanced,Yes,MBC3+TIMER+RAM+BATTERY,0x05,32768,Japan,1,True,True,75519c8b57cea3ac91133b3dec7658de,a11d5ddc26eb826086593f82370b15d16404d33e,99e5267fbf5a7748d4f3b75ba1990cb5d91348339468607a04bfbc6081c62d71
2,Silver,Japanese,0,Pocket Monsters Gin (Japan).gbc,1048576,1.0,64,POKEMON_SLVAAXJ,0x80,CGB enhanced,Yes,MBC3+TIMER+RAM+BATTERY,0x05,32768,Japan,0,True,True,1abb25d01dbeb20f104e44364f56fe03,fa8c51059c1642faa570db56ef089f54d1d2011f,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c
2,Gold,Japanese,A,Pocket Monsters Kin (Japan) (Rev A).gbc,1048576,1.0,64,POKEMON_GLDAAUJ,0x80,CGB enhanced,Yes,MBC3+TIMER+RAM+BATTERY,0x05,32768,Japan,1,True,True,79aece8a042e4fa57aba9455c4d21a97,a222402235d484ee8e39f3f31bae57cf13daf585,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e
2,Gold,Japanese,0,Pocket Monsters Kin (Japan).gbc,1048576,1.0,64,POKEMON_GLDAAUJ,0x80,CGB enhanced,Yes,MBC3+TIMER+RAM+BATTERY,0x05,32768,Japan,0,True,True,85be569fe89f58c40f60480313314c67,8814f1039450a5d3684b1389f588ccd7ee7c3436,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7
2,Crystal,English,A,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",2097152,2.0,128,PM_CRYSTAL,0xC0,CGB only,No,MBC3+TIMER+RAM+BATTERY,0x06,32768,Non-Japan,1,True,True,301899b8087289a6436b0a241fbbb474,f2f52230b536214ef7c9924f483392993e226cfb,fdcc3c8c43813cf8731fc037d2a6d191bac75439c34b24ba1c27526e6acdc8a2
2,Crystal,English,0,"Pokemon - Crystal Version (USA, Europe).gbc",2097152,2.0,128,PM_CRYSTAL,0xC0,CGB only,No,MBC3+TIMER+RAM+BATTERY,0x06,32768,Non-Japan,0,True,True,9f2922b235a5eeb78d65594e82ef5dde,f4cd194bdee0d04ca4eac29e09b8e4e9d818c133,d6702e353dcbe2d2c69183046c878ef13a0dae4006e8cdff521cca83dd1582fe
2,Gold,English,0,"Pokemon - Gold Version (USA, Europe).gbc",2097152,2.0,128,POKEMON_GLDAAUE,0x80,CGB enhanced,Yes,MBC3+TIMER+RAM+BATTERY,0x06,32768,Non-Japan,0,True,True,a6924ce1f9ad2228e1c6580779b23878,d8b8a3600a465308c9953dfa04f0081c05bdcb94,fb0016d27b1e5374e1ec9fcad60e6628d8646103b5313ca683417f52b97e7e4e
2,Silver,English,0,"Pokemon - Silver Version (USA, Europe).gbc",2097152,2.0,128,POKEMON_SLVAAXE,0x80,CGB enhanced,Yes,MBC3+TIMER+RAM+BATTERY,0x06,32768,Non-Japan,0,True,True,2ac166169354e84d0e2d7cf4cb40b312,49b163f7e57702bc939d642a18f591de55d92dae,72b190859a59623cbef6c49d601f8de52c1d2331b4f08a8d2acc17274fc19a8c
