a,b,byte_differences,difference_percent,first_difference_offset,last_difference_offset,changed_64k_banks_count
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,Pocket Monsters - Fire Red (Japan).gba,7016197,41.819793,0x000000BC,0x00FDFFFE,120
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,Pokemon - Edicion Rojo Fuego (Spain).gba,10010132,59.665036,0x000000AF,0x00F3F3E3,162
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,Pokemon - Feuerrote Edition (Germany).gba,10059352,59.95841,0x000000AF,0x00F3F3E3,162
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,Pokemon - Fire Red Version (USA).gba,10061003,59.968251,0x000000AF,0x00FFFFFF,163
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",10061615,59.971899,0x000000AF,0x00FFFFFF,163
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,Pokemon - Version Rouge Feu (France).gba,10006263,59.641975,0x000000AF,0x00F3F3E3,162
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,Pokemon - Versione Rosso Fuoco (Italy).gba,10004432,59.631062,0x000000AF,0x00F3F3E3,161
Pocket Monsters - Fire Red (Japan).gba,Pokemon - Edicion Rojo Fuego (Spain).gba,10428374,62.157953,0x000000AF,0x00FDFFFE,172
Pocket Monsters - Fire Red (Japan).gba,Pokemon - Feuerrote Edition (Germany).gba,10479516,62.462783,0x000000AF,0x00FDFFFE,172
Pocket Monsters - Fire Red (Japan).gba,Pokemon - Fire Red Version (USA).gba,10472033,62.418181,0x000000AF,0x00FFFFFF,173
Pocket Monsters - Fire Red (Japan).gba,"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",10478365,62.455922,0x000000AF,0x00FFFFFF,173
Pocket Monsters - Fire Red (Japan).gba,Pokemon - Version Rouge Feu (France).gba,10422488,62.122869,0x000000AF,0x00FDFFFE,172
Pocket Monsters - Fire Red (Japan).gba,Pokemon - Versione Rosso Fuoco (Italy).gba,10420472,62.110853,0x000000AF,0x00FDFFFE,171
Pokemon - Edicion Rojo Fuego (Spain).gba,Pokemon - Feuerrote Edition (Germany).gba,8070857,48.106056,0x000000AF,0x00EB229B,141
Pokemon - Edicion Rojo Fuego (Spain).gba,Pokemon - Fire Red Version (USA).gba,7023434,41.862929,0x000000AF,0x00FFFFFF,120
Pokemon - Edicion Rojo Fuego (Spain).gba,"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",7012049,41.795069,0x000000AF,0x00FFFFFF,120
Pokemon - Edicion Rojo Fuego (Spain).gba,Pokemon - Version Rouge Feu (France).gba,6638138,39.566386,0x000000AF,0x00EB229B,119
Pokemon - Edicion Rojo Fuego (Spain).gba,Pokemon - Versione Rosso Fuoco (Italy).gba,7869830,46.907842,0x000000AF,0x00EB22EB,141
Pokemon - Feuerrote Edition (Germany).gba,Pokemon - Fire Red Version (USA).gba,7809206,46.546495,0x000000AF,0x00FFFFFF,142
Pokemon - Feuerrote Edition (Germany).gba,"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",7850584,46.793127,0x000000AF,0x00FFFFFF,142
Pokemon - Feuerrote Edition (Germany).gba,Pokemon - Version Rouge Feu (France).gba,8075168,48.131752,0x000000AF,0x00EB219F,141
Pokemon - Feuerrote Edition (Germany).gba,Pokemon - Versione Rosso Fuoco (Italy).gba,7624942,45.448196,0x000000AF,0x00EB22EB,141
Pokemon - Fire Red Version (USA).gba,"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",6367135,37.951082,0x000000BC,0x00FFFFFF,115
Pokemon - Fire Red Version (USA).gba,Pokemon - Version Rouge Feu (France).gba,7018040,41.830778,0x000000AF,0x00FFFFFF,120
Pokemon - Fire Red Version (USA).gba,Pokemon - Versione Rosso Fuoco (Italy).gba,8049253,47.977287,0x000000AF,0x00FFFFFF,142
"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",Pokemon - Version Rouge Feu (France).gba,7014965,41.81245,0x000000AF,0x00FFFFFF,120
"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",Pokemon - Versione Rosso Fuoco (Italy).gba,8036217,47.899586,0x000000AF,0x00FFFFFF,142
Pokemon - Version Rouge Feu (France).gba,Pokemon - Versione Rosso Fuoco (Italy).gba,7925533,47.239858,0x000000AF,0x00EB22EB,141
