move_id,original_gs_korean_name,latest_official_korean_name,original_gs_korean_description,final_korean_description,official_name_source,description_translation_source,verification_status,change_reason,bank_hex,cpu_address_hex
1,막치기,,손과 꼬리 등을 사용해서<NEXT>적을 때리는 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4202
2,태권당수,,당수로 적을 공격<NEXT>급소를 맞추기 쉽다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x422B
3,연속 뺨치기,,적을 연속 뺨때리기로<NEXT>2-5회 연속으로 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x424F
4,연속펀치,,적을 연속으로 두들겨 패서<NEXT>2-5회 연속으로 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4279
5,메가톤펀치,,엄청난 힘이 실린 펀치로<NEXT>적을 때려서 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x42A8
6,고양이돈받기,,금화를 던져서 적을 공격<NEXT>전투 후에 돈이 손에 들어온다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x42D1
7,불꽃펀치,,화염이 이글거리는 펀치로 공격<NEXT>적에게 화상을 입히기도 한다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4306
8,냉동펀치,,냉기를 실은 펀치로 공격<NEXT>적을 얼리기도 한다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4340
9,번개펀치,,전기를 실은 펀치로 공격<NEXT>적을 감전시키기도 한다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x436B
10,할퀴기,,날카로운 손톱을 사용해서<NEXT>적을 할퀴며 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x439A
11,찝기,,커다란 집게가위를 사용<NEXT>적을 찝어서 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x43C4
12,가위자르기,,커다란 집게가위를 사용하여<NEXT>집어올려 전투불능으로 만든다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x43EC
13,칼바람,,1턴째에서 바람의 칼날을 만들어<NEXT>다음 턴에서 적을 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4424
14,칼춤,,싸움의 춤을 춰서<NEXT>공격력을 팍 올린다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4459
15,풀베기,,날카로운 낫과 손톱을 사용하여<NEXT>적을 가르고 베며 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x447D
16,바람일으키기,,날개로 강한 바람을 일으켜<NEXT>적에게 타격을 주는 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x44B1
17,날개치기,,날개를 크게 펼쳐서<NEXT>그대로 적에게 몸통박치기를 한다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x44E3
18,날려버리기,,강한 바람으로 적을 날려버림<NEXT>날려버리면 전투는 끝난다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4516
19,공중날기,,1턴째 하늘로 날아올라<NEXT>다음 턴에 적을 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x454B
20,조이기,,2-5턴 동안에 긴 몸이나<NEXT>넝쿨을 사용하여 적을 힘껏 조른다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4575
21,힘껏치기,,긴 꼬리랑 넝쿨 등을<NEXT>적에게 휘둘러 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x45AE
22,덩쿨채찍,,채찍 같은 가늘고 긴 덩쿨을<NEXT>적에게 휘둘러 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x45D5
23,짓밟기,,커다란 다리로 밟아서 공격<NEXT>적의 기세가 꺾이는 일도 있다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4603
24,두번치기,,2개의 다리를 이용하여 적을<NEXT>2회 연속으로 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x463A
25,메가톤킥,,엄청낭 힘이 담긴 킥으로<NEXT>적을 걷어차서 공격,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6D,0x4667
