ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision
PH12-001,Phase 12 facility/save boundary,Gen II recurring services are mostly RTC/eve…,Crystal adds large dedicated facility state …,"HGSS adds independent save blocks for Safari Zone, Photo …",Do not flatten independent facility formats into story flags. Allocat…
PH12-002,Pokéathlon facility,Absent.,Absent.,"Full HGSS-only sports facility with five course families,…",Add as HGSS-origin facility; never describe it as a GSC restoration.
PH12-003,Pokéathlon save size,Absent.,Absent.,`PokeathlonSave` is 0xB80 bytes and has separate solo/lin…,Reserve a real structured save block; event bits are insufficient.
PH12-004,Pokéathlon athlete points,Absent.,Absent.,"Athlete Points are stored independently and capped at 99,…",Backport as its own currency with checked add/subtract operations.
PH12-005,Pokéathlon solo/link records,Absent.,Absent.,Ten solo record structures and ten link record structures…,Preserve both even if link play is initially unavailable; unsupported…
PH12-006,Pokéathlon unlock from Johto progression,Absent.,Absent.,Field flags around National Park/Pokéathlon presentation …,Keep story unlock/presentation flags separate from Pokéathlon records…
PH12-007,Pokéathlon competition launcher,Absent.,Absent.,Shared field script invokes the dedicated `Pokeathlon` co…,Implement a facility application boundary rather than trying to emula…
PH12-008,Pokéathlon daily prize shop,Absent.,Absent.,Prize counter rotates inventory by weekday; National Dex …,"Use a weekday-indexed shop table plus a National-Dex tier, not seven …"
PH12-009,Pokéathlon daily-reset bits,Absent.,Absent.,"Day rollover calls `PokeathlonSave_ResetUnkB7C`, proving …",Reset only the verified daily bitfield; lifetime records and athlete …
PH12-010,Crystal Battle Tower,Absent in Gold/Silver.,"Dedicated Battle Tower with 3-Pokémon party,…",HGSS has a different Battle Frontier implementation.,Preserve Crystal Tower as a selectable source-era ruleset/facility mo…
PH12-011,Crystal Battle Tower anti-repeat trainer …,Absent.,SRAM stores the trainers already used so no …,HGSS uses different Frontier opponent-selection/save stru…,Do not discard the Crystal sequence-history field when adding HGSS fa…
PH12-012,HGSS Battle Frontier,Absent.,"Crystal only has Battle Tower, not the HGSS …","Five facility families: Battle Tower, Battle Factory, Bat…",Add the HGSS Frontier alongside Crystal Tower compatibility mode.
PH12-013,Frontier Battle Points,Absent.,Crystal Tower does not use HGSS BP economy.,Frontier data exposes `FrontierData_BattlePointAction` an…,Use dedicated BP currency and never reuse money/coins/athlete points.
PH12-014,Frontier Print progression,Absent.,Absent.,"Separate save vars track Tower, Factory, Hall, Castle and…",Store each facility progress independently; derive all-Print rewards …
PH12-015,Frontier all-Gold-Print condition,Absent.,Absent.,Shared script checks all facility progress at the termina…,"Global achievement is derived from per-facility state, not the author…"
PH12-016,Frontier streak/current challenge state,Absent.,Crystal stores its current Battle Tower chal…,HGSS facilities maintain current challenge data separatel…,Persist current run and lifetime records in different namespaces so q…
PH12-017,HGSS Safari Zone existence,Kanto Safari Zone is closed in Gen II.,Fuchsia dialogue explicitly says the Safari …,HGSS introduces the new Johto Safari Zone near Routes 47/…,Preserve GSC Fuchsia closure as historical world content while adding…
PH12-018,Safari Zone independent save block,Absent.,Absent.,"`SAVE_SAFARI_ZONE` persists area sets, objects, area leve…",Allocate dedicated save storage; do not serialize layout only as map …
PH12-019,Safari Zone area customization,Absent.,Absent.,Area sets contain multiple selected areas; APIs swap/init…,Treat area arrangement as user data and rebuild the map matrix from s…
PH12-020,Safari Zone placed blocks,Absent.,Absent.,Each Safari area stores an active object count and object…,Backport actual placed objects and coordinates; raw block counts alon…
PH12-021,Safari object categories,Absent.,Absent.,"Encounter-affecting object types include Plains, Forest, …",Preserve object type/value data because encounter conditions query ty…
PH12-022,Safari area aging,Absent.,Absent.,Day advancement increases per-area age/level and can chan…,"Store age per underlying Safari area, not just global days-open."
PH12-023,Safari object aging tiers,Absent.,Absent.,"Object-level boosts use type-specific threshold tables: P…",Implement the exact tier function and combine it with placed-object c…
PH12-024,Safari bonus encounters,Absent.,Absent.,"Encounter archive stores base slots, bonus slots and one/…",Port the table format; do not approximate bonus encounters with a sin…
PH12-025,Baoba new-Pokémon notification,Absent.,Absent.,"After aging, code compares encounter arrays before/after;…",Notify only when an area's effective encounter table actually changes.
PH12-026,Safari RTC-penalty interaction,Absent.,Absent.,Safari encounter aging is skipped while RTC penalty is ac…,Clock manipulation must not grant accelerated Safari maturation.
PH12-027,Apricorn/Fruit trees in Gen II,Daily tree harvesting is part of the origina…,Crystal retains daily tree/berry/apricorn av…,HGSS uses dedicated Apricorn tree objects and persistent …,Preserve legacy daily harvest behavior and map each tree to an expand…
PH12-028,HGSS Apricorn tree species/color table,Tree/item locations exist but use Gen II dat…,Same family.,HGSS `sTreeApricorns[NUM_APRICORN_TREE]` maps each persis…,Use stable tree IDs so harvest state survives map reloads and data re…
PH12-029,HGSS field-tree daily reset,Daily harvest refresh.,Daily harvest refresh.,Day rollover updates field Apricorn tree state separately…,Do not conflate tree regrowth with Apricorn Box/juice aging.
PH12-030,Apricorn Box independent save block,Absent as HGSS device/data structure.,Absent as HGSS device/data structure.,`SAVE_APRICORN_BOX` is a dedicated HGSS save array and ha…,Backport as separate persistent inventory/processing data.
PH12-031,Apricorn Box RTC penalty,Not applicable.,Not applicable.,Day-based Apricorn Box update is skipped while RTC penalt…,Respect penalty freeze instead of granting aging from manipulated clo…
PH12-032,RTC day rollover transaction,Gen II has RTC-driven daily/weekly event res…,Crystal expands daily/weekly flags.,"HGSS day advance clears daily flags, advances lottery RNG…",Create one central day-advance transaction with subsystem callbacks.
PH12-033,RTC minute progression,Time-of-day content updates from RTC.,Same.,"Minute delta decrements RTC penalty, advances phone timin…",Separate minute-based callbacks from day-based callbacks.
PH12-034,RTC backward clock handling,Source-specific clock-change behavior must b…,Same principle.,"When current RTC is earlier than stored RTC, HGSS updates…",Do not compute negative elapsed days as positive progress.
PH12-035,New-console RTC penalty,Not applicable to DS console identity.,Not applicable to DS console identity.,`SysInfoRTC_HandleContinueOnNewConsole` sets penalty to 1…,Persist a 1440-minute penalty and decrement by actual forward minutes.
PH12-036,Penalty clamp/decrement,Not applicable.,Not applicable.,"HGSS clamps penalty above 1440, clears it when elapsed mi…",Implement exact saturating/decrement semantics.
