expanded_johto_dex,hgss_johto_dex,national_dex,identifier,internal_id_hex,storage_species_byte_hex,ext_selector,id_class
1,1,152,CHIKORITA,0x1F,0x1F,,JOHTO_RECLAIMED_8BIT
2,2,153,BAYLEEF,0x20,0x20,,JOHTO_RECLAIMED_8BIT
3,3,154,MEGANIUM,0x32,0x32,,JOHTO_RECLAIMED_8BIT
4,4,155,CYNDAQUIL,0x34,0x34,,JOHTO_RECLAIMED_8BIT
5,5,156,QUILAVA,0x38,0x38,,JOHTO_RECLAIMED_8BIT
6,6,157,TYPHLOSION,0x3D,0x3D,,JOHTO_RECLAIMED_8BIT
7,7,158,TOTODILE,0x3E,0x3E,,JOHTO_RECLAIMED_8BIT
8,8,159,CROCONAW,0x3F,0x3F,,JOHTO_RECLAIMED_8BIT
9,9,160,FERALIGATR,0x43,0x43,,JOHTO_RECLAIMED_8BIT
10,10,16,PIDGEY,0x24,0x24,,KANTO_LEGACY
11,11,17,PIDGEOTTO,0x96,0x96,,KANTO_LEGACY
12,12,18,PIDGEOT,0x97,0x97,,KANTO_LEGACY
13,13,21,SPEAROW,0x05,0x05,,KANTO_LEGACY
14,14,22,FEAROW,0x23,0x23,,KANTO_LEGACY
15,15,163,HOOTHOOT,0x4F,0x4F,,JOHTO_RECLAIMED_8BIT
16,16,164,NOCTOWL,0x50,0x50,,JOHTO_RECLAIMED_8BIT
17,17,19,RATTATA,0xA5,0xA5,,KANTO_LEGACY
18,18,20,RATICATE,0xA6,0xA6,,KANTO_LEGACY
19,19,161,SENTRET,0x44,0x44,,JOHTO_RECLAIMED_8BIT
20,20,162,FURRET,0x45,0x45,,JOHTO_RECLAIMED_8BIT
21,21,172,PICHU,0x7A,0x7A,,JOHTO_RECLAIMED_8BIT
22,22,25,PIKACHU,0x54,0x54,,KANTO_LEGACY
23,23,26,RAICHU,0x55,0x55,,KANTO_LEGACY
24,24,10,CATERPIE,0x7B,0x7B,,KANTO_LEGACY
25,25,11,METAPOD,0x7C,0x7C,,KANTO_LEGACY
26,26,12,BUTTERFREE,0x7D,0x7D,,KANTO_LEGACY
27,27,13,WEEDLE,0x70,0x70,,KANTO_LEGACY
28,28,14,KAKUNA,0x71,0x71,,KANTO_LEGACY
29,29,15,BEEDRILL,0x72,0x72,,KANTO_LEGACY
30,30,165,LEDYBA,0x51,0x51,,JOHTO_RECLAIMED_8BIT
31,31,166,LEDIAN,0x56,0x56,,JOHTO_RECLAIMED_8BIT
32,32,167,SPINARAK,0x57,0x57,,JOHTO_RECLAIMED_8BIT
33,33,168,ARIADOS,0x5E,0x5E,,JOHTO_RECLAIMED_8BIT
34,34,74,GEODUDE,0xA9,0xA9,,KANTO_LEGACY
35,35,75,GRAVELER,0x27,0x27,,KANTO_LEGACY
36,36,76,GOLEM,0x31,0x31,,KANTO_LEGACY
37,37,41,ZUBAT,0x6B,0x6B,,KANTO_LEGACY
38,38,42,GOLBAT,0x82,0x82,,KANTO_LEGACY
39,39,169,CROBAT,0x5F,0x5F,,JOHTO_RECLAIMED_8BIT
40,40,173,CLEFFA,0x7F,0x7F,,JOHTO_RECLAIMED_8BIT
41,41,35,CLEFAIRY,0x04,0x04,,KANTO_LEGACY
42,42,36,CLEFABLE,0x8E,0x8E,,KANTO_LEGACY
43,43,174,IGGLYBUFF,0x86,0x86,,JOHTO_RECLAIMED_8BIT
44,44,39,JIGGLYPUFF,0x64,0x64,,KANTO_LEGACY
45,45,40,WIGGLYTUFF,0x65,0x65,,KANTO_LEGACY
46,46,175,TOGEPI,0x87,0x87,,JOHTO_RECLAIMED_8BIT
47,47,176,TOGETIC,0x89,0x89,,JOHTO_RECLAIMED_8BIT
48,,468,TOGEKISS,0x10A,0xFC,10,GEN4_EXTENDED_ESCAPE_FC
49,48,27,SANDSHREW,0x60,0x60,,KANTO_LEGACY
50,49,28,SANDSLASH,0x61,0x61,,KANTO_LEGACY
51,50,23,EKANS,0x6C,0x6C,,KANTO_LEGACY
52,51,24,ARBOK,0x2D,0x2D,,KANTO_LEGACY
53,52,206,DUNSPARCE,0xCE,0xCE,,JOHTO_RECLAIMED_8BIT
54,53,179,MAREEP,0x9C,0x9C,,JOHTO_RECLAIMED_8BIT
55,54,180,FLAAFFY,0x9F,0x9F,,JOHTO_RECLAIMED_8BIT
56,55,181,AMPHAROS,0xA0,0xA0,,JOHTO_RECLAIMED_8BIT
57,56,194,WOOPER,0xC2,0xC2,,JOHTO_RECLAIMED_8BIT
58,57,195,QUAGSIRE,0xC3,0xC3,,JOHTO_RECLAIMED_8BIT
59,58,92,GASTLY,0x19,0x19,,KANTO_LEGACY
60,59,93,HAUNTER,0x93,0x93,,KANTO_LEGACY
61,60,94,GENGAR,0x0E,0x0E,,KANTO_LEGACY
62,61,201,UNOWN,0xC9,0xC9,,JOHTO_RECLAIMED_8BIT
63,62,95,ONIX,0x22,0x22,,KANTO_LEGACY
64,63,208,STEELIX,0xD0,0xD0,,JOHTO_RECLAIMED_8BIT
65,64,69,BELLSPROUT,0xBC,0xBC,,KANTO_LEGACY
66,65,70,WEEPINBELL,0xBD,0xBD,,KANTO_LEGACY
67,66,71,VICTREEBEL,0xBE,0xBE,,KANTO_LEGACY
68,67,187,HOPPIP,0xB5,0xB5,,JOHTO_RECLAIMED_8BIT
69,68,188,SKIPLOOM,0xB6,0xB6,,JOHTO_RECLAIMED_8BIT
70,69,189,JUMPLUFF,0xB7,0xB7,,JOHTO_RECLAIMED_8BIT
71,70,46,PARAS,0x6D,0x6D,,KANTO_LEGACY
72,71,47,PARASECT,0x2E,0x2E,,KANTO_LEGACY
73,72,60,POLIWAG,0x47,0x47,,KANTO_LEGACY
74,73,61,POLIWHIRL,0x6E,0x6E,,KANTO_LEGACY
75,74,62,POLIWRATH,0x6F,0x6F,,KANTO_LEGACY
76,75,186,POLITOED,0xAF,0xAF,,JOHTO_RECLAIMED_8BIT
77,76,129,MAGIKARP,0x85,0x85,,KANTO_LEGACY
78,77,130,GYARADOS,0x16,0x16,,KANTO_LEGACY
79,78,118,GOLDEEN,0x9D,0x9D,,KANTO_LEGACY
80,79,119,SEAKING,0x9E,0x9E,,KANTO_LEGACY
81,80,79,SLOWPOKE,0x25,0x25,,KANTO_LEGACY
82,81,80,SLOWBRO,0x08,0x08,,KANTO_LEGACY
83,82,199,SLOWKING,0xC7,0xC7,,JOHTO_RECLAIMED_8BIT
84,83,43,ODDISH,0xB9,0xB9,,KANTO_LEGACY
85,84,44,GLOOM,0xBA,0xBA,,KANTO_LEGACY
86,85,45,VILEPLUME,0xBB,0xBB,,KANTO_LEGACY
87,86,182,BELLOSSOM,0xA1,0xA1,,JOHTO_RECLAIMED_8BIT
88,87,96,DROWZEE,0x30,0x30,,KANTO_LEGACY
89,88,97,HYPNO,0x81,0x81,,KANTO_LEGACY
90,89,63,ABRA,0x94,0x94,,KANTO_LEGACY
91,90,64,KADABRA,0x26,0x26,,KANTO_LEGACY
92,91,65,ALAKAZAM,0x95,0x95,,KANTO_LEGACY
93,92,132,DITTO,0x4C,0x4C,,KANTO_LEGACY
94,93,204,PINECO,0xCC,0xCC,,JOHTO_RECLAIMED_8BIT
95,94,205,FORRETRESS,0xCD,0xCD,,JOHTO_RECLAIMED_8BIT
96,95,29,NIDORAN_F,0x0F,0x0F,,KANTO_LEGACY
97,96,30,NIDORINA,0xA8,0xA8,,KANTO_LEGACY
98,97,31,NIDOQUEEN,0x10,0x10,,KANTO_LEGACY
99,98,32,NIDORAN_M,0x03,0x03,,KANTO_LEGACY
100,99,33,NIDORINO,0xA7,0xA7,,KANTO_LEGACY
101,100,34,NIDOKING,0x07,0x07,,KANTO_LEGACY
102,101,193,YANMA,0xC1,0xC1,,JOHTO_RECLAIMED_8BIT
103,102,469,YANMEGA,0x10B,0xFC,11,GEN4_EXTENDED_ESCAPE_FC
104,103,191,SUNKERN,0xBF,0xBF,,JOHTO_RECLAIMED_8BIT
105,104,192,SUNFLORA,0xC0,0xC0,,JOHTO_RECLAIMED_8BIT
106,105,102,EXEGGCUTE,0x0C,0x0C,,KANTO_LEGACY
107,106,103,EXEGGUTOR,0x0A,0x0A,,KANTO_LEGACY
108,107,185,SUDOWOODO,0xAE,0xAE,,JOHTO_RECLAIMED_8BIT
109,108,202,WOBBUFFET,0xCA,0xCA,,JOHTO_RECLAIMED_8BIT
110,109,48,VENONAT,0x41,0x41,,KANTO_LEGACY
111,110,49,VENOMOTH,0x77,0x77,,KANTO_LEGACY
112,111,123,SCYTHER,0x1A,0x1A,,KANTO_LEGACY
113,112,212,SCIZOR,0xD4,0xD4,,JOHTO_RECLAIMED_8BIT
114,113,127,PINSIR,0x1D,0x1D,,KANTO_LEGACY
115,114,214,HERACROSS,0xD6,0xD6,,JOHTO_RECLAIMED_8BIT
116,115,109,KOFFING,0x37,0x37,,KANTO_LEGACY
117,116,110,WEEZING,0x8F,0x8F,,KANTO_LEGACY
118,117,88,GRIMER,0x0D,0x0D,,KANTO_LEGACY
119,118,89,MUK,0x88,0x88,,KANTO_LEGACY
120,119,81,MAGNEMITE,0xAD,0xAD,,KANTO_LEGACY
121,120,82,MAGNETON,0x36,0x36,,KANTO_LEGACY
122,,462,MAGNEZONE,0x104,0xFC,4,GEN4_EXTENDED_ESCAPE_FC
123,121,100,VOLTORB,0x06,0x06,,KANTO_LEGACY
124,122,101,ELECTRODE,0x8D,0x8D,,KANTO_LEGACY
125,123,190,AIPOM,0xB8,0xB8,,JOHTO_RECLAIMED_8BIT
126,124,424,AMBIPOM,0x100,0xFC,0,GEN4_EXTENDED_ESCAPE_FC
127,125,209,SNUBBULL,0xD1,0xD1,,JOHTO_RECLAIMED_8BIT
128,126,210,GRANBULL,0xD2,0xD2,,JOHTO_RECLAIMED_8BIT
129,127,37,VULPIX,0x52,0x52,,KANTO_LEGACY
130,128,38,NINETALES,0x53,0x53,,KANTO_LEGACY
131,129,58,GROWLITHE,0x21,0x21,,KANTO_LEGACY
132,130,59,ARCANINE,0x14,0x14,,KANTO_LEGACY
133,131,234,STANTLER,0xEA,0xEA,,JOHTO_RECLAIMED_8BIT
134,132,183,MARILL,0xA2,0xA2,,JOHTO_RECLAIMED_8BIT
135,133,184,AZUMARILL,0xAC,0xAC,,JOHTO_RECLAIMED_8BIT
136,134,50,DIGLETT,0x3B,0x3B,,KANTO_LEGACY
137,135,51,DUGTRIO,0x76,0x76,,KANTO_LEGACY
138,136,56,MANKEY,0x39,0x39,,KANTO_LEGACY
139,137,57,PRIMEAPE,0x75,0x75,,KANTO_LEGACY
