national_dex,identifier,name_ko,expanded_johto_dex,hgss_johto_dex,internal_id_hex,ext_selector,source
424,AMBIPOM,겟핸보숭,126,124,0x100,0,HGSS_JOHTO_256
429,MISMAGIUS,무우마직,230,,0x101,1,DPPt_EVOLUTION_INSERT
430,HONCHKROW,돈크로우,222,,0x102,2,DPPt_EVOLUTION_INSERT
461,WEAVILE,포푸니라,228,,0x103,3,DPPt_EVOLUTION_INSERT
462,MAGNEZONE,자포코일,122,,0x104,4,DPPt_EVOLUTION_INSERT
463,LICKILICKY,내룸벨트,185,181,0x105,5,HGSS_JOHTO_256
464,RHYPERIOR,거대코뿌리,220,,0x106,6,DPPt_EVOLUTION_INSERT
465,TANGROWTH,덩쿠림보,187,183,0x107,7,HGSS_JOHTO_256
466,ELECTIVIRE,에레키블,161,,0x108,8,DPPt_EVOLUTION_INSERT
467,MAGMORTAR,마그마번,156,,0x109,9,DPPt_EVOLUTION_INSERT
468,TOGEKISS,토게키스,48,,0x10A,10,DPPt_EVOLUTION_INSERT
469,YANMEGA,메가자리,103,102,0x10B,11,HGSS_JOHTO_256
470,LEAFEON,리피아,194,,0x10C,12,DPPt_EVOLUTION_INSERT
471,GLACEON,글레이시아,195,,0x10D,13,DPPt_EVOLUTION_INSERT
472,GLISCOR,글라이온,200,,0x10E,14,DPPt_EVOLUTION_INSERT
473,MAMOSWINE,맘모꾸리,204,197,0x10F,15,HGSS_JOHTO_256
474,PORYGON_Z,폴리곤Z,233,,0x110,16,DPPt_EVOLUTION_INSERT
