slot_index_zero_based,item_id_decimal,item_id_hex,slot_kind,original_gs_korean,latest_korean,final_korean,original_gs_korean_description,description_cpu_address_hex,canonical_identifier,canonical_english,change_category,verification_status,source_agreement
0,1,0x01,NAMED_ITEM,마스터볼,마스터볼,마스터볼,포켓몬을 반드시 잡을 수 있는<NEXT>최고의 볼,0x4200,master-ball,Master Ball,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
1,2,0x02,NAMED_ITEM,하이퍼볼,하이퍼볼,하이퍼볼,높은 확률로 포켓몬을<NEXT>잡을 수 있는 볼,0x4227,ultra-ball,Ultra Ball,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
2,3,0x03,NAMED_ITEM,반짝가루,반짝가루,반짝가루,지니게하면 강한 빛을 발산해서<NEXT>상대의 명중률을 낮춘다,0x424C,bright-powder,Bright Powder,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
3,4,0x04,NAMED_ITEM,수퍼볼,슈퍼볼,슈퍼볼,포켓몬을 잡기 위한 도구<NEXT>몬스터볼보다 고성능이다,0x4281,great-ball,Great Ball,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
4,5,0x05,NAMED_ITEM,몬스터볼,몬스터볼,몬스터볼,포켓몬을 잡기 위한 도구,0x42B1,poke-ball,Poké Ball,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
5,6,0x06,UNUSED_OR_INTERNAL,?,?,?,?,0x42C9,,,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE
6,7,0x07,NAMED_ITEM,자전거,자전거,자전거,2배의 빠르기로 이동할 수 있는<NEXT>접이식 자전거,0x42CC,bicycle,Bicycle,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
7,8,0x08,NAMED_ITEM,달맞이 돌,달의돌,달의돌,특정 포켓몬을 진화시킨다,0x42F8,moon-stone,Moon Stone,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
8,9,0x09,NAMED_ITEM,해독제,해독제,해독제,중독상태를 치료하여 회복시킨다,0x4311,antidote,Antidote,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
9,10,0x0A,NAMED_ITEM,화상 치료제,화상치료제,화상치료제,화상을 치료하여 회복시킨다,0x4330,burn-heal,Burn Heal,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
10,11,0x0B,NAMED_ITEM,얼음상태 치료제,얼음상태치료제,얼음상태치료제,얼음상태를 치료하여 회복시킨다,0x434B,ice-heal,Ice Heal,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
11,12,0x0C,NAMED_ITEM,잠깨는 약,잠깨는약,잠깨는약,졸음상태를 치료하여 회복시킨다,0x436A,awakening,Awakening,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
12,13,0x0D,NAMED_ITEM,마비 치료제,마비치료제,마비치료제,마비상태를 치료하여 회복시킨다,0x4389,paralyze-heal,Paralyze Heal,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
13,14,0x0E,NAMED_ITEM,회복약,회복약,회복약,모든 상태 이상과<NEXT>체력을 전부 회복시킨다,0x43A8,full-restore,Full Restore,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
14,15,0x0F,NAMED_ITEM,풀 회복약,풀회복약,풀회복약,체력을 전부 회복시킨다,0x43D0,max-potion,Max Potion,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
15,16,0x10,NAMED_ITEM,고급 상처약,고급상처약,고급상처약,체력을 200 회복시킨다,0x43E7,hyper-potion,Hyper Potion,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
16,17,0x11,NAMED_ITEM,좋은 상처약,좋은상처약,좋은상처약,체력을 50 회복시킨다,0x43FD,super-potion,Super Potion,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
17,18,0x12,NAMED_ITEM,상처약,상처약,상처약,체력을 20 회복시킨다,0x4412,potion,Potion,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
18,19,0x13,NAMED_ITEM,동굴탈출 로프,동굴탈출로프,동굴탈출로프,동굴 등지에서 빠져나올 수 있다,0x4427,escape-rope,Escape Rope,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
19,20,0x14,NAMED_ITEM,벌레회피스프레이,벌레회피스프레이,벌레회피스프레이,100보 동안에 약한 포켓몬이랑<NEXT>만나지 않게된다,0x4446,repel,Repel,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
20,21,0x15,NAMED_ITEM,PP 맥스,PP맥스,PP맥스,포켓몬 1마리의 모든 기술<NEXT>포인트를 전부 회복시켜준다,0x4473,max-elixir,Max Elixir,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
21,22,0x16,NAMED_ITEM,불꽃의 돌,불꽃의돌,불꽃의돌,특정 포켓몬을 진화시킨다,0x44A7,fire-stone,Fire Stone,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
22,23,0x17,NAMED_ITEM,천둥의 돌,천둥의돌,천둥의돌,특정 포켓몬을 진화시킨다,0x44C0,thunder-stone,Thunder Stone,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
23,24,0x18,NAMED_ITEM,물의 돌,물의돌,물의돌,특정 포켓몬을 진화시킨다,0x44D9,water-stone,Water Stone,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
24,25,0x19,UNUSED_OR_INTERNAL,?,?,?,?,0x44F2,,,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE
25,26,0x1A,NAMED_ITEM,맥스 업,맥스업,맥스업,체력의 기초포인트를 올려준다,0x44F5,hp-up,HP Up,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
26,27,0x1B,NAMED_ITEM,타우린,타우린,타우린,공격의 기초포인트를 올려준다,0x4512,protein,Protein,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
27,28,0x1C,NAMED_ITEM,사포닌,사포닌,사포닌,방어의 기초포인트를 올려준다,0x452F,iron,Iron,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
28,29,0x1D,NAMED_ITEM,알칼로이드,알칼로이드,알칼로이드,스피드의 기초포인트를 올려준다,0x454C,carbos,Carbos,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
29,30,0x1E,NAMED_ITEM,럭키 펀치,럭키펀치,럭키펀치,럭키에게 지니게 하면<NEXT>급소를 맞추기 쉽게된다,0x456B,lucky-punch,Lucky Punch,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
30,31,0x1F,NAMED_ITEM,리보플라빈,리보플라빈,리보플라빈,특수공격 특수방어의<NEXT>기초포인트를 올려준다,0x4597,calcium,Calcium,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
31,32,0x20,NAMED_ITEM,이상한 사탕,이상한사탕,이상한사탕,포켓몬의 레벨을 1 올려준다,0x45C1,rare-candy,Rare Candy,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
32,33,0x21,NAMED_ITEM,잘-맞히기,잘-맞히기,잘-맞히기,사용한 전투중에서만<NEXT>기술이 명중하기 쉽게된다,0x45DC,x-accuracy,X Accuracy,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
33,34,0x22,NAMED_ITEM,잎사귀 돌,리프의돌,리프의돌,특정 포켓몬을 진화시킨다,0x4609,leaf-stone,Leaf Stone,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
34,35,0x23,NAMED_ITEM,금속 파우더,금속파우더,금속파우더,메타몽에게 지니게하면<NEXT>방어력이 올라간다,0x4622,metal-powder,Metal Powder,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
35,36,0x24,NAMED_ITEM,금구슬,금구슬,금구슬,순금성분<NEXT>비싸게 팔린다,0x464A,nugget,Nugget,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
36,37,0x25,NAMED_ITEM,삐삐인형,삐삐인형,삐삐인형,우연히 만난 야생 포켓몬에게서<NEXT>반드시 도망칠 수 있다,0x4661,poke-doll,Poké Doll,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
37,38,0x26,NAMED_ITEM,만병통치제,만병통치제,만병통치제,모든 상태 이상을<NEXT>회복시켜준다,0x4695,full-heal,Full Heal,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
38,39,0x27,NAMED_ITEM,기력의 조각,기력의조각,기력의조각,체력을 절반인 상태로<NEXT>기절상태에서 회복시켜준다,0x46B3,revive,Revive,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
