release_a,release_b,common_bytes,equal_bytes,common_prefix_similarity,common_bank_count,identical_same_index_banks
JP-JA-HV0,US-EU-EN-HV0,524288,228860,0.436515808,32,1
JP-JA-HV0,EU-DE-HV0,524288,215477,0.410989761,32,1
JP-JA-HV0,EU-FR-HV0,524288,215391,0.410825729,32,1
JP-JA-HV0,EU-IT-HV0,524288,216252,0.412467957,32,1
JP-JA-HV0,EU-ES-HV0,524288,228693,0.436197281,32,1
US-EU-EN-HV0,EU-DE-HV0,1048576,765525,0.730061531,64,20
US-EU-EN-HV0,EU-FR-HV0,1048576,768352,0.732757568,64,20
US-EU-EN-HV0,EU-IT-HV0,1048576,777984,0.741943359,64,20
US-EU-EN-HV0,EU-ES-HV0,1048576,783441,0.747147560,64,20
EU-DE-HV0,EU-FR-HV0,1048576,772802,0.737001419,64,20
EU-DE-HV0,EU-IT-HV0,1048576,768064,0.732482910,64,20
EU-DE-HV0,EU-ES-HV0,1048576,768404,0.732807159,64,20
EU-FR-HV0,EU-IT-HV0,1048576,778412,0.742351532,64,20
EU-FR-HV0,EU-ES-HV0,1048576,774549,0.738667488,64,20
EU-IT-HV0,EU-ES-HV0,1048576,784516,0.748172760,64,20
