generation,game_id,platform_id,package_kind,release_id,technical_id,market,language,header_version,preservation_label,dump_id,size_bytes,sha1,cgb_flag,sgb_flag,canonical_library_path,project_role
GEN-01,BLUE,GB,CART,JP-JA-HV0,,JP,ja,0,Rev 0,USER-UPLOAD-0da501e3,524288,0da501e3e5c51ab8fef55b092dcdd7e6b050e424,0x00,0x03,LIBRARY/GEN-01/BLUE/SOURCE/GB/CART/JP-JA-HV0,translation_source
GEN-01,BLUE,GB,CART,US-EU-EN-HV0,,US-EU,en,0,Rev 0,USER-UPLOAD-d7037c83,1048576,d7037c83e1ae5b39bde3c30787637ba1d4c48ce2,0x00,0x03,LIBRARY/GEN-01/BLUE/SOURCE/GB/CART/US-EU-EN-HV0,translation_source
GEN-01,GREEN,GB,CART,JP-JA-HV0,,JP,ja,0,Rev 0,USER-UPLOAD-82c0eef4,524288,82c0eef40a5e2423699d9fd8ba15dfaa8b51d196,0x00,0x03,LIBRARY/GEN-01/GREEN/SOURCE/GB/CART/JP-JA-HV0,translation_source
GEN-01,GREEN,GB,CART,JP-JA-HV1,,JP,ja,1,Rev A,USER-UPLOAD-4b97cd44,524288,4b97cd44aa3f0dd290bfe7b3ac17b7bd8270897b,0x00,0x03,LIBRARY/GEN-01/GREEN/SOURCE/GB/CART/JP-JA-HV1,translation_source
GEN-01,RED,GB,CART,JP-JA-HV0,,JP,ja,0,Rev 0,USER-UPLOAD-0623ad12,524288,0623ad12f48c259447980d68bd85ddbf8204b2cd,0x00,0x03,LIBRARY/GEN-01/RED/SOURCE/GB/CART/JP-JA-HV0,translation_source
GEN-01,RED,GB,CART,JP-JA-HV1,,JP,ja,1,Rev A,USER-UPLOAD-ef74c79c,524288,ef74c79cded14204ac79e77f4964d9cb25003120,0x00,0x03,LIBRARY/GEN-01/RED/SOURCE/GB/CART/JP-JA-HV1,translation_source
GEN-01,RED,GB,CART,US-EU-EN-HV0,,US-EU,en,0,Rev 0,USER-UPLOAD-ea9bcae6,1048576,ea9bcae617fdf159b045185467ae58b2e4a48b9a,0x00,0x03,LIBRARY/GEN-01/RED/SOURCE/GB/CART/US-EU-EN-HV0,translation_source
GEN-01,YELLOW,GB,CART,JP-JA-HV0,,JP,ja,0,Rev 0A,USER-UPLOAD-1fb6c264,1048576,1fb6c264e950d97ce3fd99b347e485b2150df4ff,0x00,0x03,LIBRARY/GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV0,translation_source
GEN-01,YELLOW,GB,CART,JP-JA-HV1,,JP,ja,1,Rev B,USER-UPLOAD-28e4b853,1048576,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,0x00,0x03,LIBRARY/GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV1,translation_source
GEN-01,YELLOW,GB,CART,JP-JA-HV2,,JP,ja,2,Rev C,USER-UPLOAD-91864ecd,1048576,91864ecdf26d1c593bde4d9ed615520eb57d5e41,0x00,0x03,LIBRARY/GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV2,translation_source
