game,dataset,rows
diamond,personal,501
heartgold,personal,508
pearl,personal,501
platinum,personal,508
soulsilver,personal,508
diamond,active_evolutions,246
heartgold,active_evolutions,246
pearl,active_evolutions,246
platinum,active_evolutions,246
soulsilver,active_evolutions,246
diamond,levelup_entries,6597
heartgold,levelup_entries,6764
pearl,levelup_entries,6597
platinum,levelup_entries,6753
soulsilver,levelup_entries,6764
diamond,moves,471
heartgold,moves,471
pearl,moves,471
platinum,moves,471
soulsilver,moves,471
diamond,items,442
heartgold,items,514
pearl,items,442
platinum,items,446
soulsilver,items,514
diamond,trainer_headers,850
heartgold,trainer_headers,738
pearl,trainer_headers,850
platinum,trainer_headers,928
soulsilver,trainer_headers,738
diamond,trainer_party_mons,1585
heartgold,trainer_party_mons,1776
pearl,trainer_party_mons,1585
platinum,trainer_party_mons,1878
soulsilver,trainer_party_mons,1776
diamond,wild_rows,23058
heartgold,wild_rows,18744
pearl,wild_rows,23058
platinum,wild_rows,11529
soulsilver,wild_rows,18744
