species_id,species,form_id,form,scope,persistence,trigger,personal_override,learnset_override,sprite_variant,notes
201,UNOWN,0,A,gen2-gen3,persistent,personality-derived,no,no,yes,Generation III resolves form from personality
201,UNOWN,1,B,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,2,C,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,3,D,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,4,E,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,5,F,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,6,G,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,7,H,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,8,I,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,9,J,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,10,K,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,11,L,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,12,M,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,13,N,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,14,O,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,15,P,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,16,Q,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,17,R,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,18,S,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,19,T,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,20,U,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,21,V,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,22,W,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,23,X,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,24,Y,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,25,Z,gen2-gen3,persistent,personality-derived,no,no,yes,
201,UNOWN,26,EXCLAMATION,gen3,persistent,personality-derived,no,no,yes,Added in Generation III
201,UNOWN,27,QUESTION,gen3,persistent,personality-derived,no,no,yes,Added in Generation III
351,CASTFORM,0,NORMAL,gen3,base/outside-battle,clear-or-nontrigger-weather,type/ability-base,no,yes,Normal type outside battle
351,CASTFORM,1,SUNNY,gen3,battle-only,harsh-sunlight,type-fire,no,yes,Forecast transformation
351,CASTFORM,2,RAINY,gen3,battle-only,rain,type-water,no,yes,Forecast transformation
351,CASTFORM,3,SNOWY,gen3,battle-only,hail,type-ice,no,yes,Forecast transformation
386,DEOXYS,0,NORMAL,gen3,persistent,explicit-form,yes,yes,yes,Ruby/Sapphire-style form data
386,DEOXYS,1,ATTACK,gen3,persistent,explicit-form,yes,yes,yes,FireRed-style form data
386,DEOXYS,2,DEFENSE,gen3,persistent,explicit-form,yes,yes,yes,LeafGreen-style form data
386,DEOXYS,3,SPEED,gen3,persistent,explicit-form,yes,yes,yes,Emerald-style form data
