category,count_or_size,bank,start_cpu,end_cpu_exclusive,revision_status,notes
MapIDSlots,248,,, ,semantic_equal,"226 parsed slots + 22 explicit UNUSED_MAP slots"
ParsedMapResources,223,,, ,semantic_equal,"226 parsed map slots collapse to 223 unique header/object resources"
MapConnections,78,,, ,semantic_equal,"slot-expanded connection records"
MapWarps,813,,, ,semantic_equal,"slot-expanded warp records"
MapBGEvents,204,,, ,semantic_equal,"background/sign event records"
MapObjectEvents,924,,, ,semantic_equal,"472 normal + 106 item + 334 trainer + 12 static battle Pokémon"
WildData,1756,03,4F61,563D,byte_identical,"59 unique resources; 55 grass maps; 3 water maps; 580 encounter rows"
MoveNames,1049,04,4000,4419,byte_identical,"165 move names"
MewBaseStats,28,01,4200,421C,byte_identical,"Mew is stored separately from BaseStats 1-150"
ItemPrices,291,01,421C,433F,byte_identical,"price table region"
ItemNames,694,01,433F,45F5,byte_identical,"97 0x50-terminated strings in this region"
BaseStats1To150,4200,0E,4000,5068,byte_identical,"150 records × 28 bytes"
MonsterNames,950,0E,5068,541E,byte_identical,"190 internal slots × 5 bytes"
CryData,570,0E,541E,5658,byte_identical,"190 internal-index cry records"
Moves,990,0E,5658,5A36,byte_identical,"165 records × 6 bytes"
TrainerNames,323,0E,5D1C,5E5F,byte_identical,"47 trainer classes"
TrainerData,2035,0E,60AC,689F,byte_identical,"47 class pointers; 415 class-party records; 334 map trainer refs validated"
EvosMoves,2448,0E,7427,7DB7,byte_identical,"190 internal slots; 72 evolution rows; 728 level-up move rows"
PokedexEntryPointers,380,10,445E,45DA,byte_identical,"190 internal-index pointers; 152 unique targets including MissingNo entry"
PokedexEntriesData,8640,10,45DA,679A,byte_identical,"full Japanese Pokédex entry data"
PokedexOrder,190,10,679A,6858,byte_identical,"190 internal-index to Pokédex mapping; 151 real species + 39 MissingNo slots"
