table,bank_hex,start_cpu_hex,end_cpu_exclusive_hex,size_bytes,byte_identical,different_bytes,rev0_sha256,reva_sha256
MoveNames,04,4000,4419,1049,True,0,a85d3ed6700cea19ff7b28d539c167712bad60f7dc5ea0e173d8fded73b045fb,a85d3ed6700cea19ff7b28d539c167712bad60f7dc5ea0e173d8fded73b045fb
BaseStats_1_150,0E,4000,5068,4200,True,0,1b3c1ee658e3d2d5abcafe00c2338895ba79436929686778c9fca7a934dc5e2f,1b3c1ee658e3d2d5abcafe00c2338895ba79436929686778c9fca7a934dc5e2f
MonsterNames,0E,5068,541E,950,True,0,822b26174a09592c08f3284ccd260538ccf077ef9ab03acd7b5853c33435a153,822b26174a09592c08f3284ccd260538ccf077ef9ab03acd7b5853c33435a153
CryData,0E,541E,5658,570,True,0,62329ff48c608b529e0c031ab215662a6975c2ff00835713ddd38d2af6b47562,62329ff48c608b529e0c031ab215662a6975c2ff00835713ddd38d2af6b47562
Moves,0E,5658,5A36,990,True,0,766c1dd686627e6e7493817428c40578231b7757fb73737db510aa49304d514e,766c1dd686627e6e7493817428c40578231b7757fb73737db510aa49304d514e
TrainerNames,0E,5D1C,5E5F,323,True,0,68e08eb1c0f997dc1bab2b3050dc564b326a4f6e83b8cfbb05e52e4451163aa7,68e08eb1c0f997dc1bab2b3050dc564b326a4f6e83b8cfbb05e52e4451163aa7
TrainerData,0E,60AC,689F,2035,True,0,8d9a89b1dce32cbf1276040e475a6d93d18105ed32371f9dea2e381fb5990f26,8d9a89b1dce32cbf1276040e475a6d93d18105ed32371f9dea2e381fb5990f26
EvosMovesPointerAndData,0E,7427,7DB7,2448,True,0,151e28972ad757ce3c17b45e25a65672238c2d2f7a2d3e013f553a8f4167cd66,151e28972ad757ce3c17b45e25a65672238c2d2f7a2d3e013f553a8f4167cd66
PokedexEntryPointers,10,445E,45DA,380,True,0,ddf26fe5147eb3cf97130652a388eb3a61bf69013967eecb910bcaebc5df0c06,ddf26fe5147eb3cf97130652a388eb3a61bf69013967eecb910bcaebc5df0c06
PokedexEntriesData,10,45DA,679A,8640,True,0,9b7a8311d2954001e015f63b3deb0e28c5fc6de4de77c8afc35b09239114e4ea,9b7a8311d2954001e015f63b3deb0e28c5fc6de4de77c8afc35b09239114e4ea
PokedexOrder,10,679A,6858,190,True,0,878d381c0c488f05629c90f4bfbf046c6c029779adfa98f81f78aa9cb62246c6,878d381c0c488f05629c90f4bfbf046c6c029779adfa98f81f78aa9cb62246c6
MewBaseStats,01,4200,421C,28,True,0,81d9d6229c063ffd7dc02b386496ee93ed3beedad6b26c7523e96e20639a18c2,81d9d6229c063ffd7dc02b386496ee93ed3beedad6b26c7523e96e20639a18c2
ItemPrices,01,421C,433F,291,True,0,f4b9632dba1ef238d6148a4caa62d0990c65f6833079b993eea151d43cdfc213,f4b9632dba1ef238d6148a4caa62d0990c65f6833079b993eea151d43cdfc213
ItemNames,01,433F,45F5,694,True,0,7bbe306f112a497d3cef08444f4c208316122b80c1941799139c9c8855e22f42,7bbe306f112a497d3cef08444f4c208316122b80c1941799139c9c8855e22f42
WildDataPointersAndData,03,4F61,563D,1756,True,0,1b259b6f2f1c4cf6eb0af850068aaad25f0911f7eb7308a553ff4a1c7981b8dc,1b259b6f2f1c4cf6eb0af850068aaad25f0911f7eb7308a553ff4a1c7981b8dc
