bank_hex,start_hex,end_hex,rev0_entropy,reva_entropy,different_bytes,different_percent,byte_identical
00,000000,003FFF,7.148893,7.153624,13109,80.010986,False
01,004000,007FFF,7.254003,7.255463,11803,72.039795,False
02,008000,00BFFF,6.978919,6.977057,18,0.109863,False
03,00C000,00FFFF,7.349282,7.354959,366,2.233887,False
04,010000,013FFF,6.778047,6.780313,233,1.422119,False
05,014000,017FFF,6.302340,6.298147,83,0.506592,False
06,018000,01BFFF,7.250023,7.241052,348,2.124023,False
07,01C000,01FFFF,7.184923,7.174936,560,3.417969,False
08,020000,023FFF,7.059168,7.060186,60,0.366211,False
09,024000,027FFF,7.808880,7.807699,519,3.167725,False
0A,028000,02BFFF,7.840146,7.840425,14,0.085449,False
0B,02C000,02FFFF,7.836844,7.836648,13,0.079346,False
0C,030000,033FFF,7.819980,7.819104,32,0.195312,False
0D,034000,037FFF,7.803008,7.804546,65,0.396729,False
0E,038000,03BFFF,7.145405,7.145709,79,0.482178,False
0F,03C000,03FFFF,7.080828,7.065423,15403,94.012451,False
10,040000,043FFF,6.969505,6.965785,135,0.823975,False
11,044000,047FFF,7.196892,7.189089,307,1.873779,False
12,048000,04BFFF,7.127930,7.116142,406,2.478027,False
13,04C000,04FFFF,7.835871,7.835600,36,0.219727,False
14,050000,053FFF,7.294475,7.280832,379,2.313232,False
15,054000,057FFF,7.139841,7.131844,313,1.910400,False
16,058000,05BFFF,7.160632,7.151137,330,2.014160,False
17,05C000,05FFFF,7.101634,7.093362,397,2.423096,False
18,060000,063FFF,7.049474,7.033718,359,2.191162,False
19,064000,067FFF,6.508050,6.504074,32,0.195312,False
1A,068000,06BFFF,6.371074,6.370778,2,0.012207,False
1B,06C000,06FFFF,6.201428,6.201428,0,0.000000,True
1C,070000,073FFF,6.873593,6.879579,203,1.239014,False
1D,074000,077FFF,7.091263,7.083362,425,2.593994,False
1E,078000,07BFFF,6.782914,6.785580,132,0.805664,False
1F,07C000,07FFFF,7.072184,7.071512,7,0.042725,False
