rom,bank_dec,bank_hex,file_start,file_end,role,sha1,entropy,zero_bytes,ff_bytes,trailing_00,trailing_ff,longest_00_start,longest_00_len,longest_ff_start,longest_ff_len,same_position_vs_EN_pct,western_all5_same_pct,EN_source_free_bytes
DE_BLUE,20,14,050000,053FFF,maps 10 + battle engine 8 + hidden events 2,3b5236d795ea7eab8ae071d7f567494c262da8c8,5.551679,5703,161,5572,0,2A3C,5572,0030,2,63.580322,61.444092,
DE_BLUE,21,15,054000,057FFF,maps 11-12 + battle engine 9 + diploma + trainer sight,3bb0531992f733b08124257f0b8b93e7a37ae1a8,5.470647,5673,127,5546,0,2A56,5546,0047,2,90.197754,89.569092,
DE_BLUE,22,16,058000,05BFFF,maps 13-14 + battle engine 10 + Saffron guards,879fc683ef7a916c1ab483d374974ddf99a3b1ef,5.101023,6833,126,6726,0,25BA,6726,06F5,2,94.482422,93.933105,
DE_BLUE,23,17,05C000,05FFFF,maps 15-16 + starter dex + hidden events 3,f7602050d047cc1047f13cdc3674ca1b00f315e6,4.332972,8603,187,8432,0,1F10,8432,02E2,2,79.711914,56.573486,
DE_BLUE,24,18,060000,063FFF,maps 17-18 + Cinnabar lab + hidden events 4,52158744bc34ba52340d80a8e73cd8bbf4b9e0b0,4.829317,7032,183,6870,0,252A,6870,046B,2,95.001221,94.366455,
DE_BLUE,25,19,064000,067FFF,tilesets 1,8fbb2bb1aa3b27c23958bdd898a0c460a8cab9ff,6.498064,1531,1591,32,0,3FE0,32,2BD0,17,99.841309,99.768066,
DE_BLUE,26,1A,068000,06BFFF,battle engine 11 + version gfx + tilesets 2,3619d0a56b9160b2ff0c7021f41a59e207bd1979,6.372272,1042,1294,1,0,0077,24,352F,18,19.079590,8.038330,
DE_BLUE,27,1B,06C000,06FFFF,tilesets 3,682b94550690d2e4c4103fe93753ed74ab38fc72,6.201428,1420,1810,0,0,2840,80,3E60,19,100.000000,100.000000,
DE_BLUE,28,1C,070000,073FFF,splash/Hall of Fame/healing/player anims/transitions/map/icons/trades/palettes/save,1cacbc73a93cfb7c3a3bf75498fb1ec73879faa6,6.438592,3489,350,1162,0,3B76,1162,0A55,16,20.324707,12.109375,
DE_BLUE,29,1D,074000,077FFF,maps 19-21 + itemfinder + vending + hidden items,99f3e0ffd2db73a7e4f7177ad8993c438a89add3,5.465761,6090,204,5940,0,28CC,5940,0801,8,40.808105,39.379883,
DE_BLUE,30,1E,078000,07BFFF,battle animations + overworld effects + evolution + TM prices,edf59ac262acb51911941e8aec3d003b019b402a,6.783520,2253,599,64,0,3FC0,64,0B1E,16,98.297119,98.046875,
DE_BLUE,31,1F,07C000,07FFFF,audio headers + SFX + audio engine 3 + music 3,57de79a8f970180a9591d22bfbf89069923e9e3b,7.065391,409,286,6,0,3FFA,6,0000,3,99.993896,99.981689,
DE_BLUE,32,20,080000,083FFF,Text 1,454d36e4265a95f5e8deeea5a112b1403d2bc4a5,4.949842,2966,6,2688,0,3580,2688,0210,1,19.311523,16.601562,
DE_BLUE,33,21,084000,087FFF,Text 2,5936c9b04d3bf372af7421f90993bee0e795fc3c,4.966988,2715,1,2510,0,3632,2510,112C,1,18.426514,15.472412,
DE_BLUE,34,22,088000,08BFFF,Text 3,bfd69463d3c7fbcbc4115829e9b5cc9d73c86af7,5.136988,2796,3,2435,0,367D,2435,1918,1,17.529297,15.002441,
DE_BLUE,35,23,08C000,08FFFF,Text 4,90e2fcc228fe88a6032d29bf9c426793cf7025a3,4.965694,2748,3,2477,0,3653,2477,0ABA,1,18.218994,15.441895,
DE_BLUE,36,24,090000,093FFF,Text 5,f8cb1bca47d2b380ed59c203c9dd93825fb737d1,4.928426,2952,1,2640,0,35B0,2640,24FD,1,18.927002,16.302490,
DE_BLUE,37,25,094000,097FFF,Text 6,e992207ee0fb9cf49f18fefff2a4a2ee9a3f74eb,4.912399,3302,4,3040,0,3420,3040,1D1E,1,21.374512,18.701172,
DE_BLUE,38,26,098000,09BFFF,Text 7,92cd815779dd5665b4de6b0a86215caeec85317f,4.946927,2986,0,2800,0,3510,2800,0000,0,19.671631,17.181396,
DE_BLUE,39,27,09C000,09FFFF,Text 8,c08490f6c39037989fb65a0dea3650593d147599,4.843435,3869,2,3657,0,31B7,3657,0F1A,1,25.152588,22.393799,
DE_BLUE,40,28,0A0000,0A3FFF,Text 9,fc27300abf2b5ebcff1dedd587c9b86b1712c1c6,4.851002,3624,3,3399,0,32B9,3399,2CD6,1,23.602295,20.861816,
DE_BLUE,41,29,0A4000,0A7FFF,Text 10,9110b2bf2c2ed85950f2d12ce9a1aa7c7f6629b5,4.982639,3467,0,3230,0,3362,3230,0000,0,22.467041,19.897461,
DE_BLUE,42,2A,0A8000,0ABFFF,Text 11,77927e1373573c7a3c42297041e3831ba8ee23c0,0.579582,15488,0,15440,0,03B0,15440,0000,0,94.476318,94.274902,
DE_BLUE,43,2B,0AC000,0AFFFF,Pokédex text,224192055130a93a91441238ae9743cb978e2072,4.707008,2640,0,2489,0,3647,2489,0000,0,16.186523,12.200928,
DE_BLUE,44,2C,0B0000,0B3FFF,move names,40e9f75c9fd1ccd90ca7dee64983b4b05f6bdb0b,0.919953,14703,0,14703,0,0691,14703,0000,0,90.295410,89.538574,
DE_BLUE,45,2D,0B4000,0B7FFF,physical blank bank (outside linked 0x00-0x2C content),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,16384,0,16384,0,0000,16384,0000,0,100.000000,100.000000,
DE_BLUE,46,2E,0B8000,0BBFFF,physical blank bank (outside linked 0x00-0x2C content),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,16384,0,16384,0,0000,16384,0000,0,100.000000,100.000000,
DE_BLUE,47,2F,0BC000,0BFFFF,physical blank bank (outside linked 0x00-0x2C content),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,16384,0,16384,0,0000,16384,0000,0,100.000000,100.000000,
DE_BLUE,48,30,0C0000,0C3FFF,physical blank bank (outside linked 0x00-0x2C content),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,16384,0,16384,0,0000,16384,0000,0,100.000000,100.000000,
DE_BLUE,49,31,0C4000,0C7FFF,physical blank bank (outside linked 0x00-0x2C content),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,16384,0,16384,0,0000,16384,0000,0,100.000000,100.000000,
DE_BLUE,50,32,0C8000,0CBFFF,physical blank bank (outside linked 0x00-0x2C content),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,16384,0,16384,0,0000,16384,0000,0,100.000000,100.000000,
DE_BLUE,51,33,0CC000,0CFFFF,physical blank bank (outside linked 0x00-0x2C content),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,16384,0,16384,0,0000,16384,0000,0,100.000000,100.000000,
