path,members,member_min,member_max,category,role,confidence,bw_relation
a/0/0/2,288,20,252092,TEXT,system/message text archive,confirmed,identical
a/0/0/3,472,32,160444,TEXT,story/field text archive,confirmed,identical
a/0/1/6,669,56,1300,POKEMON_DATA,personal Pokemon parameters,confirmed,identical
a/0/1/7,8,404,404,POKEMON_DATA,experience/growth tables,confirmed,identical
a/0/1/8,668,4,92,POKEMON_DATA,level-up learnsets,confirmed,identical
a/0/1/9,668,42,42,POKEMON_DATA,evolution data,confirmed,identical
a/0/2/0,650,2,2,POKEMON_DATA,baby/base-species table,confirmed,identical
a/0/2/1,560,36,36,MOVE_DATA,move parameter data,confirmed,identical
a/0/2/4,627,36,36,ITEM_DATA,item parameter data,high,identical
a/0/5/7,899,4,33176,SCRIPT_EVENT,field scripts/map event scripts,high,identical
a/0/9/2,616,16,20,TRAINER_DATA,trainer data (trdata),confirmed,identical
a/0/9/3,616,6,108,TRAINER_DATA,trainer party/Pokemon data (trpoke),confirmed,identical
a/1/2/3,650,0,34,POKEMON_DATA,egg move data,high,identical
a/1/2/5,428,4,2178,MAP_FIELD,overworld/map event-object data,confirmed,identical
a/1/2/6,112,232,928,ENCOUNTER_DATA,wild encounter data,confirmed,different
a/1/7/8,649,249,249,POKEDEX,per-species Pokedex availability/location matrix candidate,high_inferred,different
