bank,role_reference,sha1,entropy,unique_bytes,zero_fraction,ff_fraction,nonzero_bytes,trailing_zero_run,trailing_ff_run,all_zero,all_ff
00,Header/Home/RST/interrupts,4f67b272f43a254d14fa1b1075a78167ab06ef49,6.983864,256,0.053406,0.006409,15509,241,0,False,False
01,Core engine/menu/items,212bd810bad771ceee1594f4a40398a3bb478ffc,6.878837,256,0.107849,0.006348,14617,97,0,False,False
02,Palette/player/math/predef,6be8ea3735967f451b22c8873b045987e3fb1e0f,6.569506,255,0.178833,0.036316,13454,1088,0,False,False
03,Events/items/pokemon core,6ec78e87709a83e5efa8cbbde96d5ecf4a880b90,7.152923,255,0.034729,0.008057,15815,91,0,False,False
04,Movement/menus/naming/events,c078c8987b3a3a4b91e3a100955bd8f4554a3336,7.037864,256,0.055542,0.047974,15474,172,0,False,False
05,RTC/overworld/save/marts/breeding,3ff07858c0244debbae87d98a021aa66f7958b7f,7.204842,256,0.039978,0.019653,15729,12,0,False,False
06,Tileset Data 1,7e43b51861f80dc7afd4f782a25d5a90ba081e41,6.492214,256,0.084595,0.021423,14998,176,0,False,False
07,Roofs/Tileset Data 2/Extra Songs 1,7b2557388a9e108b8717a6ab7b7f9c88c2772ce4,6.566044,256,0.099670,0.053284,14751,67,0,False,False
08,Clock Reset/Tileset Data 3/Catch Tutorial/Egg Moves,562adc9641a469ececcce8b7c8428e31ce424bff,6.583655,256,0.122375,0.077881,14379,186,0,False,False
09,Menus/text buffers/battle menu,d172cdf87152819be1f54376ddff20b66ae3cfd6,7.169569,256,0.069580,0.022278,15244,207,0,False,False
0A,Link/Mystery Gift/Wildmons,136b2c27bc87a4fc1ee0ee1dbfbfd8b6fee64328,7.085370,252,0.034607,0.006775,15817,55,0,False,False
0B,Item/move descriptions/trainers,ba8e52ac8a6737369900cc6b8515805e89887aa2,6.765025,254,0.060913,0.001038,15386,914,0,False,False
0C,Tileset Data 4,dcf5777c6f8295847a8ff24f2512aa4376d83152,6.468876,256,0.136597,0.048096,14146,639,0,False,False
