bank,role_reference,sha1,entropy,unique_bytes,zero_fraction,ff_fraction,nonzero_bytes,trailing_zero_run,trailing_ff_run,all_zero,all_ff
00,Header/Home/RST/interrupts,f8fc41c03e5260dfb9a0d9c17f116020608ab5d5,7.034380,256,0.040222,0.006775,15725,18,0,False,False
01,Core engine/menu/items,57e44baaa8f0f65afc5f11436130f993def8d4c7,5.951625,256,0.267334,0.005737,12004,2738,0,False,False
02,Palette/player/math/predef,d49328675fc8da517c2cc06f36081582164c7be1,6.599131,255,0.171997,0.035950,13566,966,0,False,False
03,Events/items/pokemon core,2af27f19417bc69e43798ac2501e56e0023cfe68,6.817640,255,0.112915,0.005066,14534,1474,0,False,False
04,Movement/menus/naming/events,73d2950c2bf57631cd279d8e8c2b398aba520ecd,6.911891,256,0.074707,0.063171,15160,509,0,False,False
05,RTC/overworld/save/marts/breeding,4a2f3c87463e9795ecac5d27e183c6a7561069e7,6.678768,256,0.153748,0.018982,13865,1986,0,False,False
06,Tileset Data 1,1e38b00b19e1e675873db9c3db7e772e457474fa,6.258941,254,0.118164,0.032043,14448,580,0,False,False
07,Roofs/Tileset Data 2/Extra Songs 1,a29d9a3e5ab101a95042f977fb294ee0420a9785,6.565657,256,0.099731,0.053284,14750,67,0,False,False
08,Clock Reset/Tileset Data 3/Catch Tutorial/Egg Moves,7495a08bba3f295eb211f90b43ebeee22cf9b90b,6.552334,256,0.133911,0.074219,14190,451,0,False,False
09,Menus/text buffers/battle menu,0f44e221cc9041147d2b832e106ea4ddfddc4778,6.781889,256,0.154846,0.022339,13847,1069,0,False,False
0A,Link/Mystery Gift/Wildmons,03f2021d9fb7abba8dbb36347d568d97a3a0a5aa,7.038947,254,0.047424,0.007935,15607,285,0,False,False
0B,Descriptions/trainers/TMHM/Pokerus,7a90504742e7139660307cfbe1365b740c315d38,1.701227,236,0.844604,0.000549,2546,13775,0,False,False
0C,Tileset Data 4,dcf5777c6f8295847a8ff24f2512aa4376d83152,6.468876,256,0.136597,0.048096,14146,639,0,False,False
0D,Effect Commands,1bb9d6327980d28823fa4b0f24be7bcf90bbb8c1,6.863868,255,0.014771,0.005188,16142,96,0,False,False
0E,Enemy Trainers,746c758bb7155b26fc5be1cb30a9994c666682d3,6.571241,256,0.187622,0.032043,13310,2427,0,False,False
0F,Battle Core,e84ba98c23978991f8504948b172412d6640eab6,7.019096,256,0.038147,0.007263,15759,357,0,False,False
10,Pokedex/moves/evolution,c4d8fbaf7081bf8a2d892437aa4a7f05b82f51ff,7.111612,256,0.101257,0.024353,14725,425,0,False,False
11,AI/Pokedex2/events,6092db64bfc08204f54fafb6099721200530c1f6,1.777466,243,0.840271,0.000427,2617,13662,0,False,False
12,Pic pointers/Pics 1,f542e6575f664d854951007d20e8bad866dfb059,7.215595,256,0.036316,0.051636,15789,0,1,False,False
13,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
14,Party/base stats/names/pics loader,50ab49a929707a012b2fbee64bd0ca05a0b6a773,6.551447,256,0.206787,0.005920,12996,1259,0,False,False
15,Pics 2,030a1e5e59c170150c9e53c0bb69544d7c843a9e,7.057159,256,0.041565,0.059021,15703,0,1,False,False
16,Pics 3,93154455f05ab8f9b1e120cf59879f3ec8f39346,7.022613,256,0.048279,0.052307,15593,48,0,False,False
17,Pics 4,4775f87270761532488936ae4f373b32867677df,6.987928,256,0.047729,0.057129,15602,0,1,False,False
18,Pics 5,e7cdd41337906bffc46e0b0aadc4d4388ecd382e,6.879397,256,0.061584,0.064331,15375,81,0,False,False
19,Pics 6,1fbdea21338738562567cfb197ed74109bf4fbcb,6.894603,256,0.054443,0.062683,15492,77,0,False,False
1A,Pics 7,e722488ad939479804d3a5f0d9d3f317f3de1258,6.929319,256,0.047180,0.058716,15611,4,0,False,False
1B,Pics 8,caafbea2bbe56bf62f6e22288601abee5b4e2fa2,6.927746,256,0.051086,0.058777,15547,0,1,False,False
1C,Pics 9,cbbe87b9244aa1d6ac7f7a1073a7415c1d1f6a29,6.902482,256,0.049744,0.062683,15569,1,0,False,False
1D,Pics 10,c6f4725b609098b6d8948c6a200fedf628096a65,6.855142,256,0.053955,0.057129,15500,79,0,False,False
1E,Pics 11,b2f4134fa509d9e5855b7a9f50a08d3ec645ba2e,6.838063,256,0.056519,0.062012,15458,0,1,False,False
1F,Unown pic pointers/Pics 12,3ba2831e2e8005ebdc561c0e00691eb2aecaac1f,7.093543,256,0.043274,0.052307,15675,1,0,False,False
20,Trainer pic pointers/Pics 13,181875d6406e61a1f42630decfd8893e53e483b9,7.026915,256,0.043823,0.057861,15666,64,0,False,False
21,Printer/Battle anim GFX/Hall of Fame/Credits,943b8fd1a27805026f3040700d805376a74b4f60,6.451596,256,0.167358,0.078369,13642,1027,0,False,False
22,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
23,"Save/phone tilemap, field moves, sprite anims, icons",44896c2bf0abe3f47d3d789cb23f808045df7b72,6.763861,256,0.140320,0.014954,14085,445,0,False,False
24,Phone/RTC/Pokegear/landmarks/slot machine,6a32ff1c09033e14c70e2acaffc3f61c9eb833a7,7.203712,256,0.045105,0.015320,15645,122,0,False,False
25,Maps/Events,2647f6d78bfd15f580639bf974c4b8368722080c,6.889072,256,0.094055,0.001953,14843,618,0,False,False
26,Title Screen,208a194c25998894b59f9ad1896889aa7f15f0c5,1.345816,232,0.876526,0.008423,2023,14249,0,False,False
27,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
28,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
29,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
2A,Map Blocks 1,ab92aa28bb7fa3a0daf96b184a25270814eeedd6,5.808409,128,0.005188,0.000000,16299,85,0,False,False
2B,Map Blocks 2,0b18ffd50dd2d67d531be687004fcd1985fba5ae,5.739295,124,0.010132,0.000000,16218,166,0,False,False
2C,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
2D,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
2E,Pics 14/bank2E,80780fb2dc8e2ee0e27b0c998bdb170f21cce4e6,6.072242,256,0.254211,0.033264,12219,1278,0,False,False
2F,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
30,Sprites 1,8655cd6b958c5d53da5dc7aed0aae9e6eb09b731,6.082367,209,0.045654,0.008972,15636,64,0,False,False
31,Sprites 2/bank31,cc1aa66ac61e45b0e2443cdcc85628288391c837,5.929275,255,0.184265,0.010254,13365,802,0,False,False
32,Battle anim BG/The End,bd596d4c32f298851f1abb228956e3ca26169cbc,6.486578,256,0.123962,0.022522,14353,582,0,False,False
33,Move Animations/Extra Songs 2,eea73c8af7871c41b0a988d10d511e9b583d1a84,6.507142,255,0.135559,0.009338,14163,439,0,False,False
34,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
35,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
36,Font Inversed,a31cc62531d1c0257feb9a939cb0849b302d2c31,0.596510,79,0.937500,0.024475,1024,15360,0,False,False
37,Map Blocks 3/Tileset Data 5,fd4efbe19c7c2b8f26537b555877b535c64b3dda,6.494348,255,0.101501,0.029480,14721,366,0,False,False
38,Diploma/minigames/Bills PC,da389b4cfd4d0c3199300bf23a80d42e947db3bc,7.107542,256,0.061951,0.033447,15369,140,0,False,False
39,Copyright/Title Screen 2,2fa58e5ea38d4c5284be5e159ef7bea023b0ad2b,6.442413,256,0.206482,0.046509,13001,2440,0,False,False
3A,Audio/Songs 1,af7a8232de8afa719b50d3ee670e35439c677e45,6.998158,255,0.034607,0.010437,15817,73,0,False,False
3B,Songs 2,0817a94053fbd6b83cd3640b2286817814f3346c,6.374539,247,0.075989,0.007812,15139,267,0,False,False
3C,Songs 3/SFX/Cries,5d36c19cdbe4ed8014d67d2a43e981ac5f7ab136,6.699448,256,0.100830,0.034912,14732,138,0,False,False
3D,Songs 4,bd5b998ef17a222cf209971ec62df27223e0607f,6.525259,247,0.067383,0.009094,15280,269,0,False,False
3E,Font/collision/time capsule/etc,52ad0e2e3b4ae73dd68c55aabce7e4e124ba46ec,5.313847,256,0.120544,0.278809,14409,109,0,False,False
3F,Debug dummy/tileset anims/NPC trade/etc,3cfa866f88f90d96fa775f887b19284ce4800393,4.088318,256,0.562805,0.035522,7163,8672,0,False,False
40,Standard Scripts,ad7433723298cf448690b0e2f5f391ce58f21dee,4.120404,229,0.489441,0.000183,8365,7651,0,False,False
41,Phone Scripts,a41e89b87153a5ac5acec46b91aebded00f688db,4.035390,223,0.508118,0.000061,8059,7859,0,False,False
42,Map Scripts 1,70fbec1cda5871c60ead92c811a617d82b642df1,3.695312,213,0.562500,0.008911,7168,8758,0,False,False
