bank_start	bank_end	rom_start	rom_end	unique_sha1_count	groups
0	156	0x00000000	0x009C0000	6	BPEJ-R0 | BPEE-R0 | BPED-R0 | BPEF-R0 | BPEI-R0 | BPES-R0
157	157	0x009D0000	0x009D0000	3	BPEJ-R0 | BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPED-R0
158	175	0x009E0000	0x00AF0000	2	BPEJ-R0 | BPEE-R0+BPED-R0+BPEF-R0+BPEI-R0+BPES-R0
176	184	0x00B00000	0x00B80000	1	BPEJ-R0+BPEE-R0+BPED-R0+BPEF-R0+BPEI-R0+BPES-R0
185	192	0x00B90000	0x00C00000	2	BPEJ-R0 | BPEE-R0+BPED-R0+BPEF-R0+BPEI-R0+BPES-R0
193	217	0x00C10000	0x00D90000	6	BPEJ-R0 | BPEE-R0 | BPED-R0 | BPEF-R0 | BPEI-R0 | BPES-R0
218	218	0x00DA0000	0x00DA0000	5	BPEJ-R0 | BPEE-R0 | BPED-R0+BPEI-R0 | BPEF-R0 | BPES-R0
219	222	0x00DB0000	0x00DE0000	6	BPEJ-R0 | BPEE-R0 | BPED-R0 | BPEF-R0 | BPEI-R0 | BPES-R0
223	223	0x00DF0000	0x00DF0000	2	BPEJ-R0 | BPEE-R0+BPED-R0+BPEF-R0+BPEI-R0+BPES-R0
224	226	0x00E00000	0x00E20000	1	BPEJ-R0+BPEE-R0+BPED-R0+BPEF-R0+BPEI-R0+BPES-R0
227	227	0x00E30000	0x00E30000	2	BPEJ-R0 | BPEE-R0+BPED-R0+BPEF-R0+BPEI-R0+BPES-R0
228	239	0x00E40000	0x00EF0000	1	BPEJ-R0+BPEE-R0+BPED-R0+BPEF-R0+BPEI-R0+BPES-R0
240	243	0x00F00000	0x00F30000	2	BPEJ-R0 | BPEE-R0+BPED-R0+BPEF-R0+BPEI-R0+BPES-R0
244	255	0x00F40000	0x00FF0000	1	BPEJ-R0+BPEE-R0+BPED-R0+BPEF-R0+BPEI-R0+BPES-R0
