game,language_region,game_code,category,nitro_path,members,size_bytes
DIAMOND,EN-US,ADAE,personal,poketool/personal/personal.narc,501,26104
DIAMOND,EN-US,ADAE,evo,poketool/personal/evo.narc,501,26104
DIAMOND,EN-US,ADAE,level_moves,poketool/personal/wotbl.narc,501,18752
DIAMOND,EN-US,ADAE,moves,poketool/waza/waza_tbl.narc,471,11356
DIAMOND,EN-US,ADAE,items,itemtool/itemdata/item_data.narc,442,19500
DIAMOND,EN-US,ADAE,item_icons,itemtool/itemdata/item_icon.narc,703,395440
DIAMOND,EN-US,ADAE,trainers,poketool/trainer/trdata.narc,850,23852
DIAMOND,EN-US,ADAE,trainer_party,poketool/trainer/trpoke.narc,850,21908
DIAMOND,EN-US,ADAE,poke_icons,poketool/icongra/poke_icon.narc,540,577776
DIAMOND,EN-US,ADAE,pokegra,poketool/pokegra/pokegra.narc,2964,11778676
DIAMOND,EN-US,ADAE,messages,msgdata/msg.narc,624,2695184
PEARL,EN-US,APAE,personal,poketool/personal_pearl/personal.narc,501,26104
PEARL,EN-US,APAE,evo,poketool/personal/evo.narc,501,26104
PEARL,EN-US,APAE,level_moves,poketool/personal/wotbl.narc,501,18752
PEARL,EN-US,APAE,moves,poketool/waza/waza_tbl.narc,471,11356
PEARL,EN-US,APAE,items,itemtool/itemdata/item_data.narc,442,19500
PEARL,EN-US,APAE,item_icons,itemtool/itemdata/item_icon.narc,703,395440
PEARL,EN-US,APAE,trainers,poketool/trainer/trdata.narc,850,23852
PEARL,EN-US,APAE,trainer_party,poketool/trainer/trpoke.narc,850,21908
PEARL,EN-US,APAE,poke_icons,poketool/icongra/poke_icon.narc,540,577776
PEARL,EN-US,APAE,pokegra,poketool/pokegra/pokegra.narc,2964,11778676
PEARL,EN-US,APAE,messages,msgdata/msg.narc,624,2695184
PLATINUM,KO-KR,CPUK,personal,poketool/personal/pl_personal.narc,508,26468
PLATINUM,KO-KR,CPUK,evo,poketool/personal/evo.narc,508,26468
PLATINUM,KO-KR,CPUK,level_moves,poketool/personal/wotbl.narc,508,19168
PLATINUM,KO-KR,CPUK,moves,poketool/waza/pl_waza_tbl.narc,471,11356
PLATINUM,KO-KR,CPUK,items,itemtool/itemdata/item_data.narc,442,19500
PLATINUM,KO-KR,CPUK,item_icons,itemtool/itemdata/item_icon.narc,711,399952
PLATINUM,KO-KR,CPUK,trainers,poketool/trainer/trdata.narc,928,26036
PLATINUM,KO-KR,CPUK,trainer_party,poketool/trainer/trpoke.narc,928,28600
PLATINUM,KO-KR,CPUK,poke_icons,poketool/icongra/pl_poke_icon.narc,547,585336
PLATINUM,KO-KR,CPUK,pokegra,poketool/pokegra/pl_pokegra.narc,2964,11778676
PLATINUM,KO-KR,CPUK,messages,msgdata/pl_msg.narc,714,2654348
HEARTGOLD,KO-KR,IPKK,personal,a/0/0/2,508,26468
HEARTGOLD,KO-KR,IPKK,evo,a/0/3/4,508,26468
HEARTGOLD,KO-KR,IPKK,level_moves,a/0/3/3,508,19196
HEARTGOLD,KO-KR,IPKK,moves,a/0/1/1,471,11356
HEARTGOLD,KO-KR,IPKK,items,a/0/1/7,514,22668
HEARTGOLD,KO-KR,IPKK,item_icons,a/0/1/8,797,448456
HEARTGOLD,KO-KR,IPKK,trainers,a/0/5/5,738,20716
HEARTGOLD,KO-KR,IPKK,trainer_party,a/0/5/6,738,26416
HEARTGOLD,KO-KR,IPKK,poke_icons,a/0/2/0,551,589656
HEARTGOLD,KO-KR,IPKK,pokegra,a/0/0/4,2964,11778676
HEARTGOLD,KO-KR,IPKK,messages,a/0/2/7,822,3001268
SOULSILVER,KO-KR,IPGK,personal,a/0/0/2,508,26468
SOULSILVER,KO-KR,IPGK,evo,a/0/3/4,508,26468
SOULSILVER,KO-KR,IPGK,level_moves,a/0/3/3,508,19196
SOULSILVER,KO-KR,IPGK,moves,a/0/1/1,471,11356
SOULSILVER,KO-KR,IPGK,items,a/0/1/7,514,22668
SOULSILVER,KO-KR,IPGK,item_icons,a/0/1/8,797,448456
SOULSILVER,KO-KR,IPGK,trainers,a/0/5/5,738,20716
SOULSILVER,KO-KR,IPGK,trainer_party,a/0/5/6,738,26416
SOULSILVER,KO-KR,IPGK,poke_icons,a/0/2/0,551,589656
SOULSILVER,KO-KR,IPGK,pokegra,a/0/0/4,2964,11778676
SOULSILVER,KO-KR,IPGK,messages,a/0/2/7,822,3001268
