release_a,release_b,equal_bytes,total_bytes,similarity,identical_64k_banks
BPGJ-R0,BPGD-R0,6300909,16777216,0.37556344,84
BPGJ-R0,BPGS-R0,6351904,16777216,0.37860298,84
BPGJ-R0,BPGE-R1,6300156,16777216,0.37551856,84
BPGJ-R0,BPGE-R0,6306671,16777216,0.37590688,84
BPGJ-R0,BPGF-R0,6358230,16777216,0.37898004,85
BPGJ-R0,BPGI-R0,6358362,16777216,0.37898791,85
BPGD-R0,BPGS-R0,8683801,16777216,0.51759487,115
BPGD-R0,BPGE-R1,8928554,16777216,0.53218329,115
BPGD-R0,BPGE-R0,8968683,16777216,0.53457516,115
BPGD-R0,BPGF-R0,8704450,16777216,0.51882565,115
BPGD-R0,BPGI-R0,9156483,16777216,0.54576892,115
BPGS-R0,BPGE-R1,9765926,16777216,0.58209455,137
BPGS-R0,BPGE-R0,9782163,16777216,0.58306235,137
BPGS-R0,BPGF-R0,10088327,16777216,0.60131115,137
BPGS-R0,BPGI-R0,8945171,16777216,0.53317374,115
BPGE-R1,BPGE-R0,10353202,16777216,0.61709893,142
BPGE-R1,BPGF-R0,9761518,16777216,0.58183181,137
BPGE-R1,BPGI-R0,8720044,16777216,0.51975513,115
BPGE-R0,BPGF-R0,9758828,16777216,0.58167148,137
BPGE-R0,BPGI-R0,8728901,16777216,0.52028304,115
BPGF-R0,BPGI-R0,8859156,16777216,0.52804685,116
