species	front_tiles	front_pixels
001	5	40
002	6	48
003	7	56
004	5	40
005	6	48
006	7	56
007	5	40
008	6	48
009	7	56
010	5	40
011	5	40
012	7	56
013	5	40
014	5	40
015	7	56
016	5	40
017	6	48
018	7	56
019	5	40
020	6	48
021	5	40
022	7	56
023	5	40
024	7	56
025	5	40
026	7	56
027	5	40
028	6	48
029	5	40
030	6	48
031	7	56
032	5	40
033	6	48
034	7	56
035	5	40
036	6	48
037	6	48
038	7	56
039	5	40
040	6	48
041	5	40
042	7	56
043	5	40
044	6	48
045	7	56
046	5	40
047	7	56
048	5	40
049	7	56
050	5	40
051	7	56
052	5	40
053	7	56
054	5	40
055	7	56
056	5	40
057	7	56
058	5	40
059	7	56
060	5	40
061	6	48
062	7	56
063	5	40
064	6	48
065	7	56
066	5	40
067	7	56
068	7	56
069	5	40
070	6	48
071	7	56
072	5	40
073	6	48
074	5	40
075	6	48
076	6	48
077	6	48
078	7	56
079	5	40
080	7	56
081	5	40
082	6	48
083	6	48
084	5	40
085	7	56
086	6	48
087	7	56
088	5	40
089	7	56
090	5	40
091	7	56
092	7	56
093	6	48
094	6	48
095	7	56
096	6	48
097	7	56
098	5	40
099	7	56
100	5	40
101	5	40
102	7	56
103	7	56
104	5	40
105	6	48
106	7	56
107	6	48
108	7	56
109	6	48
110	7	56
111	7	56
112	7	56
113	6	48
114	6	48
115	7	56
116	5	40
117	6	48
118	6	48
119	7	56
120	6	48
121	6	48
122	6	48
123	7	56
124	6	48
125	6	48
126	6	48
127	7	56
128	7	56
129	6	48
130	7	56
131	7	56
132	5	40
133	5	40
134	6	48
135	6	48
136	6	48
137	6	48
138	5	40
139	6	48
140	5	40
141	6	48
142	7	56
143	7	56
144	7	56
145	7	56
146	7	56
147	5	40
148	6	48
149	7	56
150	7	56
151	5	40
152	5	40
153	6	48
154	7	56
155	5	40
156	6	48
157	7	56
158	5	40
159	6	48
160	7	56
161	6	48
162	6	48
163	5	40
164	7	56
165	6	48
166	6	48
167	5	40
168	7	56
169	7	56
170	6	48
171	6	48
172	5	40
173	5	40
174	5	40
175	5	40
176	7	56
177	5	40
178	6	48
179	5	40
180	6	48
181	7	56
182	7	56
183	5	40
184	7	56
185	6	48
186	7	56
187	5	40
188	6	48
189	7	56
190	5	40
191	5	40
192	6	48
193	6	48
194	5	40
195	6	48
196	6	48
197	6	48
198	6	48
199	7	56
200	6	48
201	5	40
202	6	48
203	7	56
204	5	40
205	7	56
206	6	48
207	6	48
208	7	56
209	6	48
210	6	48
211	5	40
212	7	56
213	5	40
214	6	48
215	6	48
216	5	40
217	7	56
218	5	40
219	6	48
220	5	40
221	6	48
222	6	48
223	5	40
224	6	48
225	6	48
226	7	56
227	7	56
228	6	48
229	7	56
230	7	56
231	5	40
232	7	56
233	6	48
234	7	56
235	7	56
236	5	40
237	7	56
238	5	40
239	6	48
240	6	48
241	6	48
242	7	56
243	7	56
244	7	56
245	7	56
246	5	40
247	6	48
248	7	56
249	7	56
250	7	56
251	5	40
