filename,size_bytes,md5,sha1,sha256,header_0134_0143_hex,title_legacy_0134_0142,title_11_0134_013E,tail_013F_0142_ascii,tail_013F_0142_hex,cgb_flag,new_licensee,sgb_flag,cartridge_type,rom_size_code,ram_size_code,destination_code,old_licensee,header_version,header_checksum_stored,header_checksum_calc,header_checksum_valid,global_checksum_stored,global_checksum_calc,global_checksum_valid,nintendo_logo_valid
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1048576,aa13e886a47fd473da63b7d5ddf2828d,1fb6c264e950d97ce3fd99b347e485b2150df4ff,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,504F4B454D4F4E2059454C4C4F570000,POKEMON YELLOW,POKEMON YEL,LOW,4C4F5700,0x00,01,0x03,0x13,0x05,0x03,0x00,0x33,0,0x20,0x20,True,0x9C29,0x9C29,True,True
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,1048576,96c1f411671b6e1761cf31884dde0dbb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,1acab20d1aa3e19c081abaac3e303c4cf3e582213937acbf25942b31c28aecfe,504F4B454D4F4E2059454C4C4F570000,POKEMON YELLOW,POKEMON YEL,LOW,4C4F5700,0x00,01,0x03,0x13,0x05,0x03,0x00,0x33,1,0x1F,0x1F,True,0x8858,0x8858,True,True
Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,1048576,5d9c071cf6eb5f3a697bbcd9311b4d04,91864ecdf26d1c593bde4d9ed615520eb57d5e41,2c67561f6b2de4ca3a1150f04dc736aead4bf7b5a98ce38196cef899a91be2fd,504F4B454D4F4E2059454C4C4F570000,POKEMON YELLOW,POKEMON YEL,LOW,4C4F5700,0x00,01,0x03,0x13,0x05,0x03,0x00,0x33,2,0x1E,0x1E,True,0xEDD9,0xEDD9,True,True
Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,1048576,90ae2ea218f8e21afa678c6a4e7b6013,a40298a8123613ee60cd7aab204d788b8425976e,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,504F4B454D4F4E2059454C4C4F570000,POKEMON YELLOW,POKEMON YEL,LOW,4C4F5700,0x00,01,0x03,0x13,0x05,0x03,0x00,0x33,3,0x1D,0x1D,True,0xD984,0xD984,True,True
Pokemon - Edicion Amarilla (Spain).gbc,1048576,f0da8b1cff3aab898ecde9dcbda6d817,1dc242039218fba50928d1afb66b70565b6b9daf,55d56d6f73225886bfdc0db1ddb754d2f4dfc6ef5ae74ddfa079c23b6ec80039,504F4B454D4F4E2059454C4150535380,POKEMON YELAPSS,POKEMON YEL,APSS,41505353,0x80,01,0x03,0x1B,0x05,0x03,0x01,0x33,0,0x52,0x52,True,0x5637,0x5637,True,True
"Pokemon - Edicion Amarilla - Edicion Especial Pikachu (Spain) (GBC,SGB Enhanced).gb",1048576,f0da8b1cff3aab898ecde9dcbda6d817,1dc242039218fba50928d1afb66b70565b6b9daf,55d56d6f73225886bfdc0db1ddb754d2f4dfc6ef5ae74ddfa079c23b6ec80039,504F4B454D4F4E2059454C4150535380,POKEMON YELAPSS,POKEMON YEL,APSS,41505353,0x80,01,0x03,0x1B,0x05,0x03,0x01,0x33,0,0x52,0x52,True,0x5637,0x5637,True,True
Pokemon - Gelbe Edition (Germany).gbc,1048576,e93f10168e3c9b9d18e3ad4a1415e1d0,42f3714eec6eca25200d42461ff08d57c98f6d1d,aed41ea3e785ac9c06fd641270ff30b59de5fc64fed4349e81a9aaa4ba7d31f9,504F4B454D4F4E2059454C4150534480,POKEMON YELAPSD,POKEMON YEL,APSD,41505344,0x80,01,0x03,0x1B,0x05,0x03,0x01,0x33,0,0x61,0x61,True,0x66FB,0x66FB,True,True
"Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (GBC,SGB Enhanced).gb",1048576,e93f10168e3c9b9d18e3ad4a1415e1d0,42f3714eec6eca25200d42461ff08d57c98f6d1d,aed41ea3e785ac9c06fd641270ff30b59de5fc64fed4349e81a9aaa4ba7d31f9,504F4B454D4F4E2059454C4150534480,POKEMON YELAPSD,POKEMON YEL,APSD,41505344,0x80,01,0x03,0x1B,0x05,0x03,0x01,0x33,0,0x61,0x61,True,0x66FB,0x66FB,True,True
Pokemon - Version Jaune (France).gbc,1048576,2df6b439a35e0d511d52fa75c6a7849a,0aceec0ef7aa2ca5aa831554598d91f61a925591,77b31f874fd877fbf48757f315ffc3144e06fc7222aba6ac4eda2045ebf5d3fa,504F4B454D4F4E2059454C4150534680,POKEMON YELAPSF,POKEMON YEL,APSF,41505346,0x80,01,0x03,0x1B,0x05,0x03,0x01,0x33,0,0x5F,0x5F,True,0xB7C1,0xB7C1,True,True
"Pokemon - Version Jaune - Edition Speciale Pikachu (France) (GBC,SGB Enhanced).gb",1048576,2df6b439a35e0d511d52fa75c6a7849a,0aceec0ef7aa2ca5aa831554598d91f61a925591,77b31f874fd877fbf48757f315ffc3144e06fc7222aba6ac4eda2045ebf5d3fa,504F4B454D4F4E2059454C4150534680,POKEMON YELAPSF,POKEMON YEL,APSF,41505346,0x80,01,0x03,0x1B,0x05,0x03,0x01,0x33,0,0x5F,0x5F,True,0xB7C1,0xB7C1,True,True
