file_a,file_b,compared_banks,identical_same_index_banks,identity_percent,identical_bank_hex
Pocket Monsters Geum (Korea).gbc,Pocket Monsters Kin (Japan) (Rev A).gbc,64,20,31.250,0C 12 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 2A 30 37 3B 3C 3D
Pocket Monsters Geum (Korea).gbc,Pocket Monsters Kin (Japan).gbc,64,20,31.250,0C 12 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 2A 30 37 3B 3C 3D
Pocket Monsters Geum (Korea).gbc,Pokemon - Edicion Oro (Spain).gbc,128,27,21.094,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E
Pocket Monsters Geum (Korea).gbc,"Pokemon - Gold Version (USA, Europe).gbc",128,29,22.656,0C 13 22 27 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 58 63 67 6F 73 74 75 76 77 7C 7D 7E
Pocket Monsters Geum (Korea).gbc,Pokemon - Goldene Edition (Germany).gbc,128,27,21.094,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E
Pocket Monsters Geum (Korea).gbc,Pokemon - Version Or (France).gbc,128,27,21.094,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E
Pocket Monsters Geum (Korea).gbc,Pokemon - Versione Oro (Italy).gbc,128,27,21.094,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E
Pocket Monsters Kin (Japan) (Rev A).gbc,Pocket Monsters Kin (Japan).gbc,64,54,84.375,01 02 03 06 07 08 0B 0C 0D 0E 10 11 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 32 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F
Pocket Monsters Kin (Japan) (Rev A).gbc,Pokemon - Edicion Oro (Spain).gbc,64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pocket Monsters Kin (Japan) (Rev A).gbc,"Pokemon - Gold Version (USA, Europe).gbc",64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pocket Monsters Kin (Japan) (Rev A).gbc,Pokemon - Goldene Edition (Germany).gbc,64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pocket Monsters Kin (Japan) (Rev A).gbc,Pokemon - Version Or (France).gbc,64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pocket Monsters Kin (Japan) (Rev A).gbc,Pokemon - Versione Oro (Italy).gbc,64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pocket Monsters Kin (Japan).gbc,Pokemon - Edicion Oro (Spain).gbc,64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pocket Monsters Kin (Japan).gbc,"Pokemon - Gold Version (USA, Europe).gbc",64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pocket Monsters Kin (Japan).gbc,Pokemon - Goldene Edition (Germany).gbc,64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pocket Monsters Kin (Japan).gbc,Pokemon - Version Or (France).gbc,64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pocket Monsters Kin (Japan).gbc,Pokemon - Versione Oro (Italy).gbc,64,8,12.500,0C 2A 2B 30 37 3B 3C 3D
Pokemon - Edicion Oro (Spain).gbc,"Pokemon - Gold Version (USA, Europe).gbc",128,47,36.719,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
Pokemon - Edicion Oro (Spain).gbc,Pokemon - Goldene Edition (Germany).gbc,128,47,36.719,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
Pokemon - Edicion Oro (Spain).gbc,Pokemon - Version Or (France).gbc,128,47,36.719,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
Pokemon - Edicion Oro (Spain).gbc,Pokemon - Versione Oro (Italy).gbc,128,48,37.500,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 36 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
"Pokemon - Gold Version (USA, Europe).gbc",Pokemon - Goldene Edition (Germany).gbc,128,47,36.719,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
"Pokemon - Gold Version (USA, Europe).gbc",Pokemon - Version Or (France).gbc,128,47,36.719,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
"Pokemon - Gold Version (USA, Europe).gbc",Pokemon - Versione Oro (Italy).gbc,128,47,36.719,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
Pokemon - Goldene Edition (Germany).gbc,Pokemon - Version Or (France).gbc,128,48,37.500,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 36 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
Pokemon - Goldene Edition (Germany).gbc,Pokemon - Versione Oro (Italy).gbc,128,47,36.719,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
Pokemon - Version Or (France).gbc,Pokemon - Versione Oro (Italy).gbc,128,47,36.719,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E
