target,species,name,field,internal_species_id,offset,old,new
"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",20,Raticate / ラッタ,catch_rate,,0x5168D,90,127
"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",183,Marill / マリル,hatch_cycles,,0x52AF3,20,10
"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",184,Azumarill / マリルリ,hatch_cycles,,0x52B13,20,10
Pocket Monsters Geum (Korea).gbc,20,Raticate / ラッタ,catch_rate,,0x51E48,90,127
Pocket Monsters Geum (Korea).gbc,183,Marill / マリル,hatch_cycles,,0x532AE,20,10
Pocket Monsters Geum (Korea).gbc,184,Azumarill / マリルリ,hatch_cycles,,0x532CE,20,10
Pocket Monsters Eun (Korea).gbc,20,Raticate / ラッタ,catch_rate,,0x51E48,90,127
Pocket Monsters Eun (Korea).gbc,183,Marill / マリル,hatch_cycles,,0x532AE,20,10
Pocket Monsters Eun (Korea).gbc,184,Azumarill / マリルリ,hatch_cycles,,0x532CE,20,10
Pocket Monsters - Crystal Version (Japan).gbc,20,Raticate / ラッタ,catch_rate,,0x51723,90,127
Pocket Monsters - Crystal Version (Japan).gbc,183,Marill / マリル,hatch_cycles,,0x52B89,20,10
Pocket Monsters - Crystal Version (Japan).gbc,184,Azumarill / マリルリ,hatch_cycles,,0x52BA9,20,10
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,193,Yanma / ヤンヤンマ,ev_yield,193,0x20DECA,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,200,Misdreavus / ムウマ,ev_yield,200,0x20DF8E,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,242,Blissey / ハピナス,ev_yield,242,0x20E426,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,315,Roselia / ロゼリア,ev_yield,363,0x20F162,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 0]"
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,355,Duskull / ヨマワル,ev_yield,361,0x20F12A,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Fire Red (Japan) (Rev 1).gba,356,Dusclops / サマヨール,ev_yield,362,0x20F146,"[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
Pocket Monsters - Leaf Green (Japan).gba,193,Yanma / ヤンヤンマ,ev_yield,193,0x21268E,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
Pocket Monsters - Leaf Green (Japan).gba,200,Misdreavus / ムウマ,ev_yield,200,0x212752,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Leaf Green (Japan).gba,242,Blissey / ハピナス,ev_yield,242,0x212BEA,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
Pocket Monsters - Leaf Green (Japan).gba,315,Roselia / ロゼリア,ev_yield,363,0x213926,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 0]"
Pocket Monsters - Leaf Green (Japan).gba,355,Duskull / ヨマワル,ev_yield,361,0x2138EE,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Leaf Green (Japan).gba,356,Dusclops / サマヨール,ev_yield,362,0x21390A,"[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
Pocket Monsters - Ruby (Japan).gba,193,Yanma / ヤンヤンマ,ev_yield,193,0x1D1EF2,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
Pocket Monsters - Ruby (Japan).gba,200,Misdreavus / ムウマ,ev_yield,200,0x1D1FB6,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Ruby (Japan).gba,242,Blissey / ハピナス,ev_yield,242,0x1D244E,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
