bank_hex,tile_count,nonblank_tiles,blank_tiles,unique_nonblank_tiles,unique_nonblank_ratio,top_two_rows_blank_ratio,gold_silver_identical,font_candidate,bank_sha256
0x00,1024,1011,13,1011,1.0,0.0009891196834817012,False,False,cbebaf04154f994afc91c153f49ac7f4207ee5d1c88c347d476e327ba07d06c3
0x01,1024,867,157,864,0.9965397923875432,0.0034602076124567475,False,False,a5b24c986121edbaf2136792a25639c48251de27524a1368126ca6060a20c2ab
0x02,1024,961,63,953,0.991675338189386,0.05723204994797086,False,False,46a032421118f44eb790794b8ce40153c8336ef6d975d55dcfed09e463124ab0
0x03,1024,928,96,926,0.9978448275862069,0.0,False,False,682e4059313e16bc287a092eaa6f35cf068f30885eebb53a3c2805fc356b6a76
0x04,1024,971,53,935,0.9629248197734295,0.004119464469618949,False,False,9dd239135685a4e77122cb9057fe34fa8d6a807f108d3e4bbbad37d39f82f2bc
0x05,1024,892,132,885,0.992152466367713,0.0,False,False,989fba61c7346aa039b9e1858dadf9a0d7dae9e8c5bd5836682af6e7b48fcf93
0x06,1024,930,94,714,0.7677419354838709,0.017204301075268817,True,False,3d3a2cbc9134885de6c0a0800376074e488d38da31ad28b7d82d155ee2a5c006
0x07,1024,1000,24,977,0.977,0.014,True,False,64a0039366c38d756d8ce9c34a5929e90e5ee53a528ffb65d964e4539c5b65fb
0x08,1024,949,75,910,0.958904109589041,0.006322444678609062,True,False,23d53c25382fd9878ab7d79a810bd4e2f3f7ebc711bd03af88c103eaf64b70f7
0x09,1024,962,62,831,0.8638253638253638,0.011434511434511435,False,False,ee2ade4123ffa23a17f507b0872a4bff4a8a0edd22bb63a2e3a8be89c3dbe921
0x0A,1024,1021,3,1018,0.9970617042115573,0.0019588638589618022,False,False,f9c364096569d208680abe36f4f9c12b50d471d39a89470985aa7e1e940c28ad
0x0B,1024,164,860,164,1.0,0.0,False,False,af60176c7f13f89bd8cc6efa4a8dbd80b0209779ede6a890bff147a46373eb36
0x0C,1024,958,66,923,0.9634655532359081,0.007306889352818371,True,False,a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47
0x0D,1024,1018,6,1018,1.0,0.0,False,False,406ca1c56fb39410c14de97f6a517569fe95c221c7df159ab4f64c49701c0fd6
0x0E,1024,852,172,852,1.0,0.0,True,False,5f3bc0a0db8b70b7a29f84906536285382d08dd563be9dccc04bf6ee0f488b65
0x0F,1024,1008,16,1008,1.0,0.001984126984126984,False,False,f7b6b3ff1d2f8b8a8afcc6f857a13c753a7c8c49b4a8e6be512d83d28e65482d
0x10,1024,937,87,935,0.9978655282817502,0.0,True,False,740ff00a0e49c90e68a4f805bf7afcf1eb808855e104a11e433ba3acf23fdabb
0x11,1024,166,858,166,1.0,0.0,False,False,e1496d07e1eff1542679fe0b3a8f1320fc5b0d4d0c1e803bd6b3f06378c1fe62
0x12,1024,1024,0,1024,1.0,0.0,False,False,a4bc92e1fea906007baffcddde13dcb6f9fbc983b2174d53fdc12b9e9a014d23
0x13,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x14,1024,959,65,956,0.9968717413972888,0.0010427528675703858,False,False,5e0cb900b2260847bd33fec36c1c51f59b8571e58a0c393237537968a04edfd1
0x15,1024,1024,0,1024,1.0,0.0,False,False,05c594320b66475a30e95b1a72ad90fa72214eac5a46ab8596745fb3585d0071
0x16,1024,1021,3,1021,1.0,0.0,False,False,5c88f829576d829c9630431774b53124f384080509fded5657b684cd32b98477
0x17,1024,1024,0,1024,1.0,0.0,False,False,63498484244571f502cb749d2cb6b38741f807e44af2d1b40f141d087e00597e
0x18,1024,1021,3,1021,1.0,0.0,False,False,4f9a37faa50dbd31ff8f2661b905b5f32e785cfa7b59273979944835b7d06bde
0x19,1024,1020,4,1020,1.0,0.0,False,False,25da23a56b2377ef819fb399a6851017063233155e379fe4162a48b8619420f9
0x1A,1024,1024,0,1024,1.0,0.0,False,False,73af9a86398b61f136204ed1edacc7c73bec762b97a06c7fdc943b607b290ef7
0x1B,1024,1024,0,1024,1.0,0.0,False,False,4fd0b47c450f66b04faefc64866f8e856ea8b9b015e318cd5bef7028daae5e37
0x1C,1024,1024,0,1024,1.0,0.0,False,False,29f43cc597ecf734e4c360ccafa3588da1c3df8d8a02fb1122cdcfab859d20e4
0x1D,1024,1022,2,1022,1.0,0.0,False,False,e31ad4c88bf941d4542493c0f8fb4df82cc20a028e4f7e8c3ebf1de9028a18b7
0x1E,1024,1021,3,1021,1.0,0.0,False,False,bcb2d62c77e337a3dfe883305ebe963ed3a615695740402be02e21ed4f3d810c
0x1F,1024,1024,0,1024,1.0,0.0,False,False,732a03e30c7e5ba8b1bc7f17003b27a68be80bfbcd3858c17605f02c75900093
