capability,gen1_rgby,gen2_gs,gen2_crystal,gen3_rse,gen3_frlg,gen4_dppt,gen4_hgss,gen5_bw,gen5_b2w2,notes
SUMMARY_IDENTITY,yes,yes,yes,yes,yes,yes,yes,yes,yes,"Core identity; gender begins Gen II"
SUMMARY_PORTRAIT,yes,yes,yes,yes,yes,yes,yes,yes,yes,"Front image and cry"
SUMMARY_PORTRAIT_INTERACTION,"Pikachu voice branch",no,"animated portrait",no,"bounce response",yes,yes,"touch/back/gesture","touch/back/gesture","Game-family-specific behaviors retained separately"
SUMMARY_HP_STATUS,yes,yes,yes,yes,yes,yes,yes,yes,yes,"HP and ailment/status display"
SUMMARY_TYPES,yes,yes,yes,yes,yes,yes,yes,yes,yes,"Type display"
SUMMARY_OT_ID,yes,yes,yes,yes,yes,yes,yes,yes,yes,"Original Trainer and ID"
SUMMARY_STATS_LEGACY,yes,no,no,no,no,no,no,no,no,"Gen I Attack/Defense/Speed/Special semantics"
SUMMARY_STATS_SPLIT,no,yes,yes,yes,yes,yes,yes,yes,yes,"HP/Atk/Def/SpA/SpD/Spe family"
SUMMARY_HELD_ITEM,no,yes,yes,yes,yes,yes,yes,yes,yes,"Held item system begins Gen II"
SUMMARY_EXP,yes,yes,yes,yes,yes,yes,yes,yes,yes,"Total/to-next EXP; presentation differs by game"
SUMMARY_MOVES_BASIC,yes,yes,yes,yes,yes,yes,yes,yes,yes,"Four moves and PP"
SUMMARY_MOVE_DETAILS,no,"separate move screen","separate move screen",yes,yes,yes,yes,yes,yes,"Type/power/accuracy/description from Gen III summary"
SUMMARY_MOVE_REORDER,no,"separate move screen","separate move screen",yes,yes,yes,yes,yes,yes,"Reorder behavior preserved with mode restrictions"
SUMMARY_MOVE_CATEGORY,no,no,no,no,no,yes,yes,yes,yes,"Physical/Special/Status"
SUMMARY_NATURE,no,no,no,yes,yes,yes,yes,yes,yes,"Nature"
SUMMARY_CHARACTERISTIC,no,no,no,no,no,yes,yes,yes,yes,"Characteristic"
SUMMARY_ABILITY,no,no,no,yes,yes,yes,yes,yes,yes,"Ability and description placement differs"
SUMMARY_MET_LEVEL,no,no,"stored/Seer path",yes,yes,yes,yes,yes,yes,"Crystal stores caught data but normal summary does not expose all"
SUMMARY_MET_LOCATION,no,no,"stored/Seer path",yes,yes,yes,yes,yes,yes,"From Gen III in normal summary"
SUMMARY_MET_DATE,no,no,no,no,no,yes,yes,yes,yes,"Displayed from Gen IV"
SUMMARY_CAUGHT_BALL,no,no,no,yes,yes,yes,yes,yes,yes,"Ball marker/display"
SUMMARY_MARKINGS_VIEW,no,no,no,yes,yes,yes,yes,yes,yes,"Introduced Gen III"
SUMMARY_MARKINGS_EDIT,no,no,no,no,no,no,no,no,yes,"BW2 onward editable in summary"
SUMMARY_POKERUS,no,yes,yes,yes,yes,yes,yes,yes,yes,"Status/cured indicator behavior differs"
SUMMARY_RIBBON_COUNT,no,no,no,yes,no,yes,yes,yes,yes,"RSE count only; later games list/detail"
SUMMARY_RIBBON_LIST,no,no,no,no,no,yes,yes,"conditional","conditional","Gen V page omitted when no ribbons"
SUMMARY_CONDITION,no,no,no,yes,no,yes,no,no,no,"RSE/Sinnoh Contest-family preservation"
SUMMARY_CONTEST_MOVES,no,no,no,yes,no,yes,no,no,no,"RSE Contest / DPPt Super Contest"
SUMMARY_PERFORMANCE,no,no,no,no,no,no,yes,no,no,"HGSS Pokéathlon five-stat Performance"
SUMMARY_SHINY_LEAF,no,no,no,no,no,no,yes,no,no,"HGSS-specific"
SUMMARY_EGG,no,yes,yes,yes,yes,yes,yes,yes,yes,"Dedicated/restricted egg presentation"
SUMMARY_IN_BATTLE,"same two-screen sequence","same family","special entry variants","no Gen-IV-style reduced family","no Gen-IV-style reduced family",yes,yes,yes,yes,"Dedicated reduced summary formalized Gen IV"
SUMMARY_RIBBON_CONDITIONAL,no,no,no,no,no,no,no,yes,yes,"Gen V hides Ribbon page if none"
