release_a,release_b,same_position_banks,compared_banks,same_position_ratio,differing_bytes_including_size_delta,max_size_bytes
AAXJ-HV0,AAXJ-HV1,48,64,0.750000,19150,1048576
AAXJ-HV0,AAXE-HV0,8,64,0.125000,1794769,2097152
AAXJ-HV0,AAXD-HV0,8,64,0.125000,1803306,2097152
AAXJ-HV0,AAXF-HV0,8,64,0.125000,1796460,2097152
AAXJ-HV0,AAXI-HV0,8,64,0.125000,1803804,2097152
AAXJ-HV0,AAXS-HV0,8,64,0.125000,1803463,2097152
AAXJ-HV0,AAXK-HV0,20,64,0.312500,1632729,2097152
AAXJ-HV1,AAXE-HV0,8,64,0.125000,1786577,2097152
AAXJ-HV1,AAXD-HV0,8,64,0.125000,1795147,2097152
AAXJ-HV1,AAXF-HV0,8,64,0.125000,1788232,2097152
AAXJ-HV1,AAXI-HV0,8,64,0.125000,1795671,2097152
AAXJ-HV1,AAXS-HV0,8,64,0.125000,1795293,2097152
AAXJ-HV1,AAXK-HV0,20,64,0.312500,1624373,2097152
AAXE-HV0,AAXD-HV0,47,128,0.367188,641285,2097152
AAXE-HV0,AAXF-HV0,47,128,0.367188,607499,2097152
AAXE-HV0,AAXI-HV0,47,128,0.367188,609441,2097152
AAXE-HV0,AAXS-HV0,47,128,0.367188,606013,2097152
AAXE-HV0,AAXK-HV0,29,128,0.226562,882326,2097152
AAXD-HV0,AAXF-HV0,48,128,0.375000,587226,2097152
AAXD-HV0,AAXI-HV0,47,128,0.367188,603513,2097152
AAXD-HV0,AAXS-HV0,47,128,0.367188,609441,2097152
AAXD-HV0,AAXK-HV0,27,128,0.210938,931053,2097152
AAXF-HV0,AAXI-HV0,47,128,0.367188,568327,2097152
AAXF-HV0,AAXS-HV0,47,128,0.367188,567265,2097152
AAXF-HV0,AAXK-HV0,27,128,0.210938,906381,2097152
AAXI-HV0,AAXS-HV0,48,128,0.375000,528534,2097152
AAXI-HV0,AAXK-HV0,27,128,0.210938,902680,2097152
AAXS-HV0,AAXK-HV0,27,128,0.210938,898255,2097152
