class_id_decimal,class_id_hex,internal_class_id,original_gs_korean,final_korean,name_changed,change_category,verification_status,direct_first_party_source_verified,original_encoded_length_bytes,final_encoded_length_bytes,record_byte_delta_with_terminator,original_display_tiles,final_display_tiles,final_encoded_hex,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex,usage_note
10,0x0A,POKEMON_PROF,포켓몬박사,포켓몬 박사,True,ORTHOGRAPHY_AND_CURRENT_NAME,CURRENT_LOCALIZATION_CORPUS,False,10,11,1,5,6,0a 27 09 2f 04 93 7f 04 da 05 b7,0x6C,0x4A08,0x1B0A08,0a 27 09 2f 04 93 04 da 05 b7,ACTIVE_CLASS_SLOT
20,0x14,SCIENTIST,괴짜 연구원,연구원,True,CURRENT_OFFICIAL_CLASS_NAME,CURRENT_LOCALIZATION_CORPUS,False,11,6,-5,6,3,07 0c 01 88 07 68,0x6C,0x4A6A,0x1B0A6A,01 7b 08 35 7f 07 0c 01 88 07 68,ACTIVE_CLASS_SLOT
23,0x17,SCHOOLBOY,학원끝난 아이,학원 끝난 아이,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,13,14,1,7,8,0a 70 07 68 7f 02 31 02 3d 7f 06 c6 07 9c,0x6C,0x4A8E,0x1B0A8E,0a 70 07 68 02 31 02 3d 7f 06 c6 07 9c,ACTIVE_CLASS_SLOT
25,0x19,LASS,짧은치마,짧은 치마,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,8,9,1,4,5,08 3a 07 8a 7f 09 01 04 46,0x6C,0x4AA6,0x1B0AA6,08 3a 07 8a 09 01 04 46,ACTIVE_CLASS_SLOT
27,0x1B,COOLTRAINERM,엘리트트레이너,엘리트 트레이너,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,14,15,1,7,8,07 04 04 3e 09 de 7f 09 de 03 e9 07 9c 02 6a,0x6C,0x4ABB,0x1B0ABB,07 04 04 3e 09 de 09 de 03 e9 07 9c 02 6a,ACTIVE_CLASS_SLOT
28,0x1C,COOLTRAINERF,엘리트트레이너,엘리트 트레이너,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,14,15,1,7,8,07 04 04 3e 09 de 7f 09 de 03 e9 07 9c 02 6a,0x6C,0x4ACA,0x1B0ACA,07 04 04 3e 09 de 09 de 03 e9 07 9c 02 6a,ACTIVE_CLASS_SLOT
31,0x1F,GRUNTM,로켓단,로켓단 조무래기,True,ROLE_RESTORATION,CURRENT_OFFICIAL_TERMINOLOGY_SECONDARY_REFERENCE,False,6,15,9,3,8,03 fe 09 2f 02 dc 7f 07 e6 04 ab 03 d1 01 b2,0x6C,0x4AEE,0x1B0AEE,03 fe 09 2f 02 dc,ACTIVE_CLASS_SLOT
33,0x21,SKIER,스키선수,스키어,True,LATER_OFFICIAL_CLASS_NAME,LATER_OFFICIAL_NAME_SECONDARY_REFERENCE,False,8,6,-2,4,3,06 4a 09 80 06 ee,0x6C,0x4AFA,0x1B0AFA,06 4a 09 80 05 e1 06 26,ACTIVE_CLASS_SLOT
36,0x24,BUG_CATCHER,곤충채집,곤충채집소년,True,CURRENT_OFFICIAL_CLASS_NAME,CURRENT_LOCALIZATION_CORPUS,False,8,12,4,4,6,01 4f 08 e6 08 a4 08 2d 06 02 02 82,0x6C,0x4B16,0x1B0B16,01 4f 08 e6 08 a4 08 2d,ACTIVE_CLASS_SLOT
38,0x26,SWIMMERM,수영팬티 소년,수영팬티소년,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,13,12,-1,7,6,06 26 07 15 0a 02 09 ec 06 02 02 82,0x6C,0x4B26,0x1B0B26,06 26 07 15 0a 02 09 ec 7f 06 02 02 82,ACTIVE_CLASS_SLOT
