natdex,name
387,TURTWIG
388,GROTLE
389,TORTERRA
390,CHIMCHAR
391,MONFERNO
392,INFERNAPE
393,PIPLUP
394,PRINPLUP
395,EMPOLEON
396,STARLY
397,STARAVIA
398,STARAPTOR
399,BIDOOF
400,BIBAREL
401,KRICKETOT
402,KRICKETUNE
403,SHINX
404,LUXIO
405,LUXRAY
406,BUDEW
407,ROSERADE
408,CRANIDOS
409,RAMPARDOS
410,SHIELDON
411,BASTIODON
412,BURMY
413,WORMADAM
414,MOTHIM
415,COMBEE
416,VESPIQUEN
417,PACHIRISU
418,BUIZEL
419,FLOATZEL
420,CHERUBI
421,CHERRIM
422,SHELLOS
423,GASTRODON
424,AMBIPOM
425,DRIFLOON
426,DRIFBLIM
427,BUNEARY
428,LOPUNNY
429,MISMAGIUS
430,HONCHKROW
431,GLAMEOW
432,PURUGLY
433,CHINGLING
434,STUNKY
435,SKUNTANK
436,BRONZOR
437,BRONZONG
438,BONSLY
439,MIME JR.
440,HAPPINY
441,CHATOT
442,SPIRITOMB
443,GIBLE
444,GABITE
445,GARCHOMP
446,MUNCHLAX
447,RIOLU
448,LUCARIO
449,HIPPOPOTAS
450,HIPPOWDON
451,SKORUPI
452,DRAPION
453,CROAGUNK
454,TOXICROAK
455,CARNIVINE
456,FINNEON
457,LUMINEON
458,MANTYKE
459,SNOVER
460,ABOMASNOW
461,WEAVILE
462,MAGNEZONE
463,LICKILICKY
464,RHYPERIOR
465,TANGROWTH
466,ELECTIVIRE
467,MAGMORTAR
468,TOGEKISS
469,YANMEGA
470,LEAFEON
471,GLACEON
472,GLISCOR
473,MAMOSWINE
474,PORYGON-Z
475,GALLADE
476,PROBOPASS
477,DUSKNOIR
478,FROSLASS
479,ROTOM
480,UXIE
481,MESPRIT
482,AZELF
483,DIALGA
484,PALKIA
485,HEATRAN
486,REGIGIGAS
487,GIRATINA
488,CRESSELIA
489,PHIONE
490,MANAPHY
491,DARKRAI
492,SHAYMIN
493,ARCEUS
494,VICTINI
495,SNIVY
496,SERVINE
497,SERPERIOR
498,TEPIG
499,PIGNITE
500,EMBOAR
501,OSHAWOTT
502,DEWOTT
503,SAMUROTT
504,PATRAT
505,WATCHOG
506,LILLIPUP
507,HERDIER
508,STOUTLAND
509,PURRLOIN
510,LIEPARD
511,PANSAGE
512,SIMISAGE
513,PANSEAR
514,SIMISEAR
515,PANPOUR
516,SIMIPOUR
517,MUNNA
518,MUSHARNA
519,PIDOVE
520,TRANQUILL
521,UNFEZANT
522,BLITZLE
523,ZEBSTRIKA
524,ROGGENROLA
525,BOLDORE
526,GIGALITH
527,WOOBAT
528,SWOOBAT
529,DRILBUR
530,EXCADRILL
531,AUDINO
532,TIMBURR
533,GURDURR
534,CONKELDURR
535,TYMPOLE
536,PALPITOAD
537,SEISMITOAD
538,THROH
539,SAWK
540,SEWADDLE
541,SWADLOON
542,LEAVANNY
543,VENIPEDE
544,WHIRLIPEDE
545,SCOLIPEDE
546,COTTONEE
547,WHIMSICOTT
548,PETILIL
549,LILLIGANT
550,BASCULIN
551,SANDILE
552,KROKOROK
553,KROOKODILE
554,DARUMAKA
555,DARMANITAN
556,MARACTUS
557,DWEBBLE
558,CRUSTLE
559,SCRAGGY
560,SCRAFTY
561,SIGILYPH
562,YAMASK
563,COFAGRIGUS
564,TIRTOUGA
565,CARRACOSTA
566,ARCHEN
567,ARCHEOPS
568,TRUBBISH
569,GARBODOR
570,ZORUA
571,ZOROARK
572,MINCCINO
573,CINCCINO
574,GOTHITA
575,GOTHORITA
576,GOTHITELLE
577,SOLOSIS
578,DUOSION
579,REUNICLUS
580,DUCKLETT
581,SWANNA
582,VANILLITE
583,VANILLISH
584,VANILLUXE
585,DEERLING
586,SAWSBUCK
587,EMOLGA
588,KARRABLAST
589,ESCAVALIER
590,FOONGUS
591,AMOONGUSS
592,FRILLISH
593,JELLICENT
594,ALOMOMOLA
595,JOLTIK
596,GALVANTULA
597,FERROSEED
598,FERROTHORN
599,KLINK
600,KLANG
601,KLINKLANG
602,TYNAMO
603,EELEKTRIK
604,EELEKTROSS
605,ELGYEM
606,BEHEEYEM
607,LITWICK
608,LAMPENT
609,CHANDELURE
610,AXEW
611,FRAXURE
612,HAXORUS
613,CUBCHOO
614,BEARTIC
615,CRYOGONAL
616,SHELMET
617,ACCELGOR
618,STUNFISK
619,MIENFOO
620,MIENSHAO
621,DRUDDIGON
622,GOLETT
623,GOLURK
624,PAWNIARD
625,BISHARP
626,BOUFFALANT
627,RUFFLET
628,BRAVIARY
629,VULLABY
630,MANDIBUZZ
631,HEATMOR
632,DURANT
633,DEINO
634,ZWEILOUS
635,HYDREIGON
636,LARVESTA
637,VOLCARONA
638,COBALION
639,TERRAKION
640,VIRIZION
641,TORNADUS
642,THUNDURUS
643,RESHIRAM
644,ZEKROM
645,LANDORUS
646,KYUREM
647,KELDEO
648,MELOETTA
649,GENESECT
