national_id,constant,machine_move
252,TREECKO,FOCUS_PUNCH
252,TREECKO,TOXIC
252,TREECKO,BULLET_SEED
252,TREECKO,HIDDEN_POWER
252,TREECKO,SUNNY_DAY
252,TREECKO,PROTECT
252,TREECKO,GIGA_DRAIN
252,TREECKO,SAFEGUARD
252,TREECKO,FRUSTRATION
252,TREECKO,SOLAR_BEAM
252,TREECKO,IRON_TAIL
252,TREECKO,RETURN
252,TREECKO,DIG
252,TREECKO,BRICK_BREAK
252,TREECKO,DOUBLE_TEAM
252,TREECKO,ROCK_TOMB
252,TREECKO,AERIAL_ACE
252,TREECKO,FACADE
252,TREECKO,SECRET_POWER
252,TREECKO,REST
252,TREECKO,ATTRACT
252,TREECKO,CUT
252,TREECKO,STRENGTH
252,TREECKO,FLASH
252,TREECKO,ROCK_SMASH
253,GROVYLE,FOCUS_PUNCH
253,GROVYLE,TOXIC
253,GROVYLE,BULLET_SEED
253,GROVYLE,HIDDEN_POWER
253,GROVYLE,SUNNY_DAY
253,GROVYLE,PROTECT
253,GROVYLE,GIGA_DRAIN
253,GROVYLE,SAFEGUARD
253,GROVYLE,FRUSTRATION
253,GROVYLE,SOLAR_BEAM
253,GROVYLE,IRON_TAIL
253,GROVYLE,RETURN
253,GROVYLE,DIG
253,GROVYLE,BRICK_BREAK
253,GROVYLE,DOUBLE_TEAM
253,GROVYLE,ROCK_TOMB
253,GROVYLE,AERIAL_ACE
253,GROVYLE,FACADE
253,GROVYLE,SECRET_POWER
253,GROVYLE,REST
253,GROVYLE,ATTRACT
253,GROVYLE,CUT
253,GROVYLE,STRENGTH
253,GROVYLE,FLASH
253,GROVYLE,ROCK_SMASH
254,SCEPTILE,FOCUS_PUNCH
254,SCEPTILE,DRAGON_CLAW
254,SCEPTILE,ROAR
254,SCEPTILE,TOXIC
254,SCEPTILE,BULLET_SEED
254,SCEPTILE,HIDDEN_POWER
254,SCEPTILE,SUNNY_DAY
254,SCEPTILE,HYPER_BEAM
254,SCEPTILE,PROTECT
254,SCEPTILE,GIGA_DRAIN
254,SCEPTILE,SAFEGUARD
254,SCEPTILE,FRUSTRATION
254,SCEPTILE,SOLAR_BEAM
254,SCEPTILE,IRON_TAIL
254,SCEPTILE,EARTHQUAKE
254,SCEPTILE,RETURN
254,SCEPTILE,DIG
254,SCEPTILE,BRICK_BREAK
254,SCEPTILE,DOUBLE_TEAM
254,SCEPTILE,ROCK_TOMB
254,SCEPTILE,AERIAL_ACE
254,SCEPTILE,FACADE
254,SCEPTILE,SECRET_POWER
254,SCEPTILE,REST
254,SCEPTILE,ATTRACT
254,SCEPTILE,CUT
254,SCEPTILE,STRENGTH
254,SCEPTILE,FLASH
254,SCEPTILE,ROCK_SMASH
255,TORCHIC,TOXIC
255,TORCHIC,HIDDEN_POWER
255,TORCHIC,SUNNY_DAY
255,TORCHIC,PROTECT
255,TORCHIC,FRUSTRATION
255,TORCHIC,RETURN
255,TORCHIC,DIG
255,TORCHIC,DOUBLE_TEAM
255,TORCHIC,FLAMETHROWER
255,TORCHIC,FIRE_BLAST
255,TORCHIC,ROCK_TOMB
255,TORCHIC,AERIAL_ACE
255,TORCHIC,FACADE
255,TORCHIC,SECRET_POWER
255,TORCHIC,REST
255,TORCHIC,ATTRACT
255,TORCHIC,OVERHEAT
255,TORCHIC,CUT
255,TORCHIC,STRENGTH
255,TORCHIC,ROCK_SMASH
256,COMBUSKEN,FOCUS_PUNCH
256,COMBUSKEN,TOXIC
256,COMBUSKEN,BULK_UP
256,COMBUSKEN,HIDDEN_POWER
256,COMBUSKEN,SUNNY_DAY
256,COMBUSKEN,PROTECT
256,COMBUSKEN,FRUSTRATION
256,COMBUSKEN,RETURN
256,COMBUSKEN,DIG
256,COMBUSKEN,BRICK_BREAK
256,COMBUSKEN,DOUBLE_TEAM
256,COMBUSKEN,FLAMETHROWER
256,COMBUSKEN,FIRE_BLAST
256,COMBUSKEN,ROCK_TOMB
256,COMBUSKEN,AERIAL_ACE
256,COMBUSKEN,FACADE
256,COMBUSKEN,SECRET_POWER
256,COMBUSKEN,REST
256,COMBUSKEN,ATTRACT
256,COMBUSKEN,OVERHEAT
256,COMBUSKEN,CUT
256,COMBUSKEN,STRENGTH
256,COMBUSKEN,ROCK_SMASH
257,BLAZIKEN,FOCUS_PUNCH
257,BLAZIKEN,ROAR
257,BLAZIKEN,TOXIC
257,BLAZIKEN,BULK_UP
257,BLAZIKEN,HIDDEN_POWER
257,BLAZIKEN,SUNNY_DAY
257,BLAZIKEN,HYPER_BEAM
257,BLAZIKEN,PROTECT
257,BLAZIKEN,FRUSTRATION
257,BLAZIKEN,EARTHQUAKE
257,BLAZIKEN,RETURN
257,BLAZIKEN,DIG
257,BLAZIKEN,BRICK_BREAK
257,BLAZIKEN,DOUBLE_TEAM
257,BLAZIKEN,FLAMETHROWER
257,BLAZIKEN,FIRE_BLAST
257,BLAZIKEN,ROCK_TOMB
257,BLAZIKEN,AERIAL_ACE
257,BLAZIKEN,FACADE
257,BLAZIKEN,SECRET_POWER
257,BLAZIKEN,REST
257,BLAZIKEN,ATTRACT
257,BLAZIKEN,OVERHEAT
257,BLAZIKEN,CUT
257,BLAZIKEN,STRENGTH
257,BLAZIKEN,ROCK_SMASH
258,MUDKIP,WATER_PULSE
258,MUDKIP,TOXIC
258,MUDKIP,HAIL
258,MUDKIP,HIDDEN_POWER
258,MUDKIP,ICE_BEAM
258,MUDKIP,BLIZZARD
258,MUDKIP,PROTECT
258,MUDKIP,RAIN_DANCE
258,MUDKIP,FRUSTRATION
258,MUDKIP,IRON_TAIL
258,MUDKIP,RETURN
258,MUDKIP,DIG
258,MUDKIP,DOUBLE_TEAM
258,MUDKIP,ROCK_TOMB
258,MUDKIP,FACADE
258,MUDKIP,SECRET_POWER
258,MUDKIP,REST
258,MUDKIP,ATTRACT
258,MUDKIP,SURF
258,MUDKIP,STRENGTH
258,MUDKIP,ROCK_SMASH
258,MUDKIP,WATERFALL
258,MUDKIP,DIVE
259,MARSHTOMP,WATER_PULSE
259,MARSHTOMP,TOXIC
259,MARSHTOMP,HAIL
259,MARSHTOMP,HIDDEN_POWER
259,MARSHTOMP,ICE_BEAM
259,MARSHTOMP,BLIZZARD
259,MARSHTOMP,PROTECT
259,MARSHTOMP,RAIN_DANCE
259,MARSHTOMP,FRUSTRATION
259,MARSHTOMP,IRON_TAIL
259,MARSHTOMP,EARTHQUAKE
259,MARSHTOMP,RETURN
259,MARSHTOMP,DIG
259,MARSHTOMP,DOUBLE_TEAM
259,MARSHTOMP,ROCK_TOMB
259,MARSHTOMP,FACADE
259,MARSHTOMP,SECRET_POWER
259,MARSHTOMP,REST
259,MARSHTOMP,ATTRACT
259,MARSHTOMP,SURF
259,MARSHTOMP,STRENGTH
259,MARSHTOMP,ROCK_SMASH
259,MARSHTOMP,WATERFALL
259,MARSHTOMP,DIVE
260,SWAMPERT,FOCUS_PUNCH
260,SWAMPERT,WATER_PULSE
260,SWAMPERT,ROAR
260,SWAMPERT,TOXIC
260,SWAMPERT,HAIL
260,SWAMPERT,HIDDEN_POWER
260,SWAMPERT,ICE_BEAM
260,SWAMPERT,BLIZZARD
260,SWAMPERT,HYPER_BEAM
260,SWAMPERT,PROTECT
260,SWAMPERT,RAIN_DANCE
260,SWAMPERT,FRUSTRATION
260,SWAMPERT,IRON_TAIL
260,SWAMPERT,EARTHQUAKE
260,SWAMPERT,RETURN
260,SWAMPERT,DIG
260,SWAMPERT,BRICK_BREAK
260,SWAMPERT,DOUBLE_TEAM
260,SWAMPERT,ROCK_TOMB
260,SWAMPERT,FACADE
260,SWAMPERT,SECRET_POWER
260,SWAMPERT,REST
260,SWAMPERT,ATTRACT
260,SWAMPERT,SURF
260,SWAMPERT,STRENGTH
260,SWAMPERT,ROCK_SMASH
