file,target_id,game_code,software_version,family,function,file_offset,runtime_address,size,sha256
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,LoadSpriteSheet,0x000021C4,0x080021C4,68,7f35e971e1f53a99f5f3557990a7842e54ee9a95b60e719ce2e6e9f51445cb4a
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,LoadSpriteSheets,0x00002208,0x08002208,44,866cfe00e26e4bb203a8f860b2413ef85aa061a02edbf31372872e8b39e2119c
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,AllocTilesForSpriteSheet,0x00002234,0x08002234,44,3c087c91d4ffb74f0bbcb27c629551506b82949258c174705ca12e3db703b000
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,AllocTilesForSpriteSheets,0x00002260,0x08002260,44,a976521e2051857fb9921b3e79dfea93ef1665b72021c8b9c912d73294b340b8
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,LoadTilesForSpriteSheet,0x0000228C,0x0800228C,44,a100705a851a8314ac42a1e1382addf51a2cbac8e59b3d4c2f659005d60824f4
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,LoadTilesForSpriteSheets,0x000022B8,0x080022B8,44,351d8dc41f2265ad3768fc6ae29891fe8f31217bbfd8eab4d62a1dcec0fb6e9f
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,FreeSpriteTilesByTag,0x000022E4,0x080022E4,120,7c07e3ac96be5e9057a573df5ac8e598facb125fc96e113a191c0b054547460e
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,FreeSpriteTileRanges,0x0000235C,0x0800235C,64,13aca63e5ec51e4cf2eb37fdedfdaf72a2125c5700ca4f6b28d6a63d144f94be
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,GetSpriteTileStartByTag,0x0000239C,0x0800239C,44,b43be34db6a520fe1c7fdaa0cc30b2dea5e32d2ee33323c2506cef6a2b07f268
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,IndexOfSpriteTileTag,0x000023C8,0x080023C8,44,8a9d182a739c44febc561233e8152cc64f3e16dfe05ec829881fb017ad5399e9
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,GetSpriteTileTagByTileStart,0x000023F4,0x080023F4,76,49b7c529e0e0eba72f17a2a9d50f297b555371e30f8ac85078efad52a51ec01b
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,AllocSpriteTileRange,0x00002440,0x08002440,72,fe78d53c6db52ff0aa52b8516d647769bea63bb1b955901e7c0506ceb3e20d1a
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,RequestSpriteSheetCopy,0x00002488,0x08002488,40,d964d3812d5854badaa92666a58320c7a04ac91d455ad03996e7f96d9a348841
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,LoadSpriteSheetDeferred,0x000024B0,0x080024B0,52,e2cea7a9c6ec4e4d60cb21c294680bcb903facde093ee5ce405fdd066ebdbe26
