bank_hex,bank_index,offset_start_hex,size_bytes,sha256
00,0,0x000000,16384,4e28583fe051bf22077aefe4656ccfe1cd0ba51183b6fefb1feeb32152e091ff
01,1,0x004000,16384,187160d4b28a1a5352358d402c8ef16c2aad18aff3752acf523bc52c4148f176
02,2,0x008000,16384,699d5cf7deb1e57337dd321e212996be6c9544f9a8a5e4245fbe94f162628d28
03,3,0x00C000,16384,dfc53387c6ca4737cb55dd9206eddf9cd8f3808107992ffa14f44f5cd8f83894
04,4,0x010000,16384,3f2166a614404bb47060f140bc894714f744fc7ed82ed92f30556edcfb2d447d
05,5,0x014000,16384,fb22ab2ea177116e2b02312d109bcf125f1167f75266780768b48252b8ae6355
06,6,0x018000,16384,351baccffffd90aa314daea66ba6e28818a82b194f1dc7b57fb63b54e773309d
07,7,0x01C000,16384,1fc85ad9bb27a331d5cdd366b88aa9f836bfee68eced1bbd8b59dbc21b738942
08,8,0x020000,16384,80b1ba7efcd2ae2d516b9bcd80795aaef555609422eb185442722ae98309e13b
09,9,0x024000,16384,ecff4ec7c6b3bf8119cc073de740ad98fb8dabfab75be9b078f4770e4940d8f3
0A,10,0x028000,16384,0e2bf5fb4391a662abab29c9cda6ea8511fc098d18a92b4b009ed04ba766f09d
0B,11,0x02C000,16384,6cecc84853fef83aa9620b364e6361a3f1efd0a5354c00d247700af98ddc884a
0C,12,0x030000,16384,a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47
0D,13,0x034000,16384,57f8ad0da07a64e3d3a281d3102e454e066c8ce9c95c19f50be3b29c6341428d
0E,14,0x038000,16384,ed2bf532bb921c85cfa3db53909c337705a2abf380aaebbc2c956d93f14dfc8e
0F,15,0x03C000,16384,82f0dc2d00b33126d44279358ef7f8e9a4c018f1249ae62a81834cd7fbbc9564
10,16,0x040000,16384,b6eee9d32f3310bc1ecfc4266f0bb232abc094ef4e87c40b7f0e0f16b53540a8
11,17,0x044000,16384,74b8030b11b680dbda5e81a0165120189ae991a4c82c3e6ca2768d9d0240a684
12,18,0x048000,16384,43096be9cdcad3338c9a02f13c8ddcbeab93bb10fdee8cb3dc2ebf568c4da44a
13,19,0x04C000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
14,20,0x050000,16384,23236afae4cabdca97c150e5551934c426d5d8dd5229bb4d48586c0ea16afecd
15,21,0x054000,16384,a0deb2987e30da8dd01516ccf2ea3ed3c01e14943911ec2b4cd9f890162bf3c3
16,22,0x058000,16384,a802c16daddbe0d5e96c98dd6d46940c344997ba548dd9b116a35dd89d215983
17,23,0x05C000,16384,b00faa3dc29234a940c6dc8ea8a6f2ba0c1d90e184d32c30e0c9c6beb49a6abc
18,24,0x060000,16384,cb72c4b00fe41dec9e0f806011da24f50ce8792cc56801a9136ce2023c536830
19,25,0x064000,16384,e178018c2d4ce64ff84b966ab22d54cffe8f6cf0ac52318d1fa9a9303b5d498a
1A,26,0x068000,16384,4ec670941a64598ed462856488dbe40da1698c674bfa4c437ad7bae417b4300a
1B,27,0x06C000,16384,2ccb250102cf973783a1a26beb151fb66c995e39f64669c2130acf458ac50f15
1C,28,0x070000,16384,7c941d0ab4c5a09cf014c72ec44fdebaf7a9c5b46bb4ba478516affac01e3791
1D,29,0x074000,16384,b3335f8aa8ea2686e4ebea61b142c22d65e9ef3e480955fabfbcf60d311796b3
1E,30,0x078000,16384,223c7b6d9d94f9822d56b22c80cf08df6396c87c7a986aaca6d2a160e78ca7d1
1F,31,0x07C000,16384,7d57d15094a9c038ca1b9acf2e32de6d5d3543c4e9a5795038bee146484d3d4e
20,32,0x080000,16384,f8af484ac6fc27e07c2f579ebdc02172727124258a758e530e8f332f43775452
21,33,0x084000,16384,4f5ecad16a3ae7e8a8f3e993f0c522dd877001cc531d197150fed2fe102505cd
22,34,0x088000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
23,35,0x08C000,16384,9db964bdfdb8f3b4e16ddb585f3dc8c595df6bbaaa32e1fb4f401e7be2f60d95
24,36,0x090000,16384,f54e09d7d31079be1a2bad12e524118b494ec37b170a0c72ec69c89fac9ddcb5
25,37,0x094000,16384,a5a0cf47f189c19fcefd1a9e0afdcd6a26a11557c7a83a732a897f420933ddfe
26,38,0x098000,16384,10c764d6fa7f426ea137cc4a8d85da72a24626282d510c9d6092f83b999b8574
27,39,0x09C000,16384,a16d9b16fb8afbaa7537c35949eac52b6ed5eb91a8651dc3f408a32f3ed8a823
28,40,0x0A0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
29,41,0x0A4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2A,42,0x0A8000,16384,d3e7c5b2611ead5571d43c4d0881de81cc1547e29d5aaa5e5c0696733c4e85bc
2B,43,0x0AC000,16384,a60a9c343221efff4ed426bd310d46261a030a6824071944d081905eb7074057
2C,44,0x0B0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2D,45,0x0B4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2E,46,0x0B8000,16384,bcf8867473f5c063977e0d2436d0aa62e082a2f36c47f7ba832b27c363614978
2F,47,0x0BC000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
30,48,0x0C0000,16384,4a4bf9ecbb1b7a8fc36687f4d3a7428464d12353c17c27f096fa5e6bd2229ef5
31,49,0x0C4000,16384,6f612f876929fbe15d7315c34be977e77c30ab6b124a58f41739cbaba73cedd9
32,50,0x0C8000,16384,669ea1832b987588bfab99ab019a2ee9f30dc9be54473c84b28074a910693903
33,51,0x0CC000,16384,629d1f057174bd1494a865687c1b6b5e84b05c2f39114575309ed294d7cd9b1a
34,52,0x0D0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
35,53,0x0D4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
36,54,0x0D8000,16384,01d0c831a3a1f681ad103887e0184b712f773d9c3da5070da3ca52a40124557e
37,55,0x0DC000,16384,88f10cbfed5b30c41f4ccf66a44716609a1237d81f7e592ddd893a25deeb4233
38,56,0x0E0000,16384,04d8106a47d8a4649cd030505a562d15a9481f3dff6a49f0e2f7941abc48dd7e
39,57,0x0E4000,16384,25fcf3f5f87d2d6ac58bd9fd634076d27f45348ddfd415f7a7fc98fec21b730e
3A,58,0x0E8000,16384,f1b3f82096402c54963b9f65ea3c3eb4ac396913633f88761ad8c8198da000c6
3B,59,0x0EC000,16384,68e6906258ba11cae661dadce943da3fa017c9cf71e3a30ab25d0add58968a68
3C,60,0x0F0000,16384,ba4fd7eb676c460e49148b570a47fcd00ba137826c66f967e9da36012bacfdd4
3D,61,0x0F4000,16384,c949b705d2cfbb923ff2af60f19fd9c47452f1e654c0ac56bb35e7429c9ad6ed
3E,62,0x0F8000,16384,e96bf7643e92fa6069ca315ee93971287255b3cd4a170a147f7868e45ce3ac44
3F,63,0x0FC000,16384,9aac6136ada0ba7bcb738393165ea07e5f2512824351700ec7b5902b84c48b81
40,64,0x100000,16384,bb26b6dfc43f23aa4c6f85429399d9f73ff20cee4c67dcac4099d51d7096ef8a
41,65,0x104000,16384,6d07665a75d192159e49792276130650614dd2454568db38e33dca42fd7ea4ae
42,66,0x108000,16384,60cec5ce0c23414e2b3312bc7e592e782cc4a583615b9e380a7341e9d1bec2b7
43,67,0x10C000,16384,ac075ed8745d99066a65adb23af24fb50b2fe51122c08c189435e991c85b4c70
44,68,0x110000,16384,28ca7aa3a6d71dbeb9eff254b7a1b1e8f4b54b2453b1cf30da170aeb3a97a68f
45,69,0x114000,16384,427e498d4762ca9aaf9b8a0ca7d68afe18addf64aba5bd440364775ac7c8a2c9
46,70,0x118000,16384,80e5cc9bb12fc6be4e625e1ac8eeabd514b1f2482b75f295e33e79562af83565
47,71,0x11C000,16384,2171709d624f0af1a53b4d43b96c29aa39cf8c10fbcb10513ff13057aa13e80c
48,72,0x120000,16384,24cef59d2b24876a0f19287d610088d8de9d8d27df2ef56a49bc0a8e5deb2142
49,73,0x124000,16384,edde5cf4cef5465154a971a494c13220fc6fcde4c2d1b8ebfbeb2f44515c3ec6
4A,74,0x128000,16384,a86944e06288a6755f3afb54b8e763cbcbbc5a362bd3b976632e11d0f152c54e
4B,75,0x12C000,16384,6a707db3758d5199353e161df84c8aebe66df03e630fecf7334b6f69b82b2a49
4C,76,0x130000,16384,9639908075fb41c774b5b1c9230026968ec3aca9dc31c75224539659dff73521
4D,77,0x134000,16384,cd2940f38995ee5f365f5f0fc4de8591f2f55aaf0df94cec0713c6ee8581e6a4
4E,78,0x138000,16384,58c5d255efb5099b75514a6217359f02d584f599056b91c6685b2ddd3d52c9ad
4F,79,0x13C000,16384,e4c8fb3f39e55503debffc6b135cc5f7cc61ae5458a20fdca8136c8d9458f676
50,80,0x140000,16384,f111b725043da469e7776d2d220c625527bd4ed9022dc5aca21d143cb8346740
51,81,0x144000,16384,303a1a8babb2cf6074e9e3be73e18042a6a4b15527e638b7a3b2c40cad0b11c7
52,82,0x148000,16384,692b1c000f2efcfa38d0b10f5f6c61cdda8331eb6787605c03f7ed04ad180048
53,83,0x14C000,16384,56d0e9775379bb7ddcfeef71e9293b2715843ef5ae59764262a243ddbf133ed5
54,84,0x150000,16384,345ed43234cd7e85dec006c50ea4c3ed80c2fc56a586d55e60a78bc7e6be1179
55,85,0x154000,16384,45189ee5d230f6687e6d136863161ebf1bf0871918903de3894c83740cf6de8b
56,86,0x158000,16384,28799a0adde4a9d8ed7f9c4c97a25244018a173690fd5b6764406f61f14e9c94
57,87,0x15C000,16384,1d02edb391ef1faf72b2a17bc36ad3efac8b54dad9399fc57b1281f85a8b44db
58,88,0x160000,16384,81669916770ec33b22090dba092ed1c2999cc4933f9e51f3d28c53a80e8f66c7
59,89,0x164000,16384,033609712908a75402f780bb3a51c23c25036bbc64c6612f022510729d50f000
5A,90,0x168000,16384,f5a4adda1a15eebb70bcb0a3670d08b54ce3b612db2aaa21a52e410955478ad3
5B,91,0x16C000,16384,27745493608ef90a8725112328c57ffdb991d7821fb6c660ed1ac81bcacaf448
