function,address,size,sha256
DrawPartyMenuMonText,0x08001560,0xD0,46b0ec5b39abccfe10e2fac1c1d86e65f17dba6dd6a2e53eadd7ca1ee551552c
AnimateSprite,0x08001630,0x48,bd6d7c431b7d384f684d747a1a95dfa44dbf28d3f29fcd42c69ed90004aae033
BeginAnim,0x08001678,0xF0,82a485d5f669376c390d976a32b1902c0981f94a6846fafc6b6c1285a28d61de
ContinueAnim,0x08001768,0xA0,2ac0fc6e652047ccc26f2d74ba1c965a278974327a459fbd42c0237e32b6acfd
AnimCmd_frame,0x08001808,0xAC,d8499af508ec7596f144c2e7f324521175800b72575eee7bfcea6bfd32195452
AnimCmd_end,0x080018B4,0x18,ecadb750f79ab57d245cd522ee7ddd7ea49e4a4ca522c850f5ffb269d9ffd2af
AnimCmd_jump,0x080018CC,0xC8,ad108552ba5c44f7675fa6cea105567a0bbc86aa5b38bd3418c4e22ccf7a4a42
AnimCmd_loop,0x08001994,0x20,3509bf06c916a108dfcd5acd21df81bad2ad23fccf2711954b3c4545c8e1adbf
BeginAnimLoop,0x080019B4,0x38,69b2381714fe5f8379792d08170a62325d6261fdaa264bac9ab88b2086c5b95c
ContinueAnimLoop,0x080019EC,0x20,c919e7373e97d3afd6f5f731b1492feb5c4736571e8df6035a51cf3321d6b404
JumpToTopOfAnimLoop,0x08001A0C,0x74,14a18e711e40a11e9fd2f3ca0730cbaaa3c0f2ffe0d603c923a47fa2e995ce43
