function,address,size,sha256
DrawPartyMenuMonText,0x08001560,0xD0,17ffa8f146c0d5d4838f8c0c2bfc55f422ad4b2cf5511174dfcc14c5efe7907e
AnimateSprite,0x08001630,0x48,d4c3bbbd44b8a9be542ff555e26701c533cc0c33aba34ebfeae20ef5f124345d
BeginAnim,0x08001678,0xF0,82a485d5f669376c390d976a32b1902c0981f94a6846fafc6b6c1285a28d61de
ContinueAnim,0x08001768,0xA0,6ceea77cb8c8946686646804945f5ee393d2dd2f6d569480151cc23836efd8d2
AnimCmd_frame,0x08001808,0xAC,d8499af508ec7596f144c2e7f324521175800b72575eee7bfcea6bfd32195452
AnimCmd_end,0x080018B4,0x18,ecadb750f79ab57d245cd522ee7ddd7ea49e4a4ca522c850f5ffb269d9ffd2af
AnimCmd_jump,0x080018CC,0xC8,ad108552ba5c44f7675fa6cea105567a0bbc86aa5b38bd3418c4e22ccf7a4a42
AnimCmd_loop,0x08001994,0x20,3509bf06c916a108dfcd5acd21df81bad2ad23fccf2711954b3c4545c8e1adbf
BeginAnimLoop,0x080019B4,0x38,69b2381714fe5f8379792d08170a62325d6261fdaa264bac9ab88b2086c5b95c
ContinueAnimLoop,0x080019EC,0x20,c919e7373e97d3afd6f5f731b1492feb5c4736571e8df6035a51cf3321d6b404
JumpToTopOfAnimLoop,0x08001A0C,0x74,14a18e711e40a11e9fd2f3ca0730cbaaa3c0f2ffe0d603c923a47fa2e995ce43
