function,address,size,sha256
DrawPartyMenuMonText,0x0800142C,0xD0,023f8ac8cec5ebb1ed9036ce6053672d2fe0053cf863be06b7fa267664af38d3
AnimateSprite,0x080014FC,0x48,db183e6c1385cae155b8be2627f5e8e475e426a4915574b704b4f615612da550
BeginAnim,0x08001544,0xF0,82a485d5f669376c390d976a32b1902c0981f94a6846fafc6b6c1285a28d61de
ContinueAnim,0x08001634,0xA0,51516c109dc9f1aa1975c3095d332529459b7345fd3a667c8f0de07199dd0592
AnimCmd_frame,0x080016D4,0xAC,d8499af508ec7596f144c2e7f324521175800b72575eee7bfcea6bfd32195452
AnimCmd_end,0x08001780,0x18,ecadb750f79ab57d245cd522ee7ddd7ea49e4a4ca522c850f5ffb269d9ffd2af
AnimCmd_jump,0x08001798,0xC8,ad108552ba5c44f7675fa6cea105567a0bbc86aa5b38bd3418c4e22ccf7a4a42
AnimCmd_loop,0x08001860,0x20,3509bf06c916a108dfcd5acd21df81bad2ad23fccf2711954b3c4545c8e1adbf
BeginAnimLoop,0x08001880,0x38,69b2381714fe5f8379792d08170a62325d6261fdaa264bac9ab88b2086c5b95c
ContinueAnimLoop,0x080018B8,0x20,c919e7373e97d3afd6f5f731b1492feb5c4736571e8df6035a51cf3321d6b404
JumpToTopOfAnimLoop,0x080018D8,0x74,14a18e711e40a11e9fd2f3ca0730cbaaa3c0f2ffe0d603c923a47fa2e995ce43
