bank_hex,start_hex,end_hex,rev0_entropy,reva_entropy,rev0_unique_bytes,reva_unique_bytes,rev0_zero_bytes,rev0_ff_bytes,reva_zero_bytes,reva_ff_bytes,rev0_padding_or_garbage_candidate_bytes,reva_padding_or_garbage_candidate_bytes,raw_different_bytes,raw_difference_percent,raw_diff_runs,largest_raw_diff_run,sequence_similarity_ratio,aligned_equal_bytes,sequence_edit_opcodes,jp_text_candidates_rev0
00,000000,003FFF,7.148893,7.153624,256,256,364,260,368,200,0,0,13109,80.010986,359,319,0.935791,15332,603,16
01,004000,007FFF,7.254003,7.255463,256,256,583,82,581,102,130,130,11803,72.039795,234,344,0.918396,15047,682,189
02,008000,00BFFF,6.978919,6.977057,255,255,379,257,380,258,0,0,18,0.109863,7,12,0.998901,16366,7,16
03,00C000,00FFFF,7.349282,7.354959,256,256,395,262,394,267,0,0,366,2.233887,316,21,0.977234,16011,313,25
04,010000,013FFF,6.778047,6.780313,256,256,2173,310,2173,311,685,685,233,1.422119,199,4,0.985107,16140,191,170
05,014000,017FFF,6.30234,6.298147,255,255,804,178,810,191,0,0,83,0.506592,41,31,0.994934,16301,41,10
06,018000,01BFFF,7.250023,7.241052,256,256,367,166,375,174,0,0,348,2.124023,297,40,0.977905,16022,284,14
07,01C000,01FFFF,7.184923,7.174936,255,256,370,217,378,234,0,0,560,3.417969,469,67,0.963989,15794,456,35
08,020000,023FFF,7.059168,7.060186,256,256,309,287,309,287,0,0,60,0.366211,56,2,0.996277,16323,55,39
09,024000,027FFF,7.80888,7.807699,256,256,13,288,16,299,0,0,519,3.167725,32,136,0.990173,16223,50,52
0A,028000,02BFFF,7.840146,7.840425,255,255,11,283,12,284,0,0,14,0.085449,8,7,0.999146,16370,8,47
0B,02C000,02FFFF,7.836844,7.836648,256,256,203,299,203,299,0,0,13,0.079346,11,2,0.999207,16371,11,29
0C,030000,033FFF,7.81998,7.819104,256,256,10,334,12,338,0,0,32,0.195312,6,27,0.998047,16352,7,34
0D,034000,037FFF,7.803008,7.804546,256,256,250,549,250,549,33,33,65,0.396729,58,2,0.995728,16314,55,32
0E,038000,03BFFF,7.145405,7.145709,256,256,2018,372,2018,373,26,26,79,0.482178,78,2,0.995178,16305,78,138
0F,03C000,03FFFF,7.080828,7.065423,256,255,292,68,290,70,0,0,15403,94.012451,333,523,0.902527,14787,1030,27
10,040000,043FFF,6.969505,6.965785,256,256,1260,436,1259,438,717,717,135,0.823975,109,14,0.991394,16243,104,248
11,044000,047FFF,7.196892,7.189089,256,256,356,333,361,347,0,0,307,1.873779,255,48,0.979431,16047,225,12
12,048000,04BFFF,7.12793,7.116142,256,256,397,209,407,221,0,0,406,2.478027,315,85,0.974304,15963,304,38
13,04C000,04FFFF,7.835871,7.8356,256,256,35,325,35,326,0,0,36,0.219727,33,2,0.997803,16348,33,41
14,050000,053FFF,7.294475,7.280832,256,256,349,169,341,171,0,0,379,2.313232,354,19,0.976501,15999,351,30
15,054000,057FFF,7.139841,7.131844,255,255,408,127,405,128,0,0,313,1.9104,291,11,0.980347,16062,283,22
16,058000,05BFFF,7.160632,7.151137,255,255,403,130,384,133,0,0,330,2.01416,300,14,0.979614,16050,296,32
17,05C000,05FFFF,7.101634,7.093362,256,256,399,189,371,193,0,0,397,2.423096,343,50,0.975281,15979,339,30
18,060000,063FFF,7.049474,7.033718,255,255,382,184,382,188,0,0,359,2.191162,305,30,0.978088,16025,306,12
19,064000,067FFF,6.50805,6.504074,253,253,1473,1584,1475,1588,348,348,32,0.195312,1,32,0.998047,16352,1,26
1A,068000,06BFFF,6.371074,6.370778,256,256,1044,1292,1043,1293,229,212,2,0.012207,2,1,0.999878,16382,2,12
1B,06C000,06FFFF,6.201428,6.201428,255,255,1420,1810,1420,1810,731,747,0,0.0,0,0,1.0,16384,0,6
1C,070000,073FFF,6.873593,6.879579,256,256,2113,431,2107,431,1081,1081,203,1.239014,176,8,0.987366,16177,173,124
1D,074000,077FFF,7.091263,7.083362,256,256,324,170,323,178,0,0,425,2.593994,348,62,0.973633,15952,346,30
1E,078000,07BFFF,6.782914,6.78558,256,256,2202,608,2200,613,32,32,132,0.805664,96,13,0.991699,16248,94,12
1F,07C000,07FFFF,7.072184,7.071512,255,255,404,288,402,290,0,0,7,0.042725,4,4,0.999573,16377,4,32
