bank_hex,sequence_similarity_ratio,matching_bytes_via_sequence_alignment,non_equal_opcode_count,raw_different_bytes
00,0.935791,15332,603,13109
01,0.918396,15047,682,11803
02,0.998901,16366,7,18
03,0.977234,16011,313,366
04,0.985107,16140,191,233
05,0.994934,16301,41,83
06,0.977905,16022,284,348
07,0.963989,15794,456,560
08,0.996277,16323,55,60
09,0.990173,16223,50,519
0A,0.999146,16370,8,14
0B,0.999207,16371,11,13
0C,0.998047,16352,7,32
0D,0.995728,16314,55,65
0E,0.995178,16305,78,79
0F,0.902527,14787,1030,15403
10,0.991394,16243,104,135
11,0.979431,16047,225,307
12,0.974304,15963,304,406
13,0.997803,16348,33,36
14,0.976501,15999,351,379
15,0.980347,16062,283,313
16,0.979614,16050,296,330
17,0.975281,15979,339,397
18,0.978088,16025,306,359
19,0.998047,16352,1,32
1A,0.999878,16382,2,2
1B,1.0,16384,0,0
1C,0.987366,16177,173,203
1D,0.973633,15952,346,425
1E,0.991699,16248,94,132
1F,0.999573,16377,4,7
