name,offset_hex,rev0_instruction,reva_instruction,same
RST00,0000,RST $38,RST $38,True
RST08,0008,RST $38,RST $38,True
RST10,0010,RST $38,RST $38,True
RST18,0018,RST $38,RST $38,True
RST20,0020,RST $38,RST $38,True
RST28,0028,RST $38,RST $38,True
RST30,0030,RST $38,RST $38,True
RST38,0038,JP $F080,JP $F080,True
VBlank,0040,JP $0AAC,JP $0AAC,True
LCD_STAT,0048,RST $38,RST $38,True
Timer,0050,JP $0D9A,JP $0D88,False
Serial,0058,JP $0BA7,JP $0BA7,True
Joypad,0060,RETI,RETI,True
Entry,0100,NOP,NOP,True
